"","human_gene","nematode_gene"
"182","NGLY1","C17D12.3"
"183","EEF1AKMT4","C17E4.11"
"184","VPS72","C17E4.6"
"185","KCTD13","C17F4.11"
"186","KCTD10","C17F4.8"
"187","OGFOD1","C17G10.1"
"188","ARIH1","C17H11.4"
"189","RNF19B","C17H11.6"
"190","KIAA2013","C17H12.2"
"191","EBNA1BP2","C18A3.3"
"192","RNF215","C18B12.4"
"193","ERGIC2","C18B12.6"
"194","WBP2","C18B2.4"
"195","SLC17A3","C18D1.2"
"196","VMO1","C18D4.4"
"197","SEC62","C18E9.2"
"198","NDUFB3","C18E9.4"
"199","ANKRD13D","C18F10.7"
"200","SLC17A5","C18H9.5"
"201","PPP1CC","C23G10.1"
"202","RIDA","C23G10.2"
"203","TRMT44","C23G10.7"
"204","SMC6","C23H4.6"
"205","AMACR","C24A3.4"
"206","C11orf54","C24B5.4"
"207","CHCHD1","C24D10.6"
"208","PPP1CC","C24H11.1"
"209","PPP1CC","C24H11.2"
"210","GEMIN7","C24H11.5"
"211","DDX56","C24H12.4"
"212","PSME3IP1","C25A1.1"
"213","PPP1CC","C25A6.1"
"214","MPPED2","C25E10.12"
"215","MFSD1","C25E10.4"
"216","MFSD1","C25E10.5"
"217","ITM2B","C25F6.7"
"218","GPR139","C25F9.13"
"219","OVCA2","C25G4.2"
"220","RBFA","C25G4.3"
"221","SLC27A2","C25G6.3"
"222","CSNK1A1L","C25H3.1"
"223","VPS13D","C25H3.11"
"224","FAXC","C25H3.7"
"225","NDUFB5","C25H3.9"
"226","TMEM268","C26B9.1"
"227","FCHSD1","C26C6.8"
"228","PYROXD1","C26D10.3"
"229","FCSK","C26D10.4"
"230","GTPBP10","C26E6.12"
"231","ACP3","C27A2.12"
"232","ENPP5","C27A7.1"
"233","ENPP4","C27A7.3"
"234","ASPG","C27A7.5"
"235","CFAP276","C27A7.6"
"236","C6orf136","C27B7.2"
"237","PPP1CA","C27B7.6"
"238","MFSD11","C27C12.4"
"239","CLC","C27C7.5"
"240","CCDC170","C27D6.1"
"241","TSSK3","C27D6.11"
"242","CSNK1A1L","C27D8.1"
"243","FUT7","C27D9.1"
"244","PCID2","C27F2.10"
"245","BUD23","C27F2.4"
"246","JMJD8","C27F2.9"
"247","MYG1","C27H6.8"
"248","MGME1","C27H6.9"
"249","CSNK1G2","C28A5.6"
"250","COL6A5","C29A12.6"
"251","GALC","C29E4.10"
"252","FMC1","C29E4.12"
"253","MCFD2","C29E4.14"
"254","EPHX1","C29F3.7"
"255","EP300","C29F9.5"
"256","CREBBP","C29F9.6"
"257","SLC35F6","C29H12.2"
"258","LEPROTL1","C30B5.2"
"259","AFG1L","C30F12.2"
"260","PHGDH","C31C9.2"
"261","WASL","C31C9.6"
"262","CCDC93","C31E10.5"
"263","CCDC93","C31E10.6"
"264","PLA2G12A","C31H1.5"
"265","HPDL","C31H2.4"
"266","BPHL","C31H5.1"
"267","ACOT1","C31H5.6"
"268","CTSK","C32B5.13"
"269","CTSV","C32B5.7"
"270","PEX10","C32D5.11"
"271","TTC39A","C32D5.6"
"272","NXN","C32D5.8"
"273","ECHDC1","C32E8.9"
"274","GPT","C32F10.8"
"275","EPHX1","C32H11.3"
"276","EPHX1","C32H11.4"
"277","EPHX1","C32H11.9"
"278","DRAM2","C33A11.2"
"279","NDUFA5","C33A12.1"
"280","C4orf33","C33A12.3"
"281","HTATIP2","C33F10.14"
"282","MANBA","C33G3.4"
"283","CSNK1A1L","C34B2.3"
"284","LPXN","C34B2.4"
"285","NDUFA13","C34B2.8"
"286","SMIM14","C34C12.4"
"287","SEC14L6","C34C12.6"
"288","GRPEL1","C34C12.8"
"289","MOSPD1","C34D10.1"
"290","TVP23B","C34D4.4"
"291","UTP23","C34E10.10"
"292","MYBPHL","C34F6.10"
"293","TMEM129","C34F6.7"
"294","SLC2A1","C35A11.4"
"295","XPO7","C35A5.8"
"296","TCAIM","C35B8.3"
"297","TMEM164","C35C5.10"
"298","EMC7","C35D10.1"
"299","TMX2","C35D10.10"
"300","CMC2","C35D10.17"
"301","UQCC1","C35D10.5"
"302","ZFP36L1","C35D6.4"
"303","UAP1L1","C36A4.4"
"304","CRIPT","C36B1.14"
"305","CFP","C36B7.5"
"306","CLPTM1","C36B7.6"
"307","RRN3","C36E8.1"
"308","NOSTRIN","C36E8.4"
"309","RPLP2","C37A2.7"
"310","CCDC174","C37A2.8"
"311","ADAT2","C37C3.1"
"312","EIF5","C37C3.2"
"313","ADTRP","C37E2.10"
"314","AIG1","C37E2.2"
"315","AIG1","C37E2.3"
"316","ACOT8","C37H5.13"
"317","DXO","C37H5.14"
"318","NOC3L","C37H5.5"
"319","CSNK1A1L","C38C3.4"
"320","C1GALT1","C38H2.2"
"321","GOLT1B","C39B5.14"
"322","GATB","C39B5.6"
"323","BTBD7","C39F7.5"
"324","CSNK1A1L","C39H7.1"
"325","KCTD10","C40A11.2"
"326","KCTD10","C40A11.3"
"327","KCTD10","C40A11.4"
"328","KCTD10","C40A11.6"
"329","KCTD10","C40A11.7"
"330","CEP104","C40H1.3"
"331","GOLT1B","C40H1.7"
"332","GOLT1B","C40H1.8"
"333","GOLT1B","C40H1.9"
"334","CSRNP3","C41D11.3"
"335","TM2D3","C41D11.9"
"336","VCPKMT","C42C1.13"
"337","SLC17A1","C42C1.19"
"338","SLC49A3","C42C1.8"
"339","TENT5C","C42D4.3"
"340","NIP7","C43E11.9"
"341","FAIM","C44B11.1"
"342","GGCT","C44B7.7"
"343","CSNK1A1L","C44C10.7"
"344","NUDCD1","C44E4.5"
"345","BLTP3A","C44H4.4"
"346","EPHX1","C45B11.6"
"347","PGP","C45E5.1"
"348","DUS4L","C45G9.2"
"349","MPO","C46A5.4"
"350","SLC22A7","C46C2.2"
"351","REPIN1","C46E10.8"
"352","DDX42","C46F11.4"
"353","UBL3","C46F11.6"
"354","FMO2","C46H11.2"
"355","ARPC5","C46H11.3"
"356","VMO1","C47A10.12"
"357","DNAJC25","C47A4.1"
"358","PPP1CC","C47A4.3"
"359","UPRT","C47B2.2"
"360","MTRES1","C47B2.9"
"361","DYM","C47D12.2"
"362","EDEM1","C47E12.3"
"363","FAM50A","C47E8.4"
"364","B3GALT4","C47F8.3"
"365","B3GALT4","C47F8.5"
"366","B3GALT4","C47F8.6"
"367","TIMM22","C47G2.3"
"368","LMBRD2","C47G2.4"
"369","IMP3","C48B6.2"
"370","HAPSTR1","C48B6.3"
"371","FBXL22","C48D1.1"
"372","CSPG4","C48E7.6"
"373","OXLD1","C49A9.10"
"374","MAPK13","C49C3.10"
"375","CRB1","C49C3.4"
"376","CSNK1A1L","C49C8.1"
"377","EPHX1","C49G7.13"
"378","LSM11","C49H3.4"
"379","FILIP1L","C49H3.6"
"380","ZC3HC1","C49H3.9"
"381","AMY1A","C50B6.7"
"382","SLC7A2","C50D2.2"
"383","ADPGK","C50D2.7"
"384","MCAT","C50D2.9"
"385","MTERF3","C50F4.12"
"386","NUDT14","C50F4.16"
"387","PDZD4","C50F7.6"
"388","SLC23A3","C51E3.6"
"389","RAB20","C52B11.5"
"390","TMEM87A","C52B9.4"
"391","CSKMT","C52B9.8"
"392","MTPAP","C53A5.16"
"393","TRMT5","C53A5.17"
"394","SLC22A18","C53B4.3"
"395","DIPK1A","C53D5.1"
"396","GGT5","C53D5.5"
"397","TXNDC15","C53D6.4"
"398","LSG1","C53H9.2"
"399","CFAP20","C54C6.6"
"400","B3GALT4","C54C8.3"
"401","EPPIN","C54D10.10"
"402","GPR139","C54D10.5"
"403","MIOX","C54E4.5"
"404","ABHD18","C54G4.7"
"405","TBCCD1","C54G6.2"
"406","C12orf4","C55A6.10"
"407","GK5","C55B6.1"
"408","CSNK1A1L","C55B7.10"
"409","PLTP","C55C3.1"
"410","RNF26","C56A3.4"
"411","MICU3","C56A3.6"
"412","CSNK1A1L","C56C10.6"
"413","TRAPPC13","C56C10.7"
"414","SDF4","C56C10.9"
"415","NAA80","C56G2.15"
"416","TRMT10C","C56G2.3"
"417","AKR1C4","C56G3.2"
"418","ELMOD3","C56G7.3"
"419","TMEM94","D1007.15"
"420","GEMIN6","D1007.4"
"421","GPR139","D1014.13"
"422","GPR139","D1014.2"
"423","SON","D1037.1"
"424","ZNF318","D1044.6"
"425","DOT1L","D1053.2"
"426","PNPLA4","D1054.1"
"427","HYCC1","D1069.3"
"428","GPR139","D1079.1"
"429","LY6D","D1081.20"
"430","ADAT1","D2005.1"
"431","PDCD5","D2005.3"
"432","ACOT8","D2021.4"
"433","SAT2","D2023.4"
"434","ADCK1","D2023.6"
"435","CSNK1A1L","D2024.1"
"436","CLPX","D2030.2"
"437","NDUFB7","D2030.4"
"438","PCED1A","D2030.8"
"439","CSNK1A1L","D2045.5"
"440","KCTD10","D2045.8"
"441","COLGALT2","D2045.9"
"442","CRISP2","D2062.1"
"443","VAT1","D2063.1"
"444","CDPF1","D2089.3"
"445","CDPF1","D2089.8"
"446","RDH14","DC2.5"
"447","GCLM","E01A2.1"
"448","SRRT","E01A2.2"
"449","TFPI","E01G6.1"
"450","CALM3","E02A10.3"
"451","DIMT1","E02H1.1"
"452","RTRAF","E02H1.5"
"453","AK6","E02H1.6"
"454","CSNK1A1L","E02H4.6"
"455","B3GALT4","E03H4.11"
"456","C1GALT1C1","E03H4.3"
"457","COPB2","E03H4.8"
"458","RDH14","E04F6.15"
"459","PLD3","E04F6.4"
"460","FBXL4","EEED8.10"
"461","CELF3","EEED8.12"
"462","CELF3","EEED8.4"
"463","SDSL","F01D4.8"
"464","ABHD17B","F01D5.7"
"465","ABHD17B","F01D5.8"
"466","CNPY1","F01F1.11"
"467","CNPY2","F01F1.15"
"468","PLTP","F01G10.10"
"469","ZFP36L1","F02E11.4"
"470","SKIC8","F02E9.10"
"471","OSER1","F02E9.5"
"472","ACP5","F02E9.7"
"473","RBKS","F07A11.5"
"474","FRMD4B","F07C6.4"
"475","ZCCHC9","F07E5.5"
"476","APOLD1","F07F6.7"
"477","APOL2","F07F6.8"
"478","DXO","F07H5.10"
"479","CCND1","F08F1.9"
"480","RPE","F08F8.7"
"481","RABL6","F08G12.1"
"482","CRYAB","F08H9.3"
"483","CRYAA","F08H9.4"
"484","PLBD2","F09B12.3"
"485","GLIPR2","F09B9.5"
"486","MAPK7","F09C12.2"
"487","PLB1","F09C8.1"
"488","R3HCC1","F09C8.2"
"489","TMEM199","F09E5.11"
"490","DERA","F09E5.3"
"491","PLPBP","F09E5.7"
"492","PLPBP","F09E5.8"
"493","CNPPD1","F09G2.2"
"494","PLD3","F09G2.8"
"495","CFAP410","F09G8.5"
"496","AAR2","F10B5.2"
"497","LMNTD2","F10C1.9"
"498","POLD1","F10C2.4"
"499","BPIFA3","F10D11.6"
"500","ABHD14B","F10D2.10"
"501","UGT1A6","F10D2.8"
"502","GLRX2","F10D7.3"
"503","FUT7","F10E7.1"
"504","MIER1","F10E7.11"
"505","SLC12A8","F10E7.9"
"506","CCDC59","F10E9.11"
"507","GEMIN8","F10E9.5"
"508","UBR3","F10G7.10"
"509","CSNK1A1L","F10G8.2"
"510","MPRIP","F10G8.8"
"511","OXSM","F10G8.9"
"512","ST7","F11A10.5"
"513","TMEM115","F11A10.6"
"514","RAB2A","F11A5.3"
"515","RAB2A","F11A5.4"
"516","SLC17A3","F11A5.9"
"517","CHCHD4","F11C1.1"
"518","LDAH","F11C1.4"
"519","ISM2","F11C7.6"
"520","ISM2","F11C7.7"
"521","SLC2A5","F11D5.5"
"522","SLC2A4","F11D5.7"
"523","TMEM150B","F11E6.6"
"524","BRI3","F11G11.5"
"525","POLD2","F12F6.7"
"526","IWS1","F13B12.1"
"527","SLC2A1","F13B12.2"
"528","SDS","F13B12.4"
"529","SH2D4B","F13B12.6"
"530","TPD52L2","F13E6.1"
"531","AK4","F13E6.2"
"532","TMEM121B","F13E9.11"
"533","HYPK","F13G3.10"
"534","B3GNTL1","F13G3.6"
"535","SLC25A44","F13G3.7"
"536","SLC38A9","F13H10.3"
"537","PLB1","F13H8.11"
"538","WDR3","F13H8.2"
"539","SCLY","F13H8.9"
"540","B3GALT4","F14B6.4"
"541","B3GALT4","F14B6.6"
"542","DOK7","F14D12.1"
"543","GLG1","F14E5.2"
"544","PRELID3B","F15D3.6"
"545","CAAP1","F15D4.2"
"546","CTSH","F15D4.4"
"547","RSPRY1","F16A11.1"
"548","CSNK1A1L","F16B12.7"
"549","LITAF","F16F9.1"
"550","AADACL4","F16F9.4"
"551","PGPEP1L","F16H6.4"
"552","PGPEP1L","F16H6.7"
"553","NXN","F17B5.1"
"554","EPHX1","F17C11.11"
"555","TENT5A","F17C11.22"
"556","NALCN","F17C8.6"
"557","ASPDH","F17C8.9"
"558","SERAC1","F17H10.1"
"559","KCTD10","F18A11.5"
"560","SRFBP1","F18C12.3"
"561","SPRYD7","F18H3.1"
"562","RNF24","F19B10.10"
"563","JUN","F19B2.6"
"564","ECD","F19C6.2"
"565","PRSS16","F19C7.2"
"566","PRSS16","F19C7.4"
"567","SRD5A1","F19H6.4"
"568","GPR139","F20A1.2"
"569","MCM3AP","F20D12.2"
"570","CBR1","F20G2.1"
"571","CBR1","F20G2.2"
"572","ACP7","F21A3.11"
"573","THAP4","F21A3.3"
"574","B3GALT5","F21C10.3"
"575","PGM3","F21D5.1"
"576","PNKP","F21D5.5"
"577","RNASEH2B","F21D5.6"
"578","SRP54","F21D5.7"
"579","C18orf63","F21F3.4"
"580","TMEM134","F21F3.7"
"581","SLCO3A1","F21G4.1"
"582","HTT","F21G4.6"
"583","TMCO1","F22B5.10"
"584","METTL18","F22B7.9"
"585","MTARC1","F22B8.7"
"586","ZFAND5","F22D6.2"
"587","PPP1CC","F22D6.9"
"588","SCPEP1","F22E12.1"
"589","KCTD10","F22E5.11"
"590","KCTD13","F22E5.12"
"591","KCTD10","F22E5.6"
"592","KCTD10","F22E5.8"
"593","CSNK1A1L","F22F1.2"
"594","SCCPDH","F22F7.2"
"595","CHAC1","F22F7.7"
"596","ANKFY1","F22G12.4"
"597","DOCK8","F22G12.5"
"598","CSNK1A1L","F22H10.1"
"599","PPP1CC","F23B12.1"
"600","CEBPZ","F23B12.7"
"601","ETFB","F23C8.5"
"602","TSSK4","F23C8.8"
"603","SNUPN","F23F1.5"
"604","SLC7A3","F23F1.6"
"605","SLC22A7","F23F12.13"
"606","SLC22A7","F23F12.3"
"607","GOLT1B","F25A2.1"
"608","PPP1CC","F25B3.4"
"609","CENPV","F25B4.8"
"610","NT5C3A","F25B5.3"
"611","FPGS","F25B5.6"
"612","IL17C","F25D1.3"
"613","DLL1","F25D7.5"
"614","ACOT8","F25E2.3"
"615","SRP14","F25G6.8"
"616","SRP14","F25G6.9"
"617","METTL25B","F25H2.12"
"618","EMC8","F25H2.4"
"619","CERT1","F25H2.6"
"620","TRMT10A","F25H8.1"
"621","NAF1","F25H8.2"
"622","PPCDC","F25H9.6"
"623","SDHAF3","F25H9.7"
"624","CSNK1A1L","F26A1.4"
"625","LDAH","F26A3.1"
"626","PPP1CC","F26B1.5"
"627","ACP3","F26C11.1"
"628","GCNT1","F26D2.3"
"629","TINAG","F26E4.3"
"630","TGFBI","F26E4.7"
"631","TAPT1","F26F2.7"
"632","ANKRD49","F26F4.12"
"633","VPS35L","F26G1.1"
"634","TENT5D","F26G1.5"
"635","TENT5D","F26G1.9"
"636","PHACTR2","F26H9.2"
"637","PSAT1","F26H9.5"
"638","SLC31A2","F27C1.2"
"639","UTP14A","F27C1.6"
"640","ZC3H15","F27D4.4"
"641","SFT2D2","F27D4.7"
"642","MFSD8","F27D9.2"
"643","VMO1","F28A10.8"
"644","NAGPA","F28B4.3"
"645","CLASRP","F28C1.1"
"646","PPP1R37","F28C1.3"
"647","RPS6KB2","F28C10.3"
"648","PTPMT1","F28C6.8"
"649","CEP104","F28C6.9"
"650","RCOR1","F28F8.7"
"651","CMTM8","F28H1.4"
"652","GOLT1B","F28H7.3"
"653","SEC14L3","F28H7.8"
"654","CNRIP1","F29A7.4"
"655","MPHOSPH6","F29A7.6"
"656","EEF1AKMT2","F29B9.1"
"657","IP6K1","F30A10.3"
"658","GCNT3","F30A10.4"
"659","FCF1","F30A10.9"
"660","OSGIN1","F30B5.4"
"661","NAA60","F30F8.10"
"662","LETMD1","F30F8.9"
"663","BLTP2","F31C3.3"
"664","ARMT1","F31D4.2"
"665","PLEKHD1","F31D4.5"
"666","MFSD11","F31D5.1"
"667","MFSD11","F31D5.2"
"668","RSKR","F31E3.2"
"669","C3orf33","F32A11.1"
"670","RDH13","F32A5.8"
"671","KCTD12","F32B4.5"
"672","CKMT1B","F32B5.1"
"673","DCLK3","F32D8.1"
"674","LDHD","F32D8.12"
"675","PMVK","F32D8.13"
"676","YIPF5","F32D8.14"
"677","TMEM70","F32D8.5"
"678","FASN","F32H2.6"
"679","ZCCHC4","F33A8.4"
"680","LPXN","F33D11.1"
"681","EIF4A3","F33D11.10"
"682","CSNK1A1L","F33D11.7"
"683","DEGS2","F33D4.4"
"684","PPP1R21","F33E11.3"
"685","C7orf25","F33G12.3"
"686","FAM91A1","F33H2.2"
"687","ANP32D","F33H2.3"
"688","RMDN1","F33H2.6"
"689","NEFH","F35A5.1"
"690","SH3GL2","F35A5.8"
"691","GREM2","F35B12.10"
"692","LZTS1","F35B3.7"
"693","CSNK1A1L","F35C11.3"
"694","PGAP4","F35C11.4"
"695","CALM3","F35C12.3"
"696","CH25H","F35C8.5"
"697","TMCO4","F35D11.3"
"698","NGLY1","F35F10.1"
"699","PGPEP1L","F35F10.6"
"700","PGPEP1L","F35F10.7"
"701","PSMD5","F35G12.12"
"702","CUTA","F35G12.7"
"703","CENPX","F35H10.5"
"704","SCHIP1","F35H12.1"
"705","BPHL","F35H12.5"
"706","DUS1L","F36A2.2"
"707","PLB1","F36A2.9"
"708","ABRA","F36F2.1"
"709","MFSD11","F36G9.3"
"710","CSNK1A1L","F36H12.9"
"711","PGAP2","F36H9.5"
"712","ABHD16A","F37A4.1"
"713","PRKRIP1","F37A4.2"
"714","NUS1","F37B12.3"
"715","PYROXD2","F37C4.6"
"716","SRP19","F37F2.2"
"717","SRPRA","F38A1.8"
"718","TRABD","F38A5.2"
"719","AK1","F38B2.4"
"720","GART","F38B6.4"
"721","TMTC4","F38B6.6"
"722","ZFP36L1","F38C2.7"
"723","PLCXD2","F38E9.1"
"724","DDAH1","F38H4.5"
"725","CRYZ","F39B2.3"
"726","SOCS7","F39B2.5"
"727","MIOS","F39C12.1"
"728","CSNK1A1L","F39F10.2"
"729","CSNK1A1L","F39F10.3"
"730","CYB561","F39G3.4"
"731","CYB561A3","F39G3.5"
"732","SKIC8","F39H12.2"
"733","SPA17","F39H12.3"
"734","IBA57","F39H2.3"
"735","PEBP1","F40A3.3"
"736","TMPPE","F40B5.2"
"737","TMEM184B","F40E10.6"
"738","NAA50","F40F4.7"
"739","SNRPD1","F40F8.11"
"740","TMEM42","F40F8.3"
"741","TRMT12","F40F9.10"
"742","LGALS7B","F40H6.5"
"743","CARNS1","F41E6.5"
"744","HAVCR2","F41E6.8"
"745","SLC9B1","F41E7.2"
"746","CROT","F41E7.6"
"747","GGACT","F42A10.9"
"748","BRCA1","F42A6.5"
"749","HIKESHI","F42A6.6"
"750","SDHB","F42A8.1"
"751","SRD5A1","F42F12.3"
"752","VAPB","F42G2.5"
"753","NDUFB11","F42G8.10"
"754","PPP1CC","F42G8.8"
"755","CHCHD4","F42H10.2"
"756","LASP1","F42H10.3"
"757","CUEDC1","F43C1.5"
"758","CCDC25","F43C1.7"
"759","MTCH2","F43E2.11"
"760","HDAC7","F43G6.17"
"761","HDAC8","F43G6.4"
"762","PAXBP1","F43G9.12"
"763","TMEM170A","F43G9.13"
"764","GLYAT","F43H9.4"
"765","MIF4GD","F44A2.5"
"766","PLA2G12A","F44B9.10"
"767","AUP1","F44B9.5"
"768","RFC5","F44B9.8"
"769","PPP1CC","F44B9.9"
"770","MLEC","F44E2.10"
"771","ANKRD30BL","F44E5.15"
"772","FBXL14","F44E5.2"
"773","HSPA8","F44E5.4"
"774","HSPA8","F44E5.5"
"775","IDE","F44E7.4"
"776","SLC17A1","F44E7.7"
"777","RAB5IF","F44E7.9"
"778","RPF1","F44G4.1"
"779","NDUFB2","F44G4.2"
"780","HDDC2","F45F2.9"
"781","PAM16","F45G2.8"
"782","MRM2","F45G2.9"
"783","UQCRQ","F45H10.2"
"784","NDUFA7","F45H10.3"
"785","LGALS13","F46A8.3"
"786","LGALS13","F46A8.4"
"787","LGALS1","F46A8.5"
"788","LGALS1","F46A8.8"
"789","CZIB","F46B6.12"
"790","EIF5B","F46B6.6"
"791","PPP4R4","F46C5.6"
"792","PPIP5K2","F46F11.1"
"793","TRMT10C","F46F11.10"
"794","VMO1","F46F5.13"
"795","PABIR2","F46H5.2"
"796","CKMT1B","F46H5.3"
"797","DOCK7","F46H5.4"
"798","BTBD19","F47B10.9"
"799","CMTM8","F47B3.3"
"800","KLHL10","F47D12.7"
"801","SLCO3A1","F47E1.2"
"802","SLCO3A1","F47E1.4"
"803","PRKX","F47F2.1"
"804","KATNB1","F47G4.4"
"805","KATNB1","F47G4.5"
"806","RNF207","F47G9.4"
"807","FAM8A1","F48B9.8"
"808","EAPP","F48E8.2"
"809","OS9","F48E8.4"
"810","B3GALT4","F48F7.3"
"811","ERAP1","F49B2.6"
"812","TMEM144","F49C12.6"
"813","KRBOX1","F49C5.3"
"814","NIM1K","F49C5.4"
"815","CPTP","F49D11.10"
"816","PPP1CC","F49E11.7"
"817","FAXDC2","F49E12.10"
"818","PIGF","F49E8.8"
"819","LGALS13","F49F1.10"
"820","LGALS13","F49F1.11"
