"","human_gene","chicken_gene"
"138","ACE","ACE"
"139","ACE2","ACE2"
"140","ACER1","ACER1"
"141","ACER2","ACER2"
"142","ACER3","ACER3"
"143","ACHE","ACHE"
"144","ACIN1","ACIN1"
"145","ACKR1","ACKR1"
"146","ACKR2","ACKR2"
"147","ACKR3","ACKR3"
"148","ACKR4","ACKR4"
"149","ACLY","ACLY"
"150","ACMSD","ACMSD"
"151","ACO1","ACO1"
"152","ACO2","ACO2"
"153","ACOD1","ACOD1"
"154","ACOT11","ACOT11"
"155","ACOT12","ACOT12"
"156","ACOT1","ACOT2"
"157","ACOT4","ACOT4"
"158","ACOT6","ACOT6"
"159","ACOT7","ACOT7"
"160","ACOT8","ACOT8"
"161","ACOT9","ACOT9"
"162","ACOX1","ACOX1"
"163","ACOX2","ACOX2"
"164","ACOX3","ACOX3"
"165","ACOXL","ACOXL"
"166","ACP2","ACP2"
"167","ACP3","ACP3"
"168","ACP5","ACP5"
"169","ACP6","ACP6"
"170","ACP7","ACP7"
"171","ACRBP","ACRBP"
"172","ACRV1","ACRV1"
"173","ACSBG1","ACSBG1"
"174","ACSBG2","ACSBG2"
"175","ACSF2","ACSF2"
"176","ACSF3","ACSF3"
"177","ACSL1","ACSL1"
"178","ACSL3","ACSL3"
"179","ACSL4","ACSL4"
"180","ACSL5","ACSL5"
"181","ACSL6","ACSL6"
"182","ACSM1","ACSM1"
"183","ACSM2B","ACSM2B"
"184","ACSM3","ACSM3"
"185","ACSM4","ACSM4"
"186","ACSM5","ACSM5"
"187","ACSS1","ACSS1"
"188","ACSS2","ACSS2"
"189","ACSS3","ACSS3"
"190","ACTA1","ACTA1"
"191","ACTA2","ACTA2"
"192","ACTB","ACTB"
"193","ACTBL2","ACTBL2"
"194","ACTC1","ACTC1"
"195","ACTG2","ACTG2"
"196","ACTL10","ACTL10"
"197","ACTL6A","ACTL6A"
"198","ACTL6B","ACTL6B"
"199","ACTL7A","ACTL7A"
"200","ACTL7B","ACTL7B"
"201","ACTL8","ACTL8"
"202","ACTL9","ACTL9"
"203","ACTMAP","ACTMAP"
"204","ACTN1","ACTN1"
"205","ACTN2","ACTN2"
"206","ACTN3","ACTN3"
"207","ACTN4","ACTN4"
"208","ACTR10","ACTR10"
"209","ACTR1A","ACTR1A"
"210","ACTR1B","ACTR1B"
"211","ACTR2","ACTR2"
"212","ACTR3","ACTR3"
"213","ACTR3B","ACTR3B"
"214","ACTR5","ACTR5"
"215","ACTR6","ACTR6"
"216","ACTR8","ACTR8"
"217","ACTRT2","ACTRT2"
"218","ACTRT3","ACTRT3"
"219","ACVR1","ACVR1"
"220","ACVR1B","ACVR1B"
"221","ACVR1C","ACVR1C"
"222","ACVR2A","ACVR2A"
"223","ACVR2B","ACVR2B"
"224","ACVRL1","ACVRL1"
"225","ACY1","ACY1"
"226","ACYP2","ACYP2"
"227","ADA","ADA"
"228","ADA2","ADA2"
"229","ADAD1","ADAD1"
"230","ADAD2","ADAD2"
"231","ADAL","ADAL"
"232","ADAM10","ADAM10"
"233","ADAM11","ADAM11"
"234","ADAM12","ADAM12"
"235","ADAM15","ADAM15"
"236","ADAM17","ADAM17"
"237","ADAM18","ADAM18"
"238","ADAM19","ADAM19"
"239","ADAM2","ADAM2"
"240","ADAM22","ADAM22"
"241","ADAM23","ADAM23"
"242","ADAM29","ADAM29"
"243","ADAM32","ADAM32"
"244","ADAM33","ADAM33"
"245","ADAM7","ADAM7"
"246","ADAM9","ADAM9"
"247","ADAMTS1","ADAMTS1"
"248","ADAMTS10","ADAMTS10"
"249","ADAMTS12","ADAMTS12"
"250","ADAMTS13","ADAMTS13"
"251","ADAMTS14","ADAMTS14"
"252","ADAMTS15","ADAMTS15"
"253","ADAMTS16","ADAMTS16"
"254","ADAMTS17","ADAMTS17"
"255","ADAMTS18","ADAMTS18"
"256","ADAMTS19","ADAMTS19"
"257","ADAMTS2","ADAMTS2"
"258","ADAMTS20","ADAMTS20"
"259","ADAMTS3","ADAMTS3"
"260","ADAMTS4","ADAMTS4"
"261","ADAMTS5","ADAMTS5"
"262","ADAMTS6","ADAMTS6"
"263","ADAMTS7","ADAMTS7"
"264","ADAMTS9","ADAMTS9"
"265","ADAMTSL1","ADAMTSL1"
"266","ADAMTSL2","ADAMTSL2"
"267","ADAMTSL3","ADAMTSL3"
"268","ADAMTSL4","ADAMTSL4"
"269","ADAMTSL5","ADAMTSL5"
"270","ADAP1","ADAP1"
"271","ADAP2","ADAP2"
"272","ADAR","ADAR"
"273","ADARB1","ADARB1"
"274","ADARB2","ADARB2"
"275","ADAT1","ADAT1"
"276","ADAT2","ADAT2"
"277","ADAT3","ADAT3"
"278","ADCK1","ADCK1"
"279","ADCK2","ADCK2"
"280","ADCK5","ADCK5"
"281","ADCY1","ADCY1"
"282","ADCY10","ADCY10"
"283","ADCY2","ADCY2"
"284","ADCY3","ADCY3"
"285","ADCY4","ADCY4"
"286","ADCY5","ADCY5"
"287","ADCY6","ADCY6"
"288","ADCY7","ADCY7"
"289","ADCY8","ADCY8"
"290","ADCY9","ADCY9"
"291","ADCYAP1","ADCYAP1"
"292","ADCYAP1R1","ADCYAP1R1"
"293","ADD1","ADD1"
"294","ADD2","ADD2"
"295","ADD3","ADD3"
"296","ADGB","ADGB"
"297","ADGRA2","ADGRA2"
"298","ADGRA3","ADGRA3"
"299","ADGRB1","ADGRB1"
"300","ADGRB2","ADGRB2"
"301","ADGRB3","ADGRB3"
"302","ADGRD1","ADGRD1"
"303","ADGRD2","ADGRD2"
"304","ADGRE3","ADGRE3"
"305","ADGRE5","ADGRE5"
"306","ADGRF1","ADGRF1"
"307","ADGRF3","ADGRF3"
"308","ADGRF4","ADGRF4"
"309","ADGRF5","ADGRF5"
"310","ADGRG1","ADGRG1"
"311","ADGRG2","ADGRG2"
"312","ADGRG3","ADGRG3"
"313","ADGRG5","ADGRG5"
"314","ADGRG6","ADGRG6"
"315","ADGRG7","ADGRG7"
"316","ADGRL1","ADGRL1"
"317","ADGRL2","ADGRL2"
"318","ADGRL3","ADGRL3"
"319","ADGRL4","ADGRL4"
"320","ADGRV1","ADGRV1"
"321","ADH1C","ADH1C"
"322","ADH4","ADH4"
"323","ADH5","ADH5"
"324","ADH6","ADH6"
"325","ADH7","ADH7"
"326","ADHFE1","ADHFE1"
"327","ADI1","ADI1"
"328","ADIPOQ","ADID"
"329","ADIG","ADIG"
"330","ADIPOR1","ADIPOR1"
"331","ADIPOR2","ADIPOR2"
"332","ADIRF","ADIRF"
"333","ADISSP","ADISSP"
"334","ADK","ADK"
"335","ADM","ADM"
"336","ADM2","ADM2"
"337","ADNP","ADNP"
"338","ADNP2","ADNP2"
"339","ADO","ADO"
"340","ADORA1","ADORA1"
"341","ADORA2A","ADORA2A"
"342","ADORA2B","ADORA2B"
"343","ADPGK","ADPGK"
"344","PLA1A","ADPRH"
"345","ADPRM","ADPRM"
"346","ADPRS","ADPRS"
"347","ADRA1A","ADRA1A"
"348","ADRA1B","ADRA1B"
"349","ADRA1D","ADRA1D"
"350","ADRA2A","ADRA2A"
"351","ADRA2B","ADRA2B"
"352","ADRA2C","ADRA2C"
"353","ADRB1","ADRB1"
"354","ADRB2","ADRB2"
"355","ADRB3","ADRB3"
"356","ADRM1","ADRM1"
"357","ADSL","ADSL"
"358","ADSS1","ADSS1"
"359","ADSS2","ADSS2"
"360","ADTRP","ADTRP"
"361","AEBP1","AEBP1"
"362","AEBP2","AEBP2"
"363","AEN","AEN"
"364","AFAP1","AFAP1"
"365","AFAP1L1","AFAP1L1"
"366","AFAP1L2","AFAP1L2"
"367","AFDN","AFDN"
"368","AFF1","AFF1"
"369","AFF2","AFF2"
"370","AFF3","AFF3"
"371","AFF4","AFF4"
"372","AFG1L","AFG1L"
"373","AFG2A","AFG2A"
"374","AFG2B","AFG2B"
"375","AFG3L2","AFG3L2"
"376","AFM","AFM"
"377","AFMID","AFMID"
"378","AFP","AFP"
"379","AFTPH","AFTPH"
"380","AGA","AGA"
"381","AGAP1","AGAP1"
"382","AGAP2","AGAP2"
"383","AGAP3","AGAP3"
"384","AGBL1","AGBL1"
"385","AGBL2","AGBL2"
"386","AGBL3","AGBL3"
"387","AGBL5","AGBL5"
"388","AGER","AGER"
"389","AGFG1","AGFG1"
"390","AGFG2","AGFG2"
"391","AGGF1","AGGF1"
"392","AGK","AGK"
"393","AGL","AGL"
"394","AGMAT","AGMAT"
"395","AGMO","AGMO"
"396","AGO1","AGO1"
"397","AGO2","AGO2"
"398","AGO3","AGO3"
"399","AGO4","AGO4"
"400","AGPAT1","AGPAT1"
"401","AGPAT2","AGPAT2"
"402","AGPAT3","AGPAT3"
"403","AGPAT4","AGPAT4"
"404","AGPAT5","AGPAT5"
"405","AGPS","AGPS"
"406","AGR2","AGR2"
"407","AGR3","AGR3"
"408","AGRN","AGRN"
"409","AGRP","AGRP"
"410","AGT","AGT"
"411","AGTPBP1","AGTPBP1"
"412","AGTR1","AGTR1"
"413","AGTR2","AGTR2"
"414","AGTRAP","AGTRAP"
"415","AGXT","AGXT"
"416","AGXT2","AGXT2"
"417","AHCTF1","AHCTF1"
"418","AHCY","AHCY"
"419","AHCYL1","AHCYL1"
"420","AHCYL2","AHCYL2"
"421","AHDC1","AHDC1"
"422","AHI1","AHI1"
"423","AHNAK","AHNAK"
"424","AHNAK2","AHNAK2"
"425","AHR","AHR"
"426","AHRR","AHRR"
"427","AHSA1","AHSA1"
"428","AHSG","AHSG"
"429","AHSP","AHSP"
"430","AICDA","AICDA"
"431","AIDA","AIDA"
"432","AIF1","AIF1"
"433","AIFM1","AIFM1"
"434","AIFM2","AIFM2"
"435","AIFM3","AIFM3"
"436","AIG1","AIG1"
"437","AIMP1","AIMP1"
"438","AIMP2","AIMP2"
"439","AIP","AIP"
"440","AIPL1","AIPL1"
"441","AIRE","AIRE"
"442","AIRIM","AIRIM"
"443","AJAP1","AJAP1"
"444","AJM1","AJM1"
"445","AJUBA","AJUBA"
"446","AK1","AK1"
"447","AK2","AK2"
"448","AK3","AK3"
"449","AK4","AK4"
"450","AK5","AK5"
"451","AK6","AK6"
"452","AK7","AK7"
"453","AK8","AK8"
"454","AK9","AK9"
"455","AKAP1","AKAP1"
"456","AKAP10","AKAP10"
"457","AKAP11","AKAP11"
"458","AKAP12","AKAP12"
"459","AKAP13","AKAP13"
"460","AKAP14","AKAP14"
"461","AKAP17A","AKAP17A"
"462","AKAP3","AKAP3"
"463","AKAP4","AKAP4"
"464","AKAP5","AKAP5"
"465","AKAP6","AKAP6"
"466","AKAP7","AKAP7"
"467","AKAP8L","AKAP8L"
"468","AKAP9","AKAP9"
"469","AKIP1","AKIP1"
"470","AKIRIN1","AKIRIN1"
"471","AKIRIN2","AKIRIN2"
"472","AKNA","AKNA"
"473","AKR1A1","AKR1A1"
"474","AKR1B1","AKR1B1"
"475","AKR1D1","AKR1D1"
"476","AKR1E2","AKR1E2"
"477","AKR7L","AKR7A2"
"478","AKT1","AKT1"
"479","AKT1S1","AKT1S1"
"480","AKT2","AKT2"
"481","AKT3","AKT3"
"482","AKTIP","AKTIP"
"483","ALAD","ALAD"
"484","ALAS1","ALAS1"
"485","ALAS2","ALAS2"
"486","ALB","ALB"
"487","ALCAM","ALCAM"
"488","ALDH16A1","ALDH16A1"
"489","ALDH18A1","ALDH18A1"
"490","ALDH1A1","ALDH1A1"
"491","ALDH1A2","ALDH1A2"
"492","ALDH1A3","ALDH1A3"
"493","ALDH1B1","ALDH1B1"
"494","ALDH1L1","ALDH1L1"
"495","ALDH1L2","ALDH1L2"
"496","ALDH2","ALDH2"
"497","ALDH3A1","ALDH3A1"
"498","ALDH3A2","ALDH3A2"
"499","ALDH3B2","ALDH3B2"
"500","ALDH4A1","ALDH4A1"
"501","ALDH5A1","ALDH5A1"
"502","ALDH6A1","ALDH6A1"
"503","ALDH7A1","ALDH7A1"
"504","ALDH8A1","ALDH8A1"
"505","ALDH9A1","ALDH9A1"
"506","ALDOA","ALDOA"
"507","ALDOB","ALDOB"
"508","ALDOC","ALDOC"
"509","ALG1","ALG1"
"510","ALG10","ALG10"
"511","ALG11","ALG11"
"512","ALG12","ALG12"
"513","ALG14","ALG14"
"514","ALG2","ALG2"
"515","ALG3","ALG3"
"516","ALG5","ALG5"
"517","ALG6","ALG6"
"518","ALG8","ALG8"
"519","ALG9","ALG9"
"520","ALK","ALK"
"521","ALKAL2","ALKAL2"
"522","ALKBH1","ALKBH1"
"523","ALKBH2","ALKBH2"
"524","ALKBH3","ALKBH3"
"525","ALKBH4","ALKBH4"
"526","ALKBH5","ALKBH5"
"527","ALKBH6","ALKBH6"
"528","ALKBH7","ALKBH7"
"529","ALKBH8","ALKBH8"
"530","ALLC","ALLC"
"531","ALMS1","ALMS1"
"532","ALOX12","ALOX12"
"533","ALOX12B","ALOX12B"
"534","ALOX15","ALOX15"
"535","ALOX15B","ALOX15B"
"536","ALOX5","ALOX5"
"537","ALOX5AP","ALOX5AP"
"538","ALOXE3","ALOXE3"
"539","ALPI","ALPI"
"540","ALPK1","ALPK1"
"541","ALPK2","ALPK2"
"542","ALPK3","ALPK3"
"543","ALPL","ALPL"
"544","ALS2","ALS2"
"545","ALS2CL","ALS2CL"
"546","ALX1","ALX1"
"547","ALX3","ALX3"
"548","ALX4","ALX4"
"549","ALYREF","ALYREF"
"550","AMACR","AMACR"
"551","AMBN","AMBN"
"552","AMBP","AMBP"
"553","AMBRA1","AMBRA1"
"554","AMD1","AMD1"
"555","AMDHD1","AMDHD1"
"556","AMDHD2","AMDHD2"
"557","AMELX","AMELX"
"558","AMER1","AMER1"
"559","AMER2","AMER2"
"560","AMER3","AMER3"
"561","AMFR","AMFR"
"562","AMHR2","AMHR2"
"563","AMIGO1","AMIGO1"
"564","AMIGO2","AMIGO2"
"565","AMIGO3","AMIGO3"
"566","AMMECR1","AMMECR1"
"567","AMMECR1L","AMMECR1L"
"568","AMN","AMN"
"569","AMN1","AMN1"
"570","AMOT","AMOT"
"571","AMOTL1","AMOTL1"
"572","AMOTL2","AMOTL2"
"573","AMPD1","AMPD1"
"574","AMPD2","AMPD2"
"575","AMPD3","AMPD3"
"576","AMPH","AMPH"
"577","AMT","AMT"
"578","AMTN","AMTN"
"579","AMY2B","AMY2B"
"580","AMZ1","AMZ1"
"581","AMZ2","AMZ2"
"582","ANAPC1","ANAPC1"
"583","ANAPC10","ANAPC10"
"584","ANAPC11","ANAPC11"
"585","ANAPC13","ANAPC13"
"586","ANAPC15","ANAPC15"
"587","ANAPC16","ANAPC16"
"588","ANAPC2","ANAPC2"
"589","ANAPC4","ANAPC4"
"590","ANAPC5","ANAPC5"
"591","ANAPC7","ANAPC7"
"592","ANG","ANG"
"593","ANG","ANG2"
"594","ANGEL1","ANGEL1"
"595","ANGEL2","ANGEL2"
"596","ANGPT1","ANGPT1"
"597","ANGPT2","ANGPT2"
"598","ANGPT4","ANGPT4"
"599","ANGPTL1","ANGPTL1"
"600","ANGPTL2","ANGPTL2"
"601","ANGPTL3","ANGPTL3"
"602","ANGPTL4","ANGPTL4"
"603","ANGPTL5","ANGPTL5"
"604","ANGPTL6","ANGPTL6"
"605","ANGPTL7","ANGPTL7"
"606","ANGPTL8","ANGPTL8"
"607","ANHX","ANHX"
"608","ANK1","ANK1"
"609","ANK2","ANK2"
"610","ANK3","ANK3"
"611","ANKAR","ANKAR"
"612","ANKEF1","ANKEF1"
"613","ANKFN1","ANKFN1"
"614","ANKFY1","ANKFY1"
"615","ANKH","ANKH"
"616","ANKIB1","ANKIB1"
"617","ANKLE1","ANKLE1"
"618","ANKLE2","ANKLE2"
"619","ANKMY1","ANKMY1"
"620","ANKMY2","ANKMY2"
"621","ANKRA2","ANKRA2"
"622","ANKRD1","ANKRD1"
"623","ANKRD10","ANKRD10"
"624","ANKRD11","ANKRD11"
"625","ANKRD12","ANKRD12"
"626","ANKRD13A","ANKRD13A"
"627","ANKRD13B","ANKRD13B"
"628","ANKRD13C","ANKRD13C"
"629","ANKRD13D","ANKRD13D"
"630","ANKRD16","ANKRD16"
"631","ANKRD17","ANKRD17"
"632","ANKRD2","ANKRD2"
"633","ANKRD22","ANKRD22"
"634","ANKRD23","ANKRD23"
"635","ANKRD24","ANKRD24"
"636","ANKRD27","ANKRD27"
"637","ANKRD28","ANKRD28"
"638","ANKRD29","ANKRD29"
"639","ANKRD31","ANKRD31"
"640","ANKRD33","ANKRD33"
"641","ANKRD33B","ANKRD33B"
"642","ANKRD34A","ANKRD34A"
"643","ANKRD34B","ANKRD34B"
"644","ANKRD34C","ANKRD34C"
"645","ANKRD35","ANKRD35"
"646","ANKRD37","ANKRD37"
"647","ANKRD39","ANKRD39"
"648","ANKRD40","ANKRD40"
"649","ANKRD40CL","ANKRD40CL"
"650","ANKRD42","ANKRD42"
"651","ANKRD44","ANKRD44"
"652","ANKRD45","ANKRD45"
"653","ANKRD46","ANKRD46"
"654","ANKRD49","ANKRD49"
"655","ANKRD50","ANKRD50"
"656","ANKRD52","ANKRD52"
"657","ANKRD53","ANKRD53"
"658","ANKRD54","ANKRD54"
"659","ANKRD55","ANKRD55"
"660","ANKRD6","ANKRD6"
"661","ANKRD61","ANKRD61"
"662","ANKRD63","ANKRD63"
"663","ANKRD65","ANKRD65"
"664","ANKRD66","ANKRD66"
"665","ANKRD9","ANKRD9"
"666","ANKS1A","ANKS1A"
"667","ANKS1B","ANKS1B"
"668","ANKS3","ANKS3"
"669","ANKS4B","ANKS4B"
"670","ANKS6","ANKS6"
"671","ANKUB1","ANKUB1"
"672","ANKZF1","ANKZF1"
"673","ANLN","ANLN"
"674","ANO1","ANO1"
"675","ANO10","ANO10"
"676","ANO2","ANO2"
"677","ANO3","ANO3"
"678","ANO4","ANO4"
"679","ANO5","ANO5"
"680","ANO6","ANO6"
"681","ANO8","ANO8"
"682","ANO9","ANO9"
"683","ANOS1","ANOS1"
"684","ANP32A","ANP32A"
"685","ANP32B","ANP32B"
"686","ANP32E","ANP32E"
"687","ANPEP","ANPEP"
"688","ANTKMT","ANTKMT"
"689","ANTXR1","ANTXR1"
"690","ANTXR2","ANTXR2"
"691","ANXA1","ANXA1"
"692","ANXA10","ANXA10"
"693","ANXA11","ANXA11"
"694","ANXA13","ANXA13"
"695","ANXA3","ANXA3"
"696","ANXA4","ANXA4"
"697","ANXA5","ANXA5"
"698","ANXA6","ANXA6"
"699","ANXA7","ANXA7"
"700","ANXA8","ANXA8L1"
"701","ANXA9","ANXA9"
"702","AOAH","AOAH"
"703","AOC1","AOC1"
"704","AOC2","AOC2"
"705","AOC3","AOC3"
"706","AOPEP","AOPEP"
"707","AOX1","AOX1"
"708","AP1AR","AP1AR"
"709","AP1B1","AP1B1"
"710","AP1G1","AP1G1"
"711","AP1G2","AP1G2"
"712","AP1M1","AP1M1"
"713","AP1M2","AP1M2"
"714","AP1S1","AP1S1"
"715","AP1S2","AP1S2"
"716","AP1S3","AP1S3"
"717","AP2A1","AP2A1"
"718","AP2A2","AP2A2"
"719","AP2B1","AP2B1"
"720","AP2M1","AP2M1"
"721","AP2S1","AP2S1"
"722","AP3B1","AP3B1"
"723","AP3B2","AP3B2"
"724","AP3D1","AP3D1"
"725","AP3M1","AP3M1"
"726","AP3M2","AP3M2"
"727","AP3S2","AP3S2"
"728","AP4B1","AP4B1"
"729","AP4E1","AP4E1"
"730","AP4M1","AP4M1"
"731","AP4S1","AP4S1"
"732","AP5B1","AP5B1"
"733","AP5M1","AP5M1"
"734","AP5S1","AP5S1"
"735","AP5Z1","AP5Z1"
"736","APAF1","APAF1"
"737","APBA1","APBA1"
"738","APBA2","APBA2"
"739","APBA3","APBA3"
"740","APBB1","APBB1"
"741","APBB1IP","APBB1IP"
"742","APBB2","APBB2"
"743","APBB3","APBB3"
"744","APC","APC"
"745","APC2","APC2"
"746","APCDD1","APCDD1"
"747","APCDD1L","APCDD1L"
"748","APCS","APCS"
"749","APEH","APEH"
"750","APEX1","APEX1"
"751","APEX2","APEX2"
"752","APH1A","APH1A"
"753","APH1B","APH1B"
"754","API5","API5"
"755","APIP","APIP"
"756","APLF","APLF"
"757","APLN","APLN"
"758","APLNR","APLNR"
"759","APLP1","APLP1"
"760","APLP2","APLP2"
"761","APMAP","APMAP"
"762","APOA1","APOA1"
"763","APOA2","APOA2"
"764","APOA4","APOA4"
"765","APOA5","APOA5"
"766","APOB","APOB"
"767","APOBEC1","APOBEC1"
"768","APOBEC2","APOBEC2"
"769","APOBEC3H","APOBEC3H"
"770","APOBEC3G","APOBEC3Z1"
"771","APOBEC4","APOBEC4"
"772","APOC2","APOC2"
"773","APOC3","APOC3"
"774","APOC4","APOC4"
"775","APOD","APOD"
"776","APOE","APOE"
"777","APOF","APOF"
"778","APOH","APOH"
"779","APOL3","APOL3"
"780","APOLD1","APOLD1"
"781","APOM","APOM"
"782","APOO","APOO"
"783","APOOL","APOOL"
"784","APP","APP"
"785","APPBP2","APPBP2"
"786","APPL1","APPL1"
"787","APPL2","APPL2"
"788","APRT","APRT"
"789","APTX","APTX"
"790","AQP1","AQP1"
"791","AQP10","AQP10"
"792","AQP11","AQP11"
"793","AQP12B","AQP12"
"794","AQP2","AQP2"
"795","AQP3","AQP3"
"796","AQP4","AQP4"
"797","AQP6","AQP5"
"798","AQP7","AQP7"
"799","AQP8","AQP8"
"800","AQP9","AQP9"
"801","AQR","AQR"
"802","AR","AR"
"803","ARAF","ARAF"
"804","ARAP1","ARAP1"
"805","ARAP2","ARAP2"
"806","ARAP3","ARAP3"
"807","ARC","ARC"
"808","ARCN1","ARCN1"
"809","AREG","AREG"
"810","AREL1","AREL1"
"811","ARF1","ARF1"
"812","ARL17A","ARF2"
"813","ARF3","ARF3"
"814","ARF6","ARF6"
"815","ARFGAP1","ARFGAP1"
"816","ARFGAP2","ARFGAP2"
"817","ARFGAP3","ARFGAP3"
"818","ARFGEF1","ARFGEF1"
"819","ARFGEF2","ARFGEF2"
"820","ARFGEF3","ARFGEF3"
"821","ARFIP1","ARFIP1"
"822","ARFIP2","ARFIP2"
"823","ARFRP1","ARFRP1"
"824","ARG1","ARG1"
"825","ARG2","ARG2"
"826","ARGLU1","ARGLU1"
"827","ARHGAP1","ARHGAP1"
"828","ARHGAP10","ARHGAP10"
"829","ARHGAP12","ARHGAP12"
"830","ARHGAP15","ARHGAP15"
"831","ARHGAP17","ARHGAP17"
"832","ARHGAP18","ARHGAP18"
"833","ARHGAP19","ARHGAP19"
"834","ARHGAP20","ARHGAP20"
"835","ARHGAP21","ARHGAP21"
"836","ARHGAP22","ARHGAP22"
"837","ARHGAP23","ARHGAP23"
"838","ARHGAP24","ARHGAP24"
"839","ARHGAP25","ARHGAP25"
"840","ARHGAP26","ARHGAP26"
"841","ARHGAP27","ARHGAP27"
"842","ARHGAP28","ARHGAP28"
"843","ARHGAP29","ARHGAP29"
"844","ARHGAP30","ARHGAP30"
"845","ARHGAP31","ARHGAP31"
"846","ARHGAP32","ARHGAP32"
"847","ARHGAP33","ARHGAP33"
"848","ARHGAP35","ARHGAP35"
"849","ARHGAP36","ARHGAP36"
"850","ARHGAP39","ARHGAP39"
"851","ARHGAP4","ARHGAP4"
"852","ARHGAP42","ARHGAP42"
"853","ARHGAP44","ARHGAP44"
"854","ARHGAP45","ARHGAP45"
"855","ARHGAP5","ARHGAP5"
"856","ARHGAP6","ARHGAP6"
"857","ARHGAP8","ARHGAP8"
"858","ARHGAP9","ARHGAP9"
"859","ARHGDIA","ARHGDIA"
