"","human_gene","Sheep_gene"
"104","ABT1","ABT1"
"105","ABTB1","ABTB1"
"106","ABTB2","ABTB2"
"107","ABTB3","ABTB3"
"108","ACAA1","ACAA1"
"109","ACAA2","ACAA2"
"110","ACACA","ACACA"
"111","ACACB","ACACB"
"112","ACAD11","ACAD11"
"113","ACAD8","ACAD8"
"114","ACAD9","ACAD9"
"115","ACADL","ACADL"
"116","ACADM","ACADM"
"117","ACADS","ACADS"
"118","ACADSB","ACADSB"
"119","ACADVL","ACADVL"
"120","ACAN","ACAN"
"121","ACAP1","ACAP1"
"122","ACAP2","ACAP2"
"123","ACAP3","ACAP3"
"124","ACAT1","ACAT1"
"125","ACAT2","ACAT2"
"126","ACBD3","ACBD3"
"127","ACBD4","ACBD4"
"128","ACBD6","ACBD6"
"129","ACCS","ACCS"
"130","ACCSL","ACCSL"
"131","ACD","ACD"
"132","ACE","ACE"
"133","ACE2","ACE2"
"134","ACER1","ACER1"
"135","ACER2","ACER2"
"136","ACER3","ACER3"
"137","ACHE","ACHE"
"138","ACKR1","ACKR1"
"139","ACKR3","ACKR3"
"140","ACKR4","ACKR4"
"141","ACLY","ACLY"
"142","ACMSD","ACMSD"
"143","ACO1","ACO1"
"144","ACO2","ACO2"
"145","ACOD1","ACOD1"
"146","ACOT11","ACOT11"
"147","ACOT12","ACOT12"
"148","ACOT4","ACOT4"
"149","ACOT6","ACOT6"
"150","ACOT7","ACOT7"
"151","ACOT8","ACOT8"
"152","ACOT9","ACOT9"
"153","ACOX1","ACOX1"
"154","ACOX2","ACOX2"
"155","ACOX3","ACOX3"
"156","ACOXL","ACOXL"
"157","ACP2","ACP2"
"158","ACP3","ACP3"
"159","ACP4","ACP4"
"160","ACP5","ACP5"
"161","ACP6","ACP6"
"162","ACP7","ACP7"
"163","ACRBP","ACRBP"
"164","ACRV1","ACRV1"
"165","ACSBG1","ACSBG1"
"166","ACSBG2","ACSBG2"
"167","ACSF2","ACSF2"
"168","ACSF3","ACSF3"
"169","ACSL1","ACSL1"
"170","ACSL3","ACSL3"
"171","ACSL4","ACSL4"
"172","ACSL5","ACSL5"
"173","ACSM1","ACSM1"
"174","ACSM3","ACSM3"
"175","ACSM4","ACSM4"
"176","ACSM5","ACSM5"
"177","ACSS1","ACSS1"
"178","ACSS2","ACSS2"
"179","ACSS3","ACSS3"
"180","ACTA1","ACTA1"
"181","ACTA2","ACTA2"
"182","ACTBL2","ACTBL2"
"183","ACTC1","ACTC1"
"184","ACTG1","ACTG1"
"185","ACTG2","ACTG2"
"186","ACTL6A","ACTL6A"
"187","ACTL6B","ACTL6B"
"188","ACTL7A","ACTL7A"
"189","ACTL7B","ACTL7B"
"190","ACTL8","ACTL8"
"191","ACTL9","ACTL9"
"192","ACTMAP","ACTMAP"
"193","ACTN1","ACTN1"
"194","ACTN2","ACTN2"
"195","ACTN3","ACTN3"
"196","ACTN4","ACTN4"
"197","ACTR10","ACTR10"
"198","ACTR1A","ACTR1A"
"199","ACTR1B","ACTR1B"
"200","ACTR2","ACTR2"
"201","ACTR3","ACTR3"
"202","ACTR5","ACTR5"
"203","ACTR6","ACTR6"
"204","ACTR8","ACTR8"
"205","ACTRT1","ACTRT1"
"206","ACTRT2","ACTRT2"
"207","ACTRT3","ACTRT3"
"208","ACVR1","ACVR1"
"209","ACVR1B","ACVR1B"
"210","ACVR1C","ACVR1C"
"211","ACVR2A","ACVR2A"
"212","ACVR2B","ACVR2B"
"213","ACVRL1","ACVRL1"
"214","ACY1","ACY1"
"215","ADA","ADA"
"216","ADA2","ADA2"
"217","ADAD1","ADAD1"
"218","ADAD2","ADAD2"
"219","ADAL","ADAL"
"220","ADAM10","ADAM10"
"221","ADAM11","ADAM11"
"222","ADAM12","ADAM12"
"223","ADAM15","ADAM15"
"224","ADAM17","ADAM17"
"225","ADAM18","ADAM18"
"226","ADAM19","ADAM19"
"227","ADAM2","ADAM2"
"228","ADAM20","ADAM20"
"229","ADAM21","ADAM21"
"230","ADAM22","ADAM22"
"231","ADAM23","ADAM23"
"232","ADAM28","ADAM28"
"233","ADAM29","ADAM29"
"234","ADAM30","ADAM30"
"235","ADAM32","ADAM32"
"236","ADAM33","ADAM33"
"237","ADAM7","ADAM7"
"238","ADAM8","ADAM8"
"239","ADAM9","ADAM9"
"240","ADAMDEC1","ADAMDEC1"
"241","ADAMTS1","ADAMTS1"
"242","ADAMTS10","ADAMTS10"
"243","ADAMTS12","ADAMTS12"
"244","ADAMTS13","ADAMTS13"
"245","ADAMTS14","ADAMTS14"
"246","ADAMTS15","ADAMTS15"
"247","ADAMTS16","ADAMTS16"
"248","ADAMTS17","ADAMTS17"
"249","ADAMTS18","ADAMTS18"
"250","ADAMTS19","ADAMTS19"
"251","ADAMTS2","ADAMTS2"
"252","ADAMTS20","ADAMTS20"
"253","ADAMTS3","ADAMTS3"
"254","ADAMTS4","ADAMTS4"
"255","ADAMTS5","ADAMTS5"
"256","ADAMTS6","ADAMTS6"
"257","ADAMTS7","ADAMTS7"
"258","ADAMTS9","ADAMTS9"
"259","ADAMTSL1","ADAMTSL1"
"260","ADAMTSL2","ADAMTSL2"
"261","ADAMTSL3","ADAMTSL3"
"262","ADAMTSL4","ADAMTSL4"
"263","ADAMTSL5","ADAMTSL5"
"264","ADAP1","ADAP1"
"265","ADAP2","ADAP2"
"266","ADAR","ADAR"
"267","ADARB1","ADARB1"
"268","ADARB2","ADARB2"
"269","ADAT1","ADAT1"
"270","ADAT2","ADAT2"
"271","ADCK1","ADCK1"
"272","ADCK2","ADCK2"
"273","ADCK5","ADCK5"
"274","ADCY1","ADCY1"
"275","ADCY10","ADCY10"
"276","ADCY2","ADCY2"
"277","ADCY3","ADCY3"
"278","ADCY4","ADCY4"
"279","ADCY5","ADCY5"
"280","ADCY6","ADCY6"
"281","ADCY7","ADCY7"
"282","ADCY8","ADCY8"
"283","ADCY9","ADCY9"
"284","ADCYAP1","ADCYAP1"
"285","ADCYAP1R1","ADCYAP1R1"
"286","ADD1","ADD1"
"287","ADD2","ADD2"
"288","ADD3","ADD3"
"289","ADGB","ADGB"
"290","ADGRA1","ADGRA1"
"291","ADGRA2","ADGRA2"
"292","ADGRA3","ADGRA3"
"293","ADGRB1","ADGRB1"
"294","ADGRB2","ADGRB2"
"295","ADGRB3","ADGRB3"
"296","ADGRD1","ADGRD1"
"297","ADGRD2","ADGRD2"
"298","ADGRE2","ADGRE2"
"299","ADGRE3","ADGRE3"
"300","ADGRE5","ADGRE5"
"301","ADGRF1","ADGRF1"
"302","ADGRF3","ADGRF3"
"303","ADGRF4","ADGRF4"
"304","ADGRF5","ADGRF5"
"305","ADGRG1","ADGRG1"
"306","ADGRG2","ADGRG2"
"307","ADGRG3","ADGRG3"
"308","ADGRG5","ADGRG5"
"309","ADGRG6","ADGRG6"
"310","ADGRG7","ADGRG7"
"311","ADGRL1","ADGRL1"
"312","ADGRL2","ADGRL2"
"313","ADGRL3","ADGRL3"
"314","ADGRL4","ADGRL4"
"315","ADGRV1","ADGRV1"
"316","ADH5","ADH5"
"317","ADHFE1","ADHFE1"
"318","ADI1","ADI1"
"319","ADIG","ADIG"
"320","ADIPOQ","ADIPOQ"
"321","ADIPOR1","ADIPOR1"
"322","ADIRF","ADIRF"
"323","ADISSP","ADISSP"
"324","ADK","ADK"
"325","ADM","ADM"
"326","ADM2","ADM2"
"327","ADNP","ADNP"
"328","ADNP2","ADNP2"
"329","ADO","ADO"
"330","ADORA1","ADORA1"
"331","ADORA2A","ADORA2A"
"332","ADORA2B","ADORA2B"
"333","ADPGK","ADPGK"
"334","ADPRH","ADPRH"
"335","ADPRM","ADPRM"
"336","ADPRS","ADPRS"
"337","ADRA1A","ADRA1A"
"338","ADRA1B","ADRA1B"
"339","ADRA1D","ADRA1D"
"340","ADRA2A","ADRA2A"
"341","ADRA2B","ADRA2B"
"342","ADRA2C","ADRA2C"
"343","ADRB2","ADRB2"
"344","ADRB3","ADRB3"
"345","ADRM1","ADRM1"
"346","ADSL","ADSL"
"347","ADSS1","ADSS1"
"348","ADSS2","ADSS2"
"349","ADTRP","ADTRP"
"350","AEBP1","AEBP1"
"351","AEBP2","AEBP2"
"352","AEN","AEN"
"353","AFAP1","AFAP1"
"354","AFAP1L1","AFAP1L1"
"355","AFAP1L2","AFAP1L2"
"356","AFDN","AFDN"
"357","AFF1","AFF1"
"358","AFF2","AFF2"
"359","AFF3","AFF3"
"360","AFF4","AFF4"
"361","AFG1L","AFG1L"
"362","AFG2A","AFG2A"
"363","AFG2B","AFG2B"
"364","AFG3L2","AFG3L2"
"365","AFM","AFM"
"366","AFMID","AFMID"
"367","AFP","AFP"
"368","AGA","AGA"
"369","AGAP1","AGAP1"
"370","AGAP2","AGAP2"
"371","AGAP3","AGAP3"
"372","AGBL1","AGBL1"
"373","AGBL2","AGBL2"
"374","AGBL3","AGBL3"
"375","AGBL4","AGBL4"
"376","AGBL5","AGBL5"
"377","AGER","AGER"
"378","AGFG1","AGFG1"
"379","AGFG2","AGFG2"
"380","AGGF1","AGGF1"
"381","AGK","AGK"
"382","AGL","AGL"
"383","AGMAT","AGMAT"
"384","AGMO","AGMO"
"385","AGO1","AGO1"
"386","AGO2","AGO2"
"387","AGO3","AGO3"
"388","AGO4","AGO4"
"389","AGPAT1","AGPAT1"
"390","AGPAT2","AGPAT2"
"391","AGPAT3","AGPAT3"
"392","AGPAT4","AGPAT4"
"393","AGPAT5","AGPAT5"
"394","AGPS","AGPS"
"395","AGR2","AGR2"
"396","AGR3","AGR3"
"397","AGRN","AGRN"
"398","AGRP","AGRP"
"399","AGT","AGT"
"400","AGTPBP1","AGTPBP1"
"401","AGTR1","AGTR1"
"402","AGTR2","AGTR2"
"403","AGTRAP","AGTRAP"
"404","AGXT","AGXT"
"405","AGXT2","AGXT2"
"406","AHCTF1","AHCTF1"
"407","AHCY","AHCY"
"408","AHCYL1","AHCYL1"
"409","AHCYL2","AHCYL2"
"410","AHDC1","AHDC1"
"411","AHI1","AHI1"
"412","AHNAK","AHNAK"
"413","AHR","AHR"
"414","AHRR","AHRR"
"415","AHSA1","AHSA1"
"416","AHSG","AHSG"
"417","AICDA","AICDA"
"418","AIDA","AIDA"
"419","AIF1","AIF1"
"420","AIF1L","AIF1L"
"421","AIFM1","AIFM1"
"422","AIFM2","AIFM2"
"423","AIFM3","AIFM3"
"424","AIG1","AIG1"
"425","AIMP1","AIMP1"
"426","AIMP2","AIMP2"
"427","AIP","AIP"
"428","AIPL1","AIPL1"
"429","AIRE","AIRE"
"430","AIRIM","AIRIM"
"431","AJAP1","AJAP1"
"432","AJM1","AJM1"
"433","AJUBA","AJUBA"
"434","AK1","AK1"
"435","AK2","AK2"
"436","AK3","AK3"
"437","AK5","AK5"
"438","AK6","AK6"
"439","AK7","AK7"
"440","AK8","AK8"
"441","AK9","AK9"
"442","AKAIN1","AKAIN1"
"443","AKAP1","AKAP1"
"444","AKAP10","AKAP10"
"445","AKAP11","AKAP11"
"446","AKAP12","AKAP12"
"447","AKAP13","AKAP13"
"448","AKAP17A","AKAP17A"
"449","AKAP4","AKAP4"
"450","AKAP5","AKAP5"
"451","AKAP6","AKAP6"
"452","AKAP7","AKAP7"
"453","AKAP8","AKAP8"
"454","AKAP8L","AKAP8L"
"455","AKAP9","AKAP9"
"456","AKIP1","AKIP1"
"457","AKIRIN1","AKIRIN1"
"458","AKIRIN2","AKIRIN2"
"459","AKNA","AKNA"
"460","AKR1A1","AKR1A1"
"461","AKR1D1","AKR1D1"
"462","AKT1","AKT1"
"463","AKT1S1","AKT1S1"
"464","AKT3","AKT3"
"465","AKTIP","AKTIP"
"466","ALAD","ALAD"
"467","ALAS1","ALAS1"
"468","ALAS2","ALAS2"
"469","ALB","ALB"
"470","ALCAM","ALCAM"
"471","ALDH16A1","ALDH16A1"
"472","ALDH18A1","ALDH18A1"
"473","ALDH1A1","ALDH1A1"
"474","ALDH1A2","ALDH1A2"
"475","ALDH1A3","ALDH1A3"
"476","ALDH1L1","ALDH1L1"
"477","ALDH1L2","ALDH1L2"
"478","ALDH2","ALDH2"
"479","ALDH3A1","ALDH3A1"
"480","ALDH3B2","ALDH3B2"
"481","ALDH4A1","ALDH4A1"
"482","ALDH5A1","ALDH5A1"
"483","ALDH6A1","ALDH6A1"
"484","ALDH7A1","ALDH7A1"
"485","ALDH8A1","ALDH8A1"
"486","ALDOA","ALDOA"
"487","ALDOB","ALDOB"
"488","ALDOC","ALDOC"
"489","ALG11","ALG11"
"490","ALG12","ALG12"
"491","ALG13","ALG13"
"492","ALG14","ALG14"
"493","ALG2","ALG2"
"494","ALG3","ALG3"
"495","ALG5","ALG5"
"496","ALG6","ALG6"
"497","ALG8","ALG8"
"498","ALG9","ALG9"
"499","ALK","ALK"
"500","ALKAL1","ALKAL1"
"501","ALKAL2","ALKAL2"
"502","ALKBH1","ALKBH1"
"503","ALKBH2","ALKBH2"
"504","ALKBH3","ALKBH3"
"505","ALKBH4","ALKBH4"
"506","ALKBH5","ALKBH5"
"507","ALKBH6","ALKBH6"
"508","ALKBH7","ALKBH7"
"509","ALKBH8","ALKBH8"
"510","ALLC","ALLC"
"511","ALMS1","ALMS1"
"512","ALOX12","ALOX12"
"513","ALOX12B","ALOX12B"
"514","ALOX15","ALOX15"
"515","ALOX15B","ALOX15B"
"516","ALOX5","ALOX5"
"517","ALOX5AP","ALOX5AP"
"518","ALOXE3","ALOXE3"
"519","ALPK1","ALPK1"
"520","ALPK2","ALPK2"
"521","ALPK3","ALPK3"
"522","ALPL","ALPL"
"523","ALS2","ALS2"
"524","ALS2CL","ALS2CL"
"525","ALX1","ALX1"
"526","ALX3","ALX3"
"527","ALX4","ALX4"
"528","ALYREF","ALYREF"
"529","AMACR","AMACR"
"530","AMBN","AMBN"
"531","AMBP","AMBP"
"532","AMBRA1","AMBRA1"
"533","AMD1","AMD1"
"534","AMDHD1","AMDHD1"
"535","AMDHD2","AMDHD2"
"536","AMELX","AMELX"
"537","AMER1","AMER1"
"538","AMER2","AMER2"
"539","AMER3","AMER3"
"540","AMFR","AMFR"
"541","AMH","AMH"
"542","AMHR2","AMHR2"
"543","AMIGO1","AMIGO1"
"544","AMIGO2","AMIGO2"
"545","AMIGO3","AMIGO3"
"546","AMMECR1","AMMECR1"
"547","AMMECR1L","AMMECR1L"
"548","AMN","AMN"
"549","AMN1","AMN1"
"550","AMOT","AMOT"
"551","AMOTL1","AMOTL1"
"552","AMOTL2","AMOTL2"
"553","AMPD1","AMPD1"
"554","AMPD2","AMPD2"
"555","AMPD3","AMPD3"
"556","AMPH","AMPH"
"557","AMT","AMT"
"558","AMTN","AMTN"
"559","AMZ1","AMZ1"
"560","AMZ2","AMZ2"
"561","ANAPC1","ANAPC1"
"562","ANAPC10","ANAPC10"
"563","ANAPC13","ANAPC13"
"564","ANAPC16","ANAPC16"
"565","ANAPC2","ANAPC2"
"566","ANAPC4","ANAPC4"
"567","ANAPC5","ANAPC5"
"568","ANAPC7","ANAPC7"
"569","ANGEL1","ANGEL1"
"570","ANGEL2","ANGEL2"
"571","ANGPT1","ANGPT1"
"572","ANGPT2","ANGPT2"
"573","ANGPT4","ANGPT4"
"574","ANGPTL1","ANGPTL1"
"575","ANGPTL2","ANGPTL2"
"576","ANGPTL3","ANGPTL3"
"577","ANGPTL4","ANGPTL4"
"578","ANGPTL5","ANGPTL5"
"579","ANGPTL6","ANGPTL6"
"580","ANGPTL7","ANGPTL7"
"581","ANGPTL8","ANGPTL8"
"582","ANHX","ANHX"
"583","ANK1","ANK1"
"584","ANK2","ANK2"
"585","ANK3","ANK3"
"586","ANKAR","ANKAR"
"587","ANKEF1","ANKEF1"
"588","ANKFN1","ANKFN1"
"589","ANKFY1","ANKFY1"
"590","ANKH","ANKH"
"591","ANKHD1","ANKHD1"
"592","ANKIB1","ANKIB1"
"593","ANKLE1","ANKLE1"
"594","ANKLE2","ANKLE2"
"595","ANKMY1","ANKMY1"
"596","ANKMY2","ANKMY2"
"597","ANKRA2","ANKRA2"
"598","ANKRD1","ANKRD1"
"599","ANKRD10","ANKRD10"
"600","ANKRD11","ANKRD11"
"601","ANKRD12","ANKRD12"
"602","ANKRD13A","ANKRD13A"
"603","ANKRD13B","ANKRD13B"
"604","ANKRD13C","ANKRD13C"
"605","ANKRD13D","ANKRD13D"
"606","ANKRD16","ANKRD16"
"607","ANKRD17","ANKRD17"
"608","ANKRD2","ANKRD2"
"609","ANKRD22","ANKRD22"
"610","ANKRD23","ANKRD23"
"611","ANKRD24","ANKRD24"
"612","ANKRD27","ANKRD27"
"613","ANKRD28","ANKRD28"
"614","ANKRD29","ANKRD29"
"615","ANKRD31","ANKRD31"
"616","ANKRD33B","ANKRD33B"
"617","ANKRD34A","ANKRD34A"
"618","ANKRD34B","ANKRD34B"
"619","ANKRD34C","ANKRD34C"
"620","ANKRD35","ANKRD35"
"621","ANKRD37","ANKRD37"
"622","ANKRD39","ANKRD39"
"623","ANKRD40","ANKRD40"
"624","ANKRD40CL","ANKRD40CL"
"625","ANKRD42","ANKRD42"
"626","ANKRD44","ANKRD44"
"627","ANKRD45","ANKRD45"
"628","ANKRD46","ANKRD46"
"629","ANKRD49","ANKRD49"
"630","ANKRD50","ANKRD50"
"631","ANKRD52","ANKRD52"
"632","ANKRD53","ANKRD53"
"633","ANKRD54","ANKRD54"
"634","ANKRD55","ANKRD55"
"635","ANKRD6","ANKRD6"
"636","ANKRD61","ANKRD61"
"637","ANKRD63","ANKRD63"
"638","ANKRD65","ANKRD65"
"639","ANKRD66","ANKRD66"
"640","ANKRD9","ANKRD9"
"641","ANKS1A","ANKS1A"
"642","ANKS1B","ANKS1B"
"643","ANKS3","ANKS3"
"644","ANKS4B","ANKS4B"
"645","ANKS6","ANKS6"
"646","ANKUB1","ANKUB1"
"647","ANKZF1","ANKZF1"
"648","ANLN","ANLN"
"649","ANO1","ANO1"
"650","ANO10","ANO10"
"651","ANO2","ANO2"
"652","ANO3","ANO3"
"653","ANO4","ANO4"
"654","ANO6","ANO6"
"655","ANO8","ANO8"
"656","ANO9","ANO9"
"657","ANOS1","ANOS1"
"658","ANP32E","ANP32E"
"659","ANPEP","ANPEP"
"660","ANTKMT","ANTKMT"
"661","ANTXR1","ANTXR1"
"662","ANTXR2","ANTXR2"
"663","ANXA1","ANXA1"
"664","ANXA10","ANXA10"
"665","ANXA11","ANXA11"
"666","ANXA13","ANXA13"
"667","ANXA2","ANXA2"
"668","ANXA3","ANXA3"
"669","ANXA4","ANXA4"
"670","ANXA6","ANXA6"
"671","ANXA7","ANXA7"
"672","ANXA9","ANXA9"
"673","AOAH","AOAH"
"674","AOC1","AOC1"
"675","AOC2","AOC2"
"676","AOX1","AOX1"
"677","AP1AR","AP1AR"
"678","AP1B1","AP1B1"
"679","AP1G1","AP1G1"
"680","AP1G2","AP1G2"
"681","AP1M1","AP1M1"
"682","AP1M2","AP1M2"
"683","AP1S1","AP1S1"
"684","AP1S2","AP1S2"
"685","AP1S3","AP1S3"
"686","AP2A1","AP2A1"
"687","AP2A2","AP2A2"
"688","AP2B1","AP2B1"
"689","AP2S1","AP2S1"
"690","AP3B1","AP3B1"
"691","AP3B2","AP3B2"
"692","AP3D1","AP3D1"
"693","AP3M1","AP3M1"
"694","AP3M2","AP3M2"
"695","AP3S1","AP3S1"
"696","AP3S2","AP3S2"
"697","AP4B1","AP4B1"
"698","AP4E1","AP4E1"
"699","AP4M1","AP4M1"
"700","AP4S1","AP4S1"
"701","AP5B1","AP5B1"
"702","AP5M1","AP5M1"
"703","AP5S1","AP5S1"
"704","AP5Z1","AP5Z1"
"705","APAF1","APAF1"
"706","APBA1","APBA1"
"707","APBA3","APBA3"
"708","APBB1","APBB1"
"709","APBB1IP","APBB1IP"
"710","APBB2","APBB2"
"711","APBB3","APBB3"
"712","APC","APC"
"713","APC2","APC2"
"714","APCDD1","APCDD1"
"715","APCDD1L","APCDD1L"
"716","APEH","APEH"
"717","APEX1","APEX1"
"718","APEX2","APEX2"
"719","APH1A","APH1A"
"720","APH1B","APH1B"
"721","API5","API5"
"722","APIP","APIP"
"723","APLF","APLF"
"724","APLNR","APLNR"
"725","APLP1","APLP1"
"726","APLP2","APLP2"
"727","APMAP","APMAP"
"728","APOA1","APOA1"
"729","NAXE","APOA1BP"
"730","APOA4","APOA4"
"731","APOA5","APOA5"
"732","APOB","APOB"
"733","APOBEC1","APOBEC1"
"734","APOBEC2","APOBEC2"
"735","APOBEC3H","APOBEC3Z3"
"736","APOBEC4","APOBEC4"
"737","APOC3","APOC3"
"738","APOD","APOD"
"739","APOE","APOE"
"740","APOH","APOH"
"741","APOLD1","APOLD1"
"742","APOO","APOO"
"743","APOOL","APOOL"
"744","APP","APP"
"745","APPBP2","APPBP2"
"746","APPL1","APPL1"
"747","APPL2","APPL2"
"748","APRT","APRT"
"749","APTX","APTX"
"750","AQP1","AQP1"
"751","AQP11","AQP11"
"752","AQP2","AQP2"
"753","AQP3","AQP3"
"754","AQP4","AQP4"
"755","AQP5","AQP5"
"756","AQP6","AQP6"
"757","AQP7","AQP7"
"758","AQP8","AQP8"
"759","AQP9","AQP9"
"760","AQR","AQR"
"761","AR","AR"
"762","ARAF","ARAF"
"763","ARAP1","ARAP1"
"764","ARAP2","ARAP2"
"765","ARAP3","ARAP3"
"766","ARC","ARC"
"767","ARCN1","ARCN1"
"768","AREL1","AREL1"
"769","ARF1","ARF1"
"770","ARF3","ARF3"
"771","ARF4","ARF4"
"772","ARF5","ARF5"
"773","ARF6","ARF6"
"774","ARFGAP2","ARFGAP2"
"775","ARFGAP3","ARFGAP3"
"776","ARFGEF1","ARFGEF1"
"777","ARFGEF2","ARFGEF2"
"778","ARFGEF3","ARFGEF3"
"779","ARFIP1","ARFIP1"
"780","ARFIP2","ARFIP2"
"781","ARG1","ARG1"
"782","ARG2","ARG2"
"783","ARGLU1","ARGLU1"
"784","ARHGAP1","ARHGAP1"
"785","ARHGAP10","ARHGAP10"
"786","ARHGAP12","ARHGAP12"
"787","ARHGAP17","ARHGAP17"
"788","ARHGAP18","ARHGAP18"
"789","ARHGAP19","ARHGAP19"
"790","ARHGAP20","ARHGAP20"
"791","ARHGAP21","ARHGAP21"
"792","ARHGAP22","ARHGAP22"
"793","ARHGAP23","ARHGAP23"
"794","ARHGAP24","ARHGAP24"
"795","ARHGAP25","ARHGAP25"
"796","ARHGAP26","ARHGAP26"
"797","ARHGAP27","ARHGAP27"
"798","ARHGAP28","ARHGAP28"
"799","ARHGAP29","ARHGAP29"
"800","ARHGAP30","ARHGAP30"
"801","ARHGAP31","ARHGAP31"
"802","ARHGAP32","ARHGAP32"
"803","ARHGAP33","ARHGAP33"
"804","ARHGAP35","ARHGAP35"
"805","ARHGAP36","ARHGAP36"
"806","ARHGAP39","ARHGAP39"
"807","ARHGAP4","ARHGAP4"
"808","ARHGAP42","ARHGAP42"
"809","ARHGAP44","ARHGAP44"
"810","ARHGAP45","ARHGAP45"
"811","ARHGAP5","ARHGAP5"
"812","ARHGAP6","ARHGAP6"
"813","ARHGAP8","ARHGAP8"
"814","ARHGAP9","ARHGAP9"
"815","ARHGDIA","ARHGDIA"
"816","ARHGDIB","ARHGDIB"
"817","ARHGDIG","ARHGDIG"
"818","ARHGEF1","ARHGEF1"
"819","ARHGEF10","ARHGEF10"
"820","ARHGEF10L","ARHGEF10L"
"821","ARHGEF11","ARHGEF11"
"822","ARHGEF12","ARHGEF12"
"823","ARHGEF15","ARHGEF15"
"824","ARHGEF16","ARHGEF16"
"825","ARHGEF17","ARHGEF17"
"826","ARHGEF18","ARHGEF18"
"827","ARHGEF19","ARHGEF19"
"828","ARHGEF2","ARHGEF2"
"829","ARHGEF25","ARHGEF25"
"830","ARHGEF26","ARHGEF26"
"831","ARHGEF28","ARHGEF28"
"832","ARHGEF3","ARHGEF3"
"833","ARHGEF33","ARHGEF33"
"834","ARHGEF37","ARHGEF37"
"835","ARHGEF38","ARHGEF38"
"836","ARHGEF39","ARHGEF39"
"837","ARHGEF4","ARHGEF4"
"838","ARHGEF40","ARHGEF40"
"839","ARHGEF5","ARHGEF5"
"840","ARHGEF6","ARHGEF6"
"841","ARHGEF7","ARHGEF7"
"842","ARID1A","ARID1A"
"843","ARID1B","ARID1B"
"844","ARID2","ARID2"
"845","ARID3A","ARID3A"
"846","ARID3B","ARID3B"
"847","ARID3C","ARID3C"
"848","ARID4A","ARID4A"
"849","ARID4B","ARID4B"
"850","ARID5A","ARID5A"
