"","human_gene","pig_gene"
"138","ACE2","ACE2"
"139","ACER1","ACER1"
"140","ACER2","ACER2"
"141","ACER3","ACER3"
"142","ACHE","ACHE"
"143","ACKR1","ACKR1"
"144","ACKR2","ACKR2"
"145","ACKR3","ACKR3"
"146","ACKR4","ACKR4"
"147","ACLY","ACLY"
"148","ACMSD","ACMSD"
"149","ACO1","ACO1"
"150","ACO2","ACO2"
"151","ACOD1","ACOD1"
"152","ACOT11","ACOT11"
"153","ACOT12","ACOT12"
"154","ACOT13","ACOT13"
"155","ACOT6","ACOT6"
"156","ACOT7","ACOT7"
"157","ACOT8","ACOT8"
"158","ACOT9","ACOT9"
"159","ACOX1","ACOX1"
"160","ACOX2","ACOX2"
"161","ACOX3","ACOX3"
"162","ACOXL","ACOXL"
"163","ACP1","ACP1"
"164","ACP2","ACP2"
"165","ACP3","ACP3"
"166","ACP4","ACP4"
"167","ACP5","ACP5"
"168","ACP6","ACP6"
"169","ACP7","ACP7"
"170","ACR","ACR"
"171","ACRBP","ACRBP"
"172","ACRV1","ACRV1"
"173","ACSBG1","ACSBG1"
"174","ACSBG2","ACSBG2"
"175","ACSF2","ACSF2"
"176","ACSF3","ACSF3"
"177","ACSL1","ACSL1"
"178","ACSL3","ACSL3"
"179","ACSL4","ACSL4"
"180","ACSL5","ACSL5"
"181","ACSL6","ACSL6"
"182","ACSM3","ACSM3"
"183","ACSM4","ACSM4"
"184","ACSM5","ACSM5"
"185","ACSS1","ACSS1"
"186","ACSS2","ACSS2"
"187","ACSS3","ACSS3"
"188","ACTA1","ACTA1"
"189","ACTA2","ACTA2"
"190","ACTB","ACTB"
"191","ACTBL2","ACTBL2"
"192","ACTC1","ACTC1"
"193","ACTG1","ACTG1"
"194","ACTG2","ACTG2"
"195","ACTL10","ACTL10"
"196","ACTL6A","ACTL6A"
"197","ACTL7A","ACTL7A"
"198","ACTL7B","ACTL7B"
"199","ACTL8","ACTL8"
"200","ACTL9","ACTL9"
"201","ACTMAP","ACTMAP"
"202","ACTN1","ACTN1"
"203","ACTN2","ACTN2"
"204","ACTN3","ACTN3"
"205","ACTN4","ACTN4"
"206","ACTR10","ACTR10"
"207","ACTR1A","ACTR1A"
"208","ACTR1B","ACTR1B"
"209","ACTR2","ACTR2"
"210","ACTR3","ACTR3"
"211","ACTR5","ACTR5"
"212","ACTR6","ACTR6"
"213","ACTR8","ACTR8"
"214","ACTRT1","ACTRT1"
"215","ACTRT2","ACTRT2"
"216","ACTRT3","ACTRT3"
"217","ACVR1","ACVR1"
"218","ACVR1B","ACVR1B"
"219","ACVR1C","ACVR1C"
"220","ACVR2A","ACVR2A"
"221","ACVR2B","ACVR2B"
"222","ACVRL1","ACVRL1"
"223","ACY1","ACY1"
"224","ACYP2","ACYP2"
"225","ADA","ADA"
"226","ADA2","ADA2"
"227","ADAD1","ADAD1"
"228","ADAD2","ADAD2"
"229","ADAL","ADAL"
"230","ADAM10","ADAM10"
"231","ADAM11","ADAM11"
"232","ADAM12","ADAM12"
"233","ADAM15","ADAM15"
"234","ADAM17","ADAM17"
"235","ADAM18","ADAM18"
"236","ADAM19","ADAM19"
"237","ADAM2","ADAM2"
"238","ADAM20","ADAM20"
"239","ADAM21","ADAM21"
"240","ADAM22","ADAM22"
"241","ADAM23","ADAM23"
"242","ADAM28","ADAM28"
"243","ADAM29","ADAM29"
"244","ADAM30","ADAM30"
"245","ADAM32","ADAM32"
"246","ADAM33","ADAM33"
"247","ADAM7","ADAM7"
"248","ADAM8","ADAM8"
"249","ADAM9","ADAM9"
"250","ADAMDEC1","ADAMDEC1"
"251","ADAMTS1","ADAMTS1"
"252","ADAMTS10","ADAMTS10"
"253","ADAMTS12","ADAMTS12"
"254","ADAMTS13","ADAMTS13"
"255","ADAMTS14","ADAMTS14"
"256","ADAMTS15","ADAMTS15"
"257","ADAMTS16","ADAMTS16"
"258","ADAMTS17","ADAMTS17"
"259","ADAMTS18","ADAMTS18"
"260","ADAMTS19","ADAMTS19"
"261","ADAMTS2","ADAMTS2"
"262","ADAMTS20","ADAMTS20"
"263","ADAMTS3","ADAMTS3"
"264","ADAMTS4","ADAMTS4"
"265","ADAMTS5","ADAMTS5"
"266","ADAMTS6","ADAMTS6"
"267","ADAMTS7","ADAMTS7"
"268","ADAMTS8","ADAMTS8"
"269","ADAMTS9","ADAMTS9"
"270","ADAMTSL1","ADAMTSL1"
"271","ADAMTSL2","ADAMTSL2"
"272","ADAMTSL3","ADAMTSL3"
"273","ADAMTSL4","ADAMTSL4"
"274","ADAMTSL5","ADAMTSL5"
"275","ADAP1","ADAP1"
"276","ADAP2","ADAP2"
"277","ADAR","ADAR"
"278","ADARB1","ADARB1"
"279","ADARB2","ADARB2"
"280","ADAT1","ADAT1"
"281","ADAT2","ADAT2"
"282","ADAT3","ADAT3"
"283","ADCK1","ADCK1"
"284","ADCK2","ADCK2"
"285","ADCK5","ADCK5"
"286","ADCY1","ADCY1"
"287","ADCY10","ADCY10"
"288","ADCY2","ADCY2"
"289","ADCY3","ADCY3"
"290","ADCY4","ADCY4"
"291","ADCY5","ADCY5"
"292","ADCY6","ADCY6"
"293","ADCY7","ADCY7"
"294","ADCY8","ADCY8"
"295","ADCY9","ADCY9"
"296","ADCYAP1","ADCYAP1"
"297","ADCYAP1R1","ADCYAP1R1"
"298","ADD1","ADD1"
"299","ADD2","ADD2"
"300","ADD3","ADD3"
"301","ADGB","ADGB"
"302","ADGRA1","ADGRA1"
"303","ADGRA2","ADGRA2"
"304","ADGRA3","ADGRA3"
"305","ADGRB1","ADGRB1"
"306","ADGRB2","ADGRB2"
"307","ADGRB3","ADGRB3"
"308","ADGRD1","ADGRD1"
"309","ADGRD2","ADGRD2"
"310","ADGRE3","ADGRE3"
"311","ADGRE5","ADGRE5"
"312","ADGRF1","ADGRF1"
"313","ADGRF3","ADGRF3"
"314","ADGRF4","ADGRF4"
"315","ADGRF5","ADGRF5"
"316","ADGRG1","ADGRG1"
"317","ADGRG2","ADGRG2"
"318","ADGRG3","ADGRG3"
"319","ADGRG5","ADGRG5"
"320","ADGRG6","ADGRG6"
"321","ADGRG7","ADGRG7"
"322","ADGRL1","ADGRL1"
"323","ADGRL2","ADGRL2"
"324","ADGRL3","ADGRL3"
"325","ADGRL4","ADGRL4"
"326","ADGRV1","ADGRV1"
"327","ADH4","ADH4"
"328","ADH5","ADH5"
"329","ADH7","ADH7"
"330","ADHFE1","ADHFE1"
"331","ADI1","ADI1"
"332","ADIG","ADIG"
"333","ADIPOQ","ADIPOQ"
"334","ADIPOR1","ADIPOR1"
"335","ADIPOR2","ADIPOR2"
"336","ADIRF","ADIRF"
"337","ADISSP","ADISSP"
"338","ADK","ADK"
"339","ADM","ADM"
"340","ADM2","ADM2"
"341","ADNP","ADNP"
"342","ADNP2","ADNP2"
"343","ADO","ADO"
"344","ADORA1","ADORA1"
"345","ADORA2A","ADORA2A"
"346","ADORA2B","ADORA2B"
"347","TMIGD3","ADORA3"
"348","ADPGK","ADPGK"
"349","ADPRH","ADPRH"
"350","ADPRM","ADPRM"
"351","ADPRS","ADPRS"
"352","ADRA1A","ADRA1A"
"353","ADRA1B","ADRA1B"
"354","ADRA1D","ADRA1D"
"355","ADRA2A","ADRA2A"
"356","ADRA2B","ADRA2B"
"357","ADRA2C","ADRA2C"
"358","ADRB1","ADRB1"
"359","ADRB2","ADRB2"
"360","ADRB3","ADRB3"
"361","ADRM1","ADRM1"
"362","ADSL","ADSL"
"363","ADSS1","ADSS1"
"364","ADSS2","ADSS2"
"365","ADTRP","ADTRP"
"366","AEBP1","AEBP1"
"367","AEBP2","AEBP2"
"368","AEN","AEN"
"369","AFAP1","AFAP1"
"370","AFAP1L1","AFAP1L1"
"371","AFAP1L2","AFAP1L2"
"372","AFDN","AFDN"
"373","AFF1","AFF1"
"374","AFF2","AFF2"
"375","AFF3","AFF3"
"376","AFF4","AFF4"
"377","AFG1L","AFG1L"
"378","AFG2A","AFG2A"
"379","AFG2B","AFG2B"
"380","AFG3L2","AFG3L2"
"381","AFM","AFM"
"382","AFMID","AFMID"
"383","AFP","AFP"
"384","AFTPH","AFTPH"
"385","AGA","AGA"
"386","AGAP1","AGAP1"
"387","AGAP2","AGAP2"
"388","AGAP3","AGAP3"
"389","AGBL1","AGBL1"
"390","AGBL2","AGBL2"
"391","AGBL3","AGBL3"
"392","AGBL5","AGBL5"
"393","AGER","AGER"
"394","AGFG1","AGFG1"
"395","AGFG2","AGFG2"
"396","AGGF1","AGGF1"
"397","AGK","AGK"
"398","AGL","AGL"
"399","AGMAT","AGMAT"
"400","AGMO","AGMO"
"401","AGO2","AGO2"
"402","AGO3","AGO3"
"403","AGPAT1","AGPAT1"
"404","AGPAT2","AGPAT2"
"405","AGPAT3","AGPAT3"
"406","AGPAT4","AGPAT4"
"407","AGPAT5","AGPAT5"
"408","AGPS","AGPS"
"409","AGR2","AGR2"
"410","AGRN","AGRN"
"411","AGRP","AGRP"
"412","AGT","AGT"
"413","AGTPBP1","AGTPBP1"
"414","AGTR1","AGTR1"
"415","AGTR2","AGTR2"
"416","AGXT","AGXT"
"417","AGXT2","AGXT2"
"418","AHCTF1","AHCTF1"
"419","AHCY","AHCY"
"420","AHCYL1","AHCYL1"
"421","AHCYL2","AHCYL2"
"422","AHI1","AHI1"
"423","AHR","AHR"
"424","AHRR","AHRR"
"425","AHSA1","AHSA1"
"426","AHSG","AHSG"
"427","AHSP","AHSP"
"428","AICDA","AICDA"
"429","AIDA","AIDA"
"430","AIF1","AIF1"
"431","AIF1L","AIF1L"
"432","AIFM1","AIFM1"
"433","AIFM2","AIFM2"
"434","AIFM3","AIFM3"
"435","AIG1","AIG1"
"436","AIMP1","AIMP1"
"437","AIMP2","AIMP2"
"438","AIP","AIP"
"439","AIPL1","AIPL1"
"440","AIRE","AIRE"
"441","AIRIM","AIRIM"
"442","AJAP1","AJAP1"
"443","AJM1","AJM1"
"444","AJUBA","AJUBA"
"445","AK1","AK1"
"446","AK3","AK3"
"447","AK5","AK5"
"448","AK6","AK6"
"449","AK7","AK7"
"450","AK8","AK8"
"451","AKAIN1","AKAIN1"
"452","AKAP1","AKAP1"
"453","AKAP10","AKAP10"
"454","AKAP11","AKAP11"
"455","AKAP12","AKAP12"
"456","AKAP17A","AKAP17A"
"457","AKAP3","AKAP3"
"458","AKAP4","AKAP4"
"459","AKAP5","AKAP5"
"460","AKAP6","AKAP6"
"461","AKAP7","AKAP7"
"462","AKAP8","AKAP8"
"463","AKAP8L","AKAP8L"
"464","AKAP9","AKAP9"
"465","AKIP1","AKIP1"
"466","AKIRIN1","AKIRIN1"
"467","AKIRIN2","AKIRIN2"
"468","AKNA","AKNA"
"469","AKR1A1","AKR1A1"
"470","AKR1B1","AKR1B1"
"471","AKR1C8","AKR1C8"
"472","AKR1D1","AKR1D1"
"473","AKR1E2","AKR1E2"
"474","AKR7L","AKR7A2"
"475","AKT1","AKT1"
"476","AKT1S1","AKT1S1"
"477","AKT2","AKT2"
"478","AKT3","AKT3"
"479","AKTIP","AKTIP"
"480","ALAD","ALAD"
"481","ALAS1","ALAS1"
"482","ALAS2","ALAS2"
"483","ALB","ALB"
"484","ALCAM","ALCAM"
"485","ALDH16A1","ALDH16A1"
"486","ALDH18A1","ALDH18A1"
"487","ALDH1A1","ALDH1A1"
"488","ALDH1A2","ALDH1A2"
"489","ALDH1A3","ALDH1A3"
"490","ALDH1B1","ALDH1B1"
"491","ALDH1L1","ALDH1L1"
"492","ALDH1L2","ALDH1L2"
"493","ALDH2","ALDH2"
"494","ALDH3A1","ALDH3A1"
"495","ALDH3A2","ALDH3A2"
"496","ALDH3B2","ALDH3B2"
"497","ALDH4A1","ALDH4A1"
"498","ALDH5A1","ALDH5A1"
"499","ALDH6A1","ALDH6A1"
"500","ALDH7A1","ALDH7A1"
"501","ALDH8A1","ALDH8A1"
"502","ALDOA","ALDOA"
"503","ALDOB","ALDOB"
"504","ALDOC","ALDOC"
"505","ALG11","ALG11"
"506","ALG12","ALG12"
"507","ALG13","ALG13"
"508","ALG14","ALG14"
"509","ALG2","ALG2"
"510","ALG3","ALG3"
"511","ALG5","ALG5"
"512","ALG6","ALG6"
"513","ALG8","ALG8"
"514","ALG9","ALG9"
"515","ALKAL1","ALKAL1"
"516","ALKAL2","ALKAL2"
"517","ALKBH1","ALKBH1"
"518","ALKBH2","ALKBH2"
"519","ALKBH3","ALKBH3"
"520","ALKBH4","ALKBH4"
"521","ALKBH5","ALKBH5"
"522","ALKBH6","ALKBH6"
"523","ALKBH7","ALKBH7"
"524","ALKBH8","ALKBH8"
"525","ALMS1","ALMS1"
"526","ALOX12","ALOX12"
"527","ALOX12B","ALOX12B"
"528","ALOX15","ALOX15"
"529","ALOX15B","ALOX15B"
"530","ALOX5","ALOX5"
"531","ALOX5AP","ALOX5AP"
"532","ALOXE3","ALOXE3"
"533","ALPK1","ALPK1"
"534","ALPK2","ALPK2"
"535","ALPK3","ALPK3"
"536","ALPL","ALPL"
"537","ALS2","ALS2"
"538","ALS2CL","ALS2CL"
"539","ALX1","ALX1"
"540","ALX3","ALX3"
"541","ALX4","ALX4"
"542","ALYREF","ALYREF"
"543","AMBN","AMBN"
"544","AMBP","AMBP"
"545","AMBRA1","AMBRA1"
"546","CXCL6","AMCF-II"
"547","AMDHD1","AMDHD1"
"548","AMDHD2","AMDHD2"
"549","AMELX","AMELY"
"550","AMER1","AMER1"
"551","AMER2","AMER2"
"552","AMER3","AMER3"
"553","AMFR","AMFR"
"554","AMH","AMH"
"555","AMHR2","AMHR2"
"556","AMIGO1","AMIGO1"
"557","AMIGO2","AMIGO2"
"558","AMIGO3","AMIGO3"
"559","AMMECR1","AMMECR1"
"560","AMMECR1L","AMMECR1L"
"561","AMN","AMN"
"562","AMN1","AMN1"
"563","AMOT","AMOT"
"564","AMOTL1","AMOTL1"
"565","AMOTL2","AMOTL2"
"566","AMPD1","AMPD1"
"567","AMPD2","AMPD2"
"568","AMPD3","AMPD3"
"569","AMPH","AMPH"
"570","AMT","AMT"
"571","AMTN","AMTN"
"572","AMZ1","AMZ1"
"573","AMZ2","AMZ2"
"574","ANAPC1","ANAPC1"
"575","ANAPC10","ANAPC10"
"576","ANAPC13","ANAPC13"
"577","ANAPC15","ANAPC15"
"578","ANAPC16","ANAPC16"
"579","ANAPC2","ANAPC2"
"580","ANAPC4","ANAPC4"
"581","ANAPC5","ANAPC5"
"582","ANAPC7","ANAPC7"
"583","ANG","ANG"
"584","ANGEL1","ANGEL1"
"585","ANGEL2","ANGEL2"
"586","ANGPT1","ANGPT1"
"587","ANGPT2","ANGPT2"
"588","ANGPT4","ANGPT4"
"589","ANGPTL1","ANGPTL1"
"590","ANGPTL2","ANGPTL2"
"591","ANGPTL3","ANGPTL3"
"592","ANGPTL4","ANGPTL4"
"593","ANGPTL5","ANGPTL5"
"594","ANGPTL6","ANGPTL6"
"595","ANGPTL7","ANGPTL7"
"596","ANGPTL8","ANGPTL8"
"597","ANK1","ANK1"
"598","ANKAR","ANKAR"
"599","ANKDD1A","ANKDD1A"
"600","ANKDD1B","ANKDD1B"
"601","ANKEF1","ANKEF1"
"602","ANKFN1","ANKFN1"
"603","ANKFY1","ANKFY1"
"604","ANKH","ANKH"
"605","ANKHD1","ANKHD1"
"606","ANKIB1","ANKIB1"
"607","ANKLE1","ANKLE1"
"608","ANKLE2","ANKLE2"
"609","ANKMY2","ANKMY2"
"610","ANKRA2","ANKRA2"
"611","ANKRD1","ANKRD1"
"612","ANKRD10","ANKRD10"
"613","ANKRD11","ANKRD11"
"614","ANKRD12","ANKRD12"
"615","ANKRD13A","ANKRD13A"
"616","ANKRD13B","ANKRD13B"
"617","ANKRD13C","ANKRD13C"
"618","ANKRD13D","ANKRD13D"
"619","ANKRD16","ANKRD16"
"620","ANKRD17","ANKRD17"
"621","ANKRD2","ANKRD2"
"622","ANKRD22","ANKRD22"
"623","ANKRD23","ANKRD23"
"624","ANKRD24","ANKRD24"
"625","ANKRD27","ANKRD27"
"626","ANKRD28","ANKRD28"
"627","ANKRD29","ANKRD29"
"628","ANKRD31","ANKRD31"
"629","ANKRD33B","ANKRD33B"
"630","ANKRD34A","ANKRD34A"
"631","ANKRD34B","ANKRD34B"
"632","ANKRD34C","ANKRD34C"
"633","ANKRD35","ANKRD35"
"634","ANKRD37","ANKRD37"
"635","ANKRD39","ANKRD39"
"636","ANKRD40","ANKRD40"
"637","ANKRD40CL","ANKRD40CL"
"638","ANKRD42","ANKRD42"
"639","ANKRD44","ANKRD44"
"640","ANKRD45","ANKRD45"
"641","ANKRD46","ANKRD46"
"642","ANKRD49","ANKRD49"
"643","ANKRD50","ANKRD50"
"644","ANKRD52","ANKRD52"
"645","ANKRD53","ANKRD53"
"646","ANKRD54","ANKRD54"
"647","ANKRD55","ANKRD55"
"648","ANKRD6","ANKRD6"
"649","ANKRD60","ANKRD60"
"650","ANKRD61","ANKRD61"
"651","ANKRD63","ANKRD63"
"652","ANKRD66","ANKRD66"
"653","ANKS1A","ANKS1A"
"654","ANKS1B","ANKS1B"
"655","ANKS3","ANKS3"
"656","ANKS4B","ANKS4B"
"657","ANKS6","ANKS6"
"658","ANKUB1","ANKUB1"
"659","ANKZF1","ANKZF1"
"660","ANLN","ANLN"
"661","ANO1","ANO1"
"662","ANO10","ANO10"
"663","ANO3","ANO3"
"664","ANO4","ANO4"
"665","ANO5","ANO5"
"666","ANO6","ANO6"
"667","ANO8","ANO8"
"668","ANO9","ANO9"
"669","ANP32B","ANP32B"
"670","ANP32E","ANP32E"
"671","ANPEP","ANPEP"
"672","ANTKMT","ANTKMT"
"673","ANTXR1","ANTXR1"
"674","ANTXR2","ANTXR2"
"675","ANXA1","ANXA1"
"676","ANXA10","ANXA10"
"677","ANXA11","ANXA11"
"678","ANXA13","ANXA13"
"679","ANXA2","ANXA2"
"680","ANXA4","ANXA4"
"681","ANXA5","ANXA5"
"682","ANXA6","ANXA6"
"683","ANXA7","ANXA7"
"684","ANXA9","ANXA9"
"685","AOAH","AOAH"
"686","AOC1","AOC1"
"687","AOC2","AOC2"
"688","AOX1","AOX1"
"689","AP1AR","AP1AR"
"690","AP1B1","AP1B1"
"691","AP1G1","AP1G1"
"692","AP1G2","AP1G2"
"693","AP1M1","AP1M1"
"694","AP1M2","AP1M2"
"695","AP1S1","AP1S1"
"696","AP1S2","AP1S2"
"697","AP1S3","AP1S3"
"698","AP2A1","AP2A1"
"699","AP2A2","AP2A2"
"700","AP2B1","AP2B1"
"701","AP2M1","AP2M1"
"702","AP2S1","AP2S1"
"703","AP3B1","AP3B1"
"704","AP3B2","AP3B2"
"705","AP3D1","AP3D1"
"706","AP3M1","AP3M1"
"707","AP3M2","AP3M2"
"708","AP3S2","AP3S2"
"709","AP4B1","AP4B1"
"710","AP4E1","AP4E1"
"711","AP4M1","AP4M1"
"712","AP4S1","AP4S1"
"713","AP5B1","AP5B1"
"714","AP5M1","AP5M1"
"715","AP5S1","AP5S1"
"716","AP5Z1","AP5Z1"
"717","APAF1","APAF1"
"718","APBA1","APBA1"
"719","APBA2","APBA2"
"720","APBA3","APBA3"
"721","APBB1","APBB1"
"722","APBB1IP","APBB1IP"
"723","APBB2","APBB2"
"724","APBB3","APBB3"
"725","APC","APC"
"726","APC2","APC2"
"727","APCDD1","APCDD1"
"728","APCDD1L","APCDD1L"
"729","APCS","APCS"
"730","APEH","APEH"
"731","APEX1","APEX1"
"732","APEX2","APEX2"
"733","APH1A","APH1A"
"734","APH1B","APH1B"
"735","API5","API5"
"736","APIP","APIP"
"737","APLF","APLF"
"738","APLN","APLN"
"739","APLNR","APLNR"
"740","APLP1","APLP1"
"741","APLP2","APLP2"
"742","APMAP","APMAP"
"743","APOA1","APOA1"
"744","APOA2","APOA2"
"745","APOA4","APOA4"
"746","APOA5","APOA5"
"747","APOB","APOB"
"748","APOBEC1","APOBEC1"
"749","APOBEC2","APOBEC2"
"750","APOBEC4","APOBEC4"
"751","APOC3","APOC3"
"752","APOC4","APOC4"
"753","APOD","APOD"
"754","APOE","APOE"
"755","APOH","APOH"
"756","APOLD1","APOLD1"
"757","APOM","APOM"
"758","APOO","APOO"
"759","APOOL","APOOL"
"760","APP","APP"
"761","APPBP2","APPBP2"
"762","APPL1","APPL1"
"763","APPL2","APPL2"
"764","APTX","APTX"
"765","AQP1","AQP1"
"766","AQP10","AQP10"
"767","AQP11","AQP11"
"768","AQP2","AQP2"
"769","AQP3","AQP3"
"770","AQP4","AQP4"
"771","AQP5","AQP5"
"772","AQP6","AQP6"
"773","AQP8","AQP8"
"774","AQP9","AQP9"
"775","AQR","AQR"
"776","AR","AR"
"777","ARAF","ARAF"
"778","ARAP1","ARAP1"
"779","ARAP2","ARAP2"
"780","ARAP3","ARAP3"
"781","ARC","ARC"
"782","ARCN1","ARCN1"
"783","AREG","AREG"
"784","AREL1","AREL1"
"785","ARF1","ARF1"
"786","ARF3","ARF3"
"787","ARF4","ARF4"
"788","ARF5","ARF5"
"789","ARF6","ARF6"
"790","ARFGAP1","ARFGAP1"
"791","ARFGAP2","ARFGAP2"
"792","ARFGAP3","ARFGAP3"
"793","ARFGEF1","ARFGEF1"
"794","ARFGEF2","ARFGEF2"
"795","ARFGEF3","ARFGEF3"
"796","ARFIP1","ARFIP1"
"797","ARFIP2","ARFIP2"
"798","ARFRP1","ARFRP1"
"799","ARG1","ARG1"
"800","ARG2","ARG2"
"801","ARGLU1","ARGLU1"
"802","ARHGAP1","ARHGAP1"
"803","ARHGAP10","ARHGAP10"
"804","ARHGAP12","ARHGAP12"
"805","ARHGAP15","ARHGAP15"
"806","ARHGAP17","ARHGAP17"
"807","ARHGAP18","ARHGAP18"
"808","ARHGAP19","ARHGAP19"
"809","ARHGAP20","ARHGAP20"
"810","ARHGAP21","ARHGAP21"
"811","ARHGAP22","ARHGAP22"
"812","ARHGAP23","ARHGAP23"
"813","ARHGAP24","ARHGAP24"
"814","ARHGAP25","ARHGAP25"
"815","ARHGAP26","ARHGAP26"
"816","ARHGAP27","ARHGAP27"
"817","ARHGAP28","ARHGAP28"
"818","ARHGAP29","ARHGAP29"
"819","ARHGAP30","ARHGAP30"
"820","ARHGAP31","ARHGAP31"
"821","ARHGAP32","ARHGAP32"
"822","ARHGAP33","ARHGAP33"
"823","ARHGAP35","ARHGAP35"
"824","ARHGAP39","ARHGAP39"
"825","ARHGAP4","ARHGAP4"
"826","ARHGAP42","ARHGAP42"
"827","ARHGAP44","ARHGAP44"
"828","ARHGAP45","ARHGAP45"
"829","ARHGAP5","ARHGAP5"
"830","ARHGAP8","ARHGAP8"
"831","ARHGAP9","ARHGAP9"
"832","ARHGDIA","ARHGDIA"
"833","ARHGDIB","ARHGDIB"
"834","ARHGDIG","ARHGDIG"
"835","ARHGEF1","ARHGEF1"
"836","ARHGEF10","ARHGEF10"
"837","ARHGEF10L","ARHGEF10L"
"838","ARHGEF11","ARHGEF11"
"839","ARHGEF12","ARHGEF12"
"840","ARHGEF15","ARHGEF15"
"841","ARHGEF16","ARHGEF16"
"842","ARHGEF18","ARHGEF18"
"843","ARHGEF19","ARHGEF19"
"844","ARHGEF2","ARHGEF2"
"845","ARHGEF25","ARHGEF25"
"846","ARHGEF26","ARHGEF26"
"847","ARHGEF28","ARHGEF28"
"848","ARHGEF3","ARHGEF3"
"849","ARHGEF33","ARHGEF33"
"850","ARHGEF37","ARHGEF37"
"851","ARHGEF38","ARHGEF38"
