"","human_gene","dog_gene"
"297","ADGRL2","ADGRL2"
"298","ADGRL3","ADGRL3"
"299","ADGRV1","ADGRV1"
"300","ADH4","ADH4"
"301","ADH5","ADH5"
"302","ADHFE1","ADHFE1"
"303","ADI1","ADI1"
"304","ADIG","ADIG"
"305","EIF4A2","ADIPOQ"
"306","ADIPOR1","ADIPOR1"
"307","ADIPOR2","ADIPOR2"
"308","ADIRF","ADIRF"
"309","ADK","ADK"
"310","ADM","ADM"
"311","ADM2","ADM2"
"312","ADM5","ADM5"
"313","ADNP","ADNP"
"314","ADNP2","ADNP2"
"315","ADO","ADO"
"316","ADORA1","ADORA1"
"317","ADORA2A","ADORA2A"
"318","TTC19","ADORA2B"
"319","ADORA3","ADORA3"
"320","ADPRH","ADPRH"
"321","TEKT2","ADPRHL2"
"322","ADPRM","ADPRM"
"323","ADRA1A","ADRA1A"
"324","ADRA1B","ADRA1B"
"325","ADRA1D","ADRA1D"
"326","ADRA2A","ADRA2A"
"327","ADRA2B","ADRA2B"
"328","ADRB2","ADRB2"
"329","ADRB3","ADRB3"
"330","ADRM1","ADRM1"
"331","ADSL","ADSL"
"332","ADSS2","ADSS2"
"333","ADSS1","ADSSL1"
"334","ADTRP","ADTRP"
"335","AEBP1","AEBP1"
"336","AEBP2","AEBP2"
"337","AEN","AEN"
"338","AFAP1","AFAP1"
"339","AFAP1L1","AFAP1L1"
"340","AFAP1L2","AFAP1L2"
"341","AFF1","AFF1"
"342","AFF2","AFF2"
"343","AFF3","AFF3"
"344","AFF4","AFF4"
"345","AFG1L","AFG1L"
"346","AFG2B","AFG2B"
"347","AFG3L2","AFG3L2"
"348","AFM","AFM"
"349","AFP","AFP"
"350","AFTPH","AFTPH"
"351","AGA","AGA"
"352","AGAP1","AGAP1"
"353","AGAP2","AGAP2"
"354","AGAP3","AGAP3"
"355","AGBL1","AGBL1"
"356","AGBL2","AGBL2"
"357","AGBL3","AGBL3"
"358","BEND5","AGBL4"
"359","AGBL5","AGBL5"
"360","AGER","AGER"
"361","AGFG1","AGFG1"
"362","AGFG2","AGFG2"
"363","AGGF1","AGGF1"
"364","AGK","AGK"
"365","AGL","AGL"
"366","AGMAT","AGMAT"
"367","MEOX2","AGMO"
"368","AGO1","AGO1"
"369","AGO2","AGO2"
"370","AGO3","AGO3"
"371","AGPAT1","AGPAT1"
"372","AGPAT2","AGPAT2"
"373","AGPAT3","AGPAT3"
"374","AGPAT4","AGPAT4"
"375","AGPAT5","AGPAT5"
"376","AGPS","AGPS"
"377","AGR2","AGR2"
"378","AGRN","AGRN"
"379","AGRP","AGRP"
"380","AGT","AGT"
"381","AGTPBP1","AGTPBP1"
"382","AGTR1","AGTR1"
"383","AGTR2","AGTR2"
"384","AGXT","AGXT"
"385","AGXT2","AGXT2"
"386","AHCTF1","AHCTF1"
"387","AHCYL1","AHCYL1"
"388","AHCYL2","AHCYL2"
"389","AHI1","AHI1"
"390","AHNAK","AHNAK"
"391","AHR","AHR"
"392","AHRR","AHRR"
"393","AHSA1","AHSA1"
"394","AHSG","AHSG"
"395","AICDA","AICDA"
"396","AIDA","AIDA"
"397","AIF1","AIF1"
"398","AIF1L","AIF1L"
"399","AIFM1","AIFM1"
"400","AIG1","AIG1"
"401","AIMP1","AIMP1"
"402","AIMP2","AIMP2"
"403","AIP","AIP"
"404","AIPL1","AIPL1"
"405","AIRE","AIRE"
"406","AJAP1","AJAP1"
"407","AJM1","AJM1"
"408","AJUBA","AJUBA"
"409","AK1","AK1"
"410","AK4","AK4"
"411","AK5","AK5"
"412","AK6","AK6"
"413","AK7","AK7"
"414","AK8","AK8"
"415","AKAIN1","AKAIN1"
"416","AKAP1","AKAP1"
"417","AKAP10","AKAP10"
"418","AKAP11","AKAP11"
"419","AKAP12","AKAP12"
"420","AKAP13","AKAP13"
"421","AKAP17A","AKAP17A"
"422","AKAP3","AKAP3"
"423","AKAP4","AKAP4"
"424","AKAP5","AKAP5"
"425","AKAP6","AKAP6"
"426","AKAP8","AKAP8"
"427","AKAP9","AKAP9"
"428","AKIP1","AKIP1"
"429","AKNA","AKNA"
"430","AKNAD1","AKNAD1"
"431","NASP","AKR1A1"
"432","AKR1B1","AKR1B1"
"433","AKR1E2","AKR1E2"
"434","AKR7L","AKR7L"
"435","AKT1","AKT1"
"436","AKT1S1","AKT1S1"
"437","AKT2","AKT2"
"438","AKT3","AKT3"
"439","AKTIP","AKTIP"
"440","ALAD","ALAD"
"441","ALAS1","ALAS1"
"442","ALB","ALB"
"443","ALCAM","ALCAM"
"444","ALDH16A1","ALDH16A1"
"445","ALDH18A1","ALDH18A1"
"446","ALDH1A1","ALDH1A1"
"447","ALDH1A2","ALDH1A2"
"448","ALDH1A3","ALDH1A3"
"449","ALDH1B1","ALDH1B1"
"450","ALDH1L1","ALDH1L1"
"451","ALDH1L2","ALDH1L2"
"452","ALDH3A1","ALDH3A1"
"453","ALDH3B2","ALDH3B2"
"454","ALDH4A1","ALDH4A1"
"455","ALDH5A1","ALDH5A1"
"456","ALDH6A1","ALDH6A1"
"457","ALDH7A1","ALDH7A1"
"458","ALDH8A1","ALDH8A1"
"459","ALDOA","ALDOA"
"460","ALDOB","ALDOB"
"461","ALDOC","ALDOC"
"462","ALG12","ALG12"
"463","ALG14","ALG14"
"464","ALG2","ALG2"
"465","ALG3","ALG3"
"466","ALG5","ALG5"
"467","ALG6","ALG6"
"468","ALG8","ALG8"
"469","ALG9","ALG9"
"470","ALK","ALK"
"471","ALKBH1","ALKBH1"
"472","ALKBH4","ALKBH4"
"473","ALKBH5","ALKBH5"
"474","ALKBH6","ALKBH6"
"475","ALKBH7","ALKBH7"
"476","ALKBH8","ALKBH8"
"477","ALLC","ALLC"
"478","ALOX12","ALOX12"
"479","ALOX12B","ALOX12B"
"480","ALOX15","ALOX15"
"481","ALOX15B","ALOX15B"
"482","ALOX5","ALOX5"
"483","ALOX5AP","ALOX5AP"
"484","ALOXE3","ALOXE3"
"485","ALPK1","ALPK1"
"486","ALPK2","ALPK2"
"487","ALPK3","ALPK3"
"488","ALPL","ALPL"
"489","ALS2","ALS2"
"490","ALS2CL","ALS2CL"
"491","ALX1","ALX1"
"492","ALX3","ALX3"
"493","ALX4","ALX4"
"494","ALYREF","ALYREF"
"495","AMBN","AMBN"
"496","AMBP","AMBP"
"497","AMBRA1","AMBRA1"
"498","AMD1","AMD1"
"499","AMDHD1","AMDHD1"
"500","AMDHD2","AMDHD2"
"501","AMER1","AMER1"
"502","AMER3","AMER3"
"503","AMFR","AMFR"
"504","AMH","AMH"
"505","AMIGO1","AMIGO1"
"506","AMIGO2","AMIGO2"
"507","AMIGO3","AMIGO3"
"508","AMMECR1","AMMECR1"
"509","AMMECR1L","AMMECR1L"
"510","AMN","AMN"
"511","AMN1","AMN1"
"512","AMOTL1","AMOTL1"
"513","AMOTL2","AMOTL2"
"514","AMPD1","AMPD1"
"515","AMPD2","AMPD2"
"516","AMPH","AMPH"
"517","AMT","AMT"
"518","AMTN","AMTN"
"519","AMZ1","AMZ1"
"520","ANAPC1","ANAPC1"
"521","ANAPC10","ANAPC10"
"522","ANAPC11","ANAPC11"
"523","ANAPC13","ANAPC13"
"524","ANAPC15","ANAPC15"
"525","ANAPC16","ANAPC16"
"526","ANAPC2","ANAPC2"
"527","ANAPC4","ANAPC4"
"528","ANAPC5","ANAPC5"
"529","ANAPC7","ANAPC7"
"530","ANGEL1","ANGEL1"
"531","ANGEL2","ANGEL2"
"532","ANGPT1","ANGPT1"
"533","ANGPT2","ANGPT2"
"534","ANGPT4","ANGPT4"
"535","ANGPTL1","ANGPTL1"
"536","ANGPTL2","ANGPTL2"
"537","ANGPTL3","ANGPTL3"
"538","ANGPTL4","ANGPTL4"
"539","ANGPTL5","ANGPTL5"
"540","ANGPTL6","ANGPTL6"
"541","ANGPTL7","ANGPTL7"
"542","ANGPTL8","ANGPTL8"
"543","ANK1","ANK1"
"544","ANK2","ANK2"
"545","ANK3","ANK3"
"546","ANKAR","ANKAR"
"547","ANKDD1A","ANKDD1A"
"548","ANKEF1","ANKEF1"
"549","ANKFN1","ANKFN1"
"550","ANKFY1","ANKFY1"
"551","ANKH","ANKH"
"552","ANKHD1","ANKHD1"
"553","ANKIB1","ANKIB1"
"554","ANKK1","ANKK1"
"555","ANKLE2","ANKLE2"
"556","ANKMY1","ANKMY1"
"557","ANKMY2","ANKMY2"
"558","ANKRA2","ANKRA2"
"559","ANKRD1","ANKRD1"
"560","ANKRD10","ANKRD10"
"561","ANKRD11","ANKRD11"
"562","ANKRD12","ANKRD12"
"563","ANKRD13A","ANKRD13A"
"564","ANKRD13B","ANKRD13B"
"565","ANKRD13C","ANKRD13C"
"566","ANKRD13D","ANKRD13D"
"567","ANKRD16","ANKRD16"
"568","ANKRD17","ANKRD17"
"569","ANKRD2","ANKRD2"
"570","ANKRD22","ANKRD22"
"571","ANKRD24","ANKRD24"
"572","ANKRD27","ANKRD27"
"573","ANKRD28","ANKRD28"
"574","ANKRD33","ANKRD33"
"575","ANKRD33B","ANKRD33B"
"576","ANKRD34A","ANKRD34A"
"577","ANKRD34B","ANKRD34B"
"578","ANKRD34C","ANKRD34C"
"579","ANKRD35","ANKRD35"
"580","ANKRD23","ANKRD39"
"581","ANKRD40","ANKRD40"
"582","ANKRD42","ANKRD42"
"583","ANKRD44","ANKRD44"
"584","SNX31","ANKRD46"
"585","ANKRD49","ANKRD49"
"586","ANKRD50","ANKRD50"
"587","ANKRD52","ANKRD52"
"588","ANKRD54","ANKRD54"
"589","ANKRD55","ANKRD55"
"590","ANKRD6","ANKRD6"
"591","ANKRD61","ANKRD61"
"592","ANKRD63","ANKRD63"
"593","ANKRD65","ANKRD65"
"594","ANKRD66","ANKRD66"
"595","ANKRD9","ANKRD9"
"596","ANKS1A","ANKS1A"
"597","ANKS3","ANKS3"
"598","ANKS6","ANKS6"
"599","ANKZF1","ANKZF1"
"600","ANLN","ANLN"
"601","ANO1","ANO1"
"602","ANO2","ANO2"
"603","ANO3","ANO3"
"604","ANO4","ANO4"
"605","ANO5","ANO5"
"606","ANO6","ANO6"
"607","ANO7","ANO7"
"608","ANO8","ANO8"
"609","ANO9","ANO9"
"610","ANOS1","ANOS1"
"611","ANP32A","ANP32A"
"612","ANP32B","ANP32B"
"613","ANP32E","ANP32E"
"614","ANPEP","ANPEP"
"615","ANTXR1","ANTXR1"
"616","ANTXR2","ANTXR2"
"617","ANXA1","ANXA1"
"618","ANXA10","ANXA10"
"619","ANXA13","ANXA13"
"620","ANXA2","ANXA2"
"621","ANXA3","ANXA3"
"622","ANXA4","ANXA4"
"623","ANXA5","ANXA5"
"624","ANXA6","ANXA6"
"625","ANXA7","ANXA7"
"626","ANXA9","ANXA9"
"627","AOAH","AOAH"
"628","AOC2","AOC2"
"629","AOC3","AOC3"
"630","AOPEP","AOPEP"
"631","AP1AR","AP1AR"
"632","AP1B1","AP1B1"
"633","AP1G1","AP1G1"
"634","AP1G2","AP1G2"
"635","AP1M1","AP1M1"
"636","AP1M2","AP1M2"
"637","AP1S1","AP1S1"
"638","AP1S2","AP1S2"
"639","AP2A1","AP2A1"
"640","AP2A2","AP2A2"
"641","AP2B1","AP2B1"
"642","AP2M1","AP2M1"
"643","AP2S1","AP2S1"
"644","AP3B1","AP3B1"
"645","AP3B2","AP3B2"
"646","AP3D1","AP3D1"
"647","AP3M1","AP3M1"
"648","AP3M2","AP3M2"
"649","AP3S1","AP3S1"
"650","AP3S2","AP3S2"
"651","AP4B1","AP4B1"
"652","AP4E1","AP4E1"
"653","AP4M1","AP4M1"
"654","AP4S1","AP4S1"
"655","AP5B1","AP5B1"
"656","AP5M1","AP5M1"
"657","AP5S1","AP5S1"
"658","AP5Z1","AP5Z1"
"659","APAF1","APAF1"
"660","APBA1","APBA1"
"661","APBA2","APBA2"
"662","APBA3","APBA3"
"663","APBB1","APBB1"
"664","APBB1IP","APBB1IP"
"665","APBB2","APBB2"
"666","APBB3","APBB3"
"667","APC","APC"
"668","APC2","APC2"
"669","APCDD1","APCDD1"
"670","APCDD1L","APCDD1L"
"671","APEH","APEH"
"672","APEX1","APEX1"
"673","APEX2","APEX2"
"674","APH1A","APH1A"
"675","APH1B","APH1B"
"676","API5","API5"
"677","APLF","APLF"
"678","APLN","APLN"
"679","APLP1","APLP1"
"680","APLP2","APLP2"
"681","APMAP","APMAP"
"682","APOA1","APOA1"
"683","APOA2","APOA2"
"684","APOA4","APOA4"
"685","APOA5","APOA5"
"686","APOB","APOB"
"687","APOBEC1","APOBEC1"
"688","APOBEC2","APOBEC2"
"689","APOBEC3G","APOBEC3Z1"
"690","APOBEC3H","APOBEC3Z3"
"691","APOBEC4","APOBEC4"
"692","APOC1","APOC1"
"693","APOC2","APOC2"
"694","APOC3","APOC3"
"695","APOD","APOD"
"696","APOE","APOE"
"697","APOF","APOF"
"698","APOH","APOH"
"699","APOLD1","APOLD1"
"700","APOM","APOM"
"701","APOO","APOO"
"702","APOOL","APOOL"
"703","APP","APP"
"704","APPBP2","APPBP2"
"705","APPL1","APPL1"
"706","APPL2","APPL2"
"707","APRT","APRT"
"708","APTX","APTX"
"709","AQP1","AQP1"
"710","AQP10","AQP10"
"711","AQP11","AQP11"
"712","AQP12B","AQP12"
"713","AQP2","AQP2"
"714","AQP3","AQP3"
"715","AQP4","AQP4"
"716","AQP7","AQP7"
"717","AQP8","AQP8"
"718","AQP9","AQP9"
"719","AQR","AQR"
"720","AR","AR"
"721","ARAF","ARAF"
"722","ARAP1","ARAP1"
"723","ARAP2","ARAP2"
"724","ARAP3","ARAP3"
"725","ARC","ARC"
"726","ARCN1","ARCN1"
"727","AREG","AREG"
"728","AREL1","AREL1"
"729","ARF1","ARF1"
"730","ARF4","ARF4"
"731","ARF5","ARF5"
"732","ARF6","ARF6"
"733","ARFGAP1","ARFGAP1"
"734","ARFGAP2","ARFGAP2"
"735","ARFGAP3","ARFGAP3"
"736","ARFGEF1","ARFGEF1"
"737","ARFGEF2","ARFGEF2"
"738","ARFGEF3","ARFGEF3"
"739","ARFIP1","ARFIP1"
"740","ARFIP2","ARFIP2"
"741","ARFRP1","ARFRP1"
"742","ARG2","ARG2"
"743","ARGLU1","ARGLU1"
"744","ARHGAP1","ARHGAP1"
"745","ARHGAP10","ARHGAP10"
"746","ARHGAP12","ARHGAP12"
"747","ARHGAP15","ARHGAP15"
"748","ARHGAP17","ARHGAP17"
"749","ARHGAP18","ARHGAP18"
"750","ARHGAP19","ARHGAP19"
"751","ARHGAP20","ARHGAP20"
"752","ARHGAP21","ARHGAP21"
"753","ARHGAP22","ARHGAP22"
"754","ARHGAP23","ARHGAP23"
"755","ARHGAP24","ARHGAP24"
"756","ARHGAP25","ARHGAP25"
"757","ARHGAP26","ARHGAP26"
"758","ARHGAP27","ARHGAP27"
"759","ARHGAP28","ARHGAP28"
"760","ARHGAP29","ARHGAP29"
"761","ARHGAP30","ARHGAP30"
"762","ARHGAP31","ARHGAP31"
"763","ARHGAP32","ARHGAP32"
"764","ARHGAP33","ARHGAP33"
"765","ARHGAP35","ARHGAP35"
"766","ARHGAP36","ARHGAP36"
"767","ARHGAP4","ARHGAP4"
"768","ARHGAP42","ARHGAP42"
"769","ARHGAP44","ARHGAP44"
"770","ARHGAP45","ARHGAP45"
"771","ARHGAP5","ARHGAP5"
"772","ARHGAP6","ARHGAP6"
"773","ARHGAP8","ARHGAP8"
"774","ARHGAP9","ARHGAP9"
"775","ARHGDIA","ARHGDIA"
"776","ARHGDIB","ARHGDIB"
"777","ARHGDIG","ARHGDIG"
"778","ARHGEF1","ARHGEF1"
"779","ARHGEF10L","ARHGEF10L"
"780","ARHGEF11","ARHGEF11"
"781","ARHGEF12","ARHGEF12"
"782","ARHGEF15","ARHGEF15"
"783","ARHGEF16","ARHGEF16"
"784","ARHGEF17","ARHGEF17"
"785","ARHGEF18","ARHGEF18"
"786","ARHGEF19","ARHGEF19"
"787","ARHGEF2","ARHGEF2"
"788","ARHGEF25","ARHGEF25"
"789","ARHGEF26","ARHGEF26"
"790","ARHGEF28","ARHGEF28"
"791","ARHGEF3","ARHGEF3"
"792","ARHGEF33","ARHGEF33"
"793","ARHGEF37","ARHGEF37"
"794","ARHGEF38","ARHGEF38"
"795","ARHGEF39","ARHGEF39"
"796","ARHGEF40","ARHGEF40"
"797","ARHGEF5","ARHGEF5"
"798","ARHGEF6","ARHGEF6"
"799","ARHGEF7","ARHGEF7"
"800","ARHGEF9","ARHGEF9"
"801","ARID1A","ARID1A"
"802","ARID1B","ARID1B"
"803","ARID2","ARID2"
"804","ARID3A","ARID3A"
"805","ARID3B","ARID3B"
"806","ARID3C","ARID3C"
"807","ARID4A","ARID4A"
"808","ARID4B","ARID4B"
"809","ARID5A","ARID5A"
"810","ARID5B","ARID5B"
"811","ARIH1","ARIH1"
"812","ARIH2","ARIH2"
"813","ARL1","ARL1"
"814","ARL10","ARL10"
"815","ARL13B","ARL13B"
"816","ARL14","ARL14"
"817","ARL14EP","ARL14EP"
"818","ARL14EPL","ARL14EPL"
"819","ARL15","ARL15"
"820","ARL16","ARL16"
"821","ARL17A","ARL17A"
"822","ARL2","ARL2"
"823","ARL3","ARL3"
"824","ARL4C","ARL4C"
"825","ARL4D","ARL4D"
"826","ARL5A","ARL5A"
"827","ARL5B","ARL5B"
"828","ARL6","ARL6"
"829","SMG1","ARL6IP1"
"830","ARL6IP4","ARL6IP4"
"831","ARL6IP5","ARL6IP5"
"832","ARL8B","ARL8B"
"833","ARL9","ARL9"
"834","ARMC1","ARMC1"
"835","ARMC10","ARMC10"
"836","ARMC12","ARMC12"
"837","ARMC2","ARMC2"
"838","ARMC3","ARMC3"
"839","ARMC5","ARMC5"
"840","ARMC6","ARMC6"
"841","ARMC7","ARMC7"
"842","ARMC8","ARMC8"
"843","ARMC9","ARMC9"
"844","ARMCX1","ARMCX1"
"845","ARMCX2","ARMCX2"
"846","ARMCX3","ARMCX3"
"847","ARMCX4","ARMCX4"
"848","ARMCX5","ARMCX5"
"849","ARMCX6","ARMCX6"
"850","ARMH1","ARMH1"
"851","ARMH2","ARMH2"
