"","human_gene","fruit_fly_gene"
"137","ALG10B","Alg10"
"138","ALG11","Alg11"
"139","ALG12","Alg12"
"140","ALG14","Alg14"
"141","ALG2","Alg2"
"142","ALG3","Alg3"
"143","DPAGT1","Alg7"
"144","ALG9","Alg9"
"145","JADE1","Alh"
"146","ALKBH1","AlkB"
"147","ALPI","Alp1"
"148","ALPL","Alp10"
"149","ALPL","Alp11"
"150","ALPG","Alp2"
"151","ALPL","Alp5"
"152","ALPI","Alp6"
"153","ALPG","Alp7"
"154","ALPG","Alp8"
"155","ALPL","Alp9"
"156","GFER","Alr"
"157","LSAMP","Ama"
"158","AMACR","Amacr"
"159","AMN","Amnionless"
"160","BIN1","Amph"
"161","AMY1A","Amy-d"
"162","AMY1A","Amy-p"
"163","AMY2B","Amyrel"
"164","ANK1","Ank"
"165","ANK1","Ank2"
"166","ANKLE2","Ankle2"
"167","ANKRD49","Ankrd49"
"168","SLC25A31","Ant2"
"169","DHRS11","Antdh"
"170","ANXA4","AnxB11"
"171","ANXA4","AnxB9"
"172","SAE1","Aos1"
"173","APC","Apc"
"174","APC","Apc2"
"175","XPNPEP1","ApepP"
"176","IPO4","Apl"
"177","MAPK8IP1","Aplip1"
"178","APLP2","Appl"
"179","APRT","Aprt"
"180","NUDT4","Aps"
"181","LYPLA1","Apt1"
"182","ACADS","Arc42"
"183","ZBTB8OS","Archease"
"184","ARF1","Arf1"
"185","ARF5","Arf4"
"186","ARF6","Arf6"
"187","ARFGAP1","ArfGAP1"
"188","ARFIP2","Arfip"
"189","ARFRP1","Arfrp1"
"190","RARS1","ArgRS"
"191","RARS2","ArgRS-m"
"192","CKMT1B","Argk1"
"193","CKMT1B","Argk2"
"194","ASL","Argl"
"195","ACP1","Argp"
"196","ARL1","Arl1"
"197","ARL2","Arl2"
"198","ARL5B","Arl5"
"199","ARL6","Arl6"
"200","ARL6IP1","Arl6IP1"
"201","ACTR1A","Arp1"
"202","ACTR10","Arp10"
"203","ACTR2","Arp2"
"204","ACTR3","Arp3"
"205","ACTR5","Arp5"
"206","ACTG1","Arp53D"
"207","ACTR6","Arp6"
"208","ACTR8","Arp8"
"209","ARPC1A","Arpc1"
"210","ARPC2","Arpc2"
"211","ARPC3","Arpc3A"
"212","ARPC3","Arpc3B"
"213","ARPC4","Arpc4"
"214","ARPC5","Arpc5"
"215","SRRT","Ars2"
"216","PRMT8","Art1"
"217","PRMT1","Art2"
"218","PRMT3","Art3"
"219","CARM1","Art4"
"220","PRMT3","Art6"
"221","PRMT7","Art7"
"222","PRMT2","Art8"
"223","PRMT3","Art9"
"224","IPO4","Arts"
"225","ARV1","Arv1"
"226","TTBK2","Asator"
"227","MAP3K15","Ask1"
"228","NARS1","AsnRS"
"229","NARS2","AsnRS-m"
"230","DARS1","AspRS"
"231","DARS2","AspRS-m"
"232","ASPH","Asph"
"233","ASS1","Ass"
"234","GALR2","AstA-R1"
"235","GALR2","AstA-R2"
"236","KISS1R","AstC-R1"
"237","SSTR2","AstC-R2"
"238","ASXL2","Asx"
"239","ZZZ3","Atac1"
"240","KAT14","Atac2"
"241","GABPB2","Atac3"
"242","ATAT1","Atat"
"243","ATE1","Ate1"
"244","ABCG1","Atet"
"245","JDP2","Atf3"
"246","CREB3L4","Atf6"
"247","ULK1","Atg1"
"248","ATG101","Atg101"
"249","ATG12","Atg12"
"250","ATG13","Atg13"
"251","ATG14","Atg14"
"252","ATG16L1","Atg16"
"253","RB1CC1","Atg17"
"254","WIPI1","Atg18a"
"255","ATG2A","Atg2"
"256","ATG3","Atg3"
"257","ATG4B","Atg4a"
"258","ATG4D","Atg4b"
"259","ATG5","Atg5"
"260","BECN1","Atg6"
"261","ATG7","Atg7"
"262","GABARAP","Atg8b"
"263","ATG9A","Atg9"
"264","ATXN1L","Atx-1"
"265","ATXN2L","Atx2"
"266","CSRNP3","Axud1"
"267","BARHL1","B-H1"
"268","BARHL1","B-H2"
"269","SRSF4","B52"
"270","B9D1","B9d1"
"271","B9D2","B9d2"
"272","BBS1","BBS1"
"273","BBS5","BBS5"
"274","TTC8","BBS8"
"275","BBS9","BBS9"
"276","BCAS2","BCAS2"
"277","BCL7B","BCL7-like"
"278","FLCN","BHD"
"279","TMBIM6","BI-1"
"280","BNIP3","BNIP3"
"281","BORCS5","BORCS5"
"282","BORCS6","BORCS6"
"283","BORCS7","BORCS7"
"284","PHIP","BRWD3"
"285","BTBD9","BTBD9"
"286","CTSE","Bace"
"287","SLC22A8","Balat"
"288","ELOVL6","Baldspot"
"289","SMARCE1","Bap111"
"290","ARID2","Bap170"
"291","SMARCD1","Bap60"
"292","BCS1L","Bcs1"
"293","BDP1","Bdp1"
"294","ABHD13","Bem46"
"295","BEST2","Best1"
"296","BEST4","Best3"
"297","BEST4","Best4"
"298","TRAPPC3","Bet3"
"299","TRAPPC1","Bet5"
"300","CBFB","Bgb"
"301","HDLBP","BicC"
"302","BICD2","BicD"
"303","FRMD8","Bili"
"304","SAP18","Bin1"
"305","FCF1","Bka"
"306","PRDM1","Blimp-1"
"307","BLM","Blm"
"308","BLOC1S1","Blos1"
"309","BLOC1S2","Blos2"
"310","BCAS4","Blos4"
"311","BRPF1","Br140"
"312","BRD9","Brd7-9"
"313","BRD8","Brd8"
"314","RNF40","Bre1"
"315","BRF1","Brf"
"316","BRMS1","Brms1"
"317","CBFB","Bro"
"318","SNRNP200","Brr2"
"319","BIRC6","Bruce"
"320","VSTM2L","Bsg"
"321","VNN1","Btnd"
"322","BUB1","Bub1"
"323","BUB3","Bub3"
"324","BUB1B","BubR1"
"325","BOK","Buffy"
"326","CFAP20","Bug22"
"327","RMC1","Bulli"
"328","SNW1","Bx42"
"329","RAPGEF1","C3G"
"330","CA2","CAH1"
"331","CA1","CAH13"
"332","CA13","CAH14"
"333","CA1","CAH15"
"334","CA7","CAH16"
"335","CA7","CAH4"
"336","CA13","CAH5"
"337","CA7","CAH6"
"338","CA7","CAH7"
"339","CA13","CAH8"
"340","CA7","CAH9"
"341","CA10","CARPB"
"342","MPP1","CASK"
"343","GPR150","CCAP-R"
"344","WASHC3","CCDC53"
"345","GRPR","CCHa1-R"
"346","GRPR","CCHa2-R"
"347","CCKAR","CCKLR-17D1"
"348","CCKAR","CCKLR-17D3"
"349","TCP1","CCT1"
"350","CCT2","CCT2"
"351","CCT3","CCT3"
"352","CCT4","CCT4"
"353","CCT5","CCT5"
"354","CCT6B","CCT6"
"355","CCT7","CCT7"
"356","CCT8","CCT8"
"357","TMEM30A","CDC50"
"358","CDK2AP1","CDK2AP1"
"359","ASAH2","CDase"
"360","ANKRD50","CG10011"
"361","TTPA","CG10026"
"362","ERP44","CG10029"
"363","FAM172A","CG10038"
"364","ERMP1","CG10051"
"365","GPATCH11","CG10053"
"366","SHQ1","CG10055"
"367","ERMP1","CG10062"
"368","CFAP52","CG10064"
"369","ELMOD2","CG10068"
"370","ERMP1","CG10073"
"371","UQCC1","CG10075"
"372","DDX17","CG10077"
"373","ERMP1","CG10081"
"374","ARRDC5","CG10086"
"375","FAR1","CG10096"
"376","FAR2","CG10097"
"377","SCRN3","CG10098"
"378","CTSE","CG10104"
"379","PNLIPRP3","CG10116"
"380","CAPSL","CG10126"
"381","CEP104","CG10137"
"382","LIPI","CG10163"
"383","CYB561D2","CG10165"
"384","TMEM19","CG10171"
"385","CTU2","CG10189"
"386","NUDT19","CG10194"
"387","NUDT19","CG10195"
"388","NAIF1","CG10209"
"389","REXO2","CG10214"
"390","GPN2","CG10222"
"391","TTPAL","CG10237"
"392","FAIM","CG10257"
"393","CCDC50","CG10283"
"394","HEATR3","CG10286"
"395","PEBP1","CG10298"
"396","RLBP1","CG10300"
"397","CLVS2","CG10301"
"398","GPKOW","CG10324"
"399","DDX23","CG10333"
"400","TIPIN","CG10336"
"401","RUSF1","CG10338"
"402","ATPAF1","CG10340"
"403","NAF1","CG10341"
"404","RWDD4","CG10343"
"405","SCARB2","CG10345"
"406","NUDCD1","CG10347"
"407","MECOM","CG10348"
"408","PDXP","CG10352"
"409","PDZD8","CG10362"
"410","CHAC1","CG10365"
"411","ZFP64","CG10366"
"412","DNAJC8","CG10375"
"413","PPM1F","CG10376"
"414","KHDRBS2","CG10384"
"415","PRSS53","CG10405"
"416","SLC12A9","CG10413"
"417","LSM2","CG10418"
"418","KDSR","CG10425"
"419","GSTCD","CG10428"
"420","UBAP1","CG10435"
"421","SLC5A6","CG10444"
"422","DUS3L","CG10463"
"423","KCTD10","CG10465"
"424","RBMX2","CG10466"
"425","GALM","CG10467"
"426","TMCO1","CG10470"
"427","AGA","CG10474"
"428","SLC22A7","CG10486"
"429","ZCCHC14","CG10492"
"430","DUS4L","CG10495"
"431","ABCC4","CG10505"
"432","SPSB3","CG10516"
"433","ZFAT","CG10543"
"434","SMOX","CG10561"
"435","DNAJC2","CG10565"
"436","NTPCR","CG10581"
"437","METTL22","CG10584"
"438","PRSS22","CG10587"
"439","NRDC","CG10588"
"440","RSBN1L","CG10600"
"441","LTA4H","CG10602"
"442","GTPBP10","CG10628"
"443","ZNF710","CG10631"
"444","AKR1B15","CG10638"
"445","EIPR1","CG10646"
"446","GLIPR1L1","CG10651"
"447","ZNF497","CG10654"
"448","ZNF664","CG10669"
"449","WDR83OS","CG10674"
"450","KXD1","CG10681"
"451","DMAC2L","CG10731"
"452","C2CD2L","CG10737"
"453","TRMT11","CG1074"
"454","PLCXD2","CG10747"
"455","MDH2","CG10748"
"456","MDH2","CG10749"
"457","MARCHF5","CG10761"
"458","KATNAL2","CG10793"
"459","AARSD1","CG10802"
"460","RO60","CG10803"
"461","BBOX1","CG10814"
"462","DNAL1","CG10839"
"463","AKR1B15","CG10863"
"464","KCNK6","CG10864"
"465","TMEM267","CG10866"
"466","CCDC28B","CG10874"
"467","SUGCT","CG10877"
"468","LEO1","CG10887"
"469","NUDT18","CG10898"
"470","SLC24A5","CG1090"
"471","BUD23","CG10903"
"472","CWC27","CG10907"
"473","FBL","CG10909"
"474","NOA1","CG10914"
"475","MTCH2","CG10920"
"476","ADAT3","CG10927"
"477","WDR5","CG10931"
"478","PDZK1","CG10939"
"479","CAMKMT","CG10947"
"480","ENOX2","CG10948"
"481","DRC1","CG10958"
"482","DHRS11","CG10962"
"483","HSPBP1","CG10973"
"484","ZNF800","CG10979"
"485","ABT1","CG10993"
"486","GALM","CG10996"
"487","TMX2","CG11007"
"488","PLB1","CG11029"
"489","CLRN3","CG1103"
"490","NGDN","CG11030"
"491","ARRDC5","CG1105"
"492","HDDC2","CG11050"
"493","ACYP1","CG11052"
"494","ABCG5","CG11069"
"495","MPV17","CG11077"
"496","ATIC","CG11089"
"497","NSUN6","CG11109"
"498","IMMP2L","CG11110"
"499","NOP9","CG11123"
"500","ENKD1","CG11125"
"501","APIP","CG11134"
"502","TECPR2","CG11141"
"503","B4GAT1","CG11149"
"504","GRIK2","CG11155"
"505","LYZL1","CG11159"
"506","RGP1","CG1116"
"507","FAXDC2","CG11162"
"508","RNASEH2B","CG11164"
"509","ANKS1A","CG11168"
"510","DIPK2A","CG11170"
"511","AVL9","CG11178"
"512","PINX1","CG11180"
"513","PRSS53","CG11192"
"514","AGXT2","CG11241"
"515","CYB5R4","CG11257"
"516","OCA2","CG11262"
"517","HSPE1","CG11267"
"518","GMPPB","CG1129"
"519","PDXP","CG11291"
"520","SERHL2","CG11309"
"521","TPSB2","CG11313"
"522","GCNA","CG11322"
"523","ISOC1","CG11333"
"524","MRI1","CG11334"
"525","BCDIN3D","CG11342"
"526","POU2AF1","CG11350"
"527","MEX3A","CG11360"
"528","TMEM64","CG11367"
"529","LGALS7B","CG11374"
"530","SLC36A1","CG1139"
"531","TRAPPC12","CG11396"
"532","DDX11","CG11403"
"533","LIPJ","CG11406"
"534","ZNF598","CG11414"
"535","ESF1","CG11417"
"536","DNTTIP2","CG1142"
"537","PLPP1","CG11425"
"538","PLPP1","CG11426"
"539","TTC17","CG11436"
"540","PLPP2","CG11437"
"541","PLPP1","CG11438"
"542","PDAP1","CG11444"
"543","CFAP45","CG11449"
"544","RBM7","CG11454"
"545","CTSL","CG11459"
"546","ARMT1","CG11474"
"547","ARMT1","CG11475"
"548","SPATA18","CG11498"
"549","GSKIP","CG11523"
"550","MFSD14A","CG11537"
"551","NOP16","CG11563"
"552","BRIX1","CG11583"
"553","ZMAT2","CG11586"
"554","CUTA","CG11590"
"555","BNIP2","CG11593"
"556","FGGY","CG11594"
"557","CARNMT1","CG11596"
"558","LIPF","CG11598"
"559","LIPF","CG11600"
"560","AIG1","CG11601"
"561","LIPF","CG11608"
"562","TMEM9","CG1161"
"563","MKX","CG11617"
"564","GPCPD1","CG11619"
"565","PRSS16","CG11626"
"566","SLC10A3","CG11655"
"567","FBXO32","CG11658"
"568","GZMA","CG11664"
"569","RMND1","CG11679"
"570","ZNF497","CG11695"
"571","ZNF671","CG11696"
"572","TMEM242","CG11699"
"573","UBB","CG11700"
"574","ATP1B2","CG11703"
"575","TRIP4","CG11710"
"576","UBTD2","CG1172"
"577","NDUFAF4","CG11722"
"578","TMEM135","CG11737"
"579","CDPF1","CG11755"
"580","TMEM216","CG11760"
"581","THOP1","CG11771"
"582","TIMM44","CG11779"
"583","DSCC1","CG11788"
"584","NISCH","CG11807"
"585","GUK1","CG11811"
"586","HIGD1A","CG11825"
"587","P4HA3","CG11828"
"588","BTF3L4","CG11835"
"589","TPSB2","CG11836"
"590","DIMT1","CG11837"
"591","ZNF830","CG11839"
"592","RER1","CG11857"
"593","PIN4","CG11858"
"594","ABCC4","CG11898"
"595","PSAT1","CG11899"
"596","ZNF662","CG11902"
"597","CTRB2","CG11912"
"598","IMP4","CG11920"
"599","C3orf49","CG11929"
"600","ERMP1","CG11961"
"601","CTNNBL1","CG11964"
"602","NFRKB","CG11970"
"603","WDR45B","CG11975"
"604","MYG1","CG11980"
"605","HMCES","CG11986"
"606","SDF2L1","CG11999"
"607","AFG2B","CG12010"
"608","BRI3","CG12012"
"609","NMRK1","CG12016"
"610","DNAJB13","CG12020"
"611","CUEDC1","CG12024"
"612","TMEM134","CG12025"
"613","DIPK1C","CG12038"
"614","JAZF1","CG12054"
"615","CYB5D2","CG12056"
"616","SLC24A4","CG12061"
"617","UPP1","CG12065"
"618","PRKACG","CG12069"
"619","SLC2A4","CG1208"
"620","ZER1","CG12084"
"621","PPTC7","CG12091"
"622","TP53I13","CG12093"
"623","PSMD5","CG12096"
"624","RNF10","CG12099"
"625","COMMD3","CG12106"
"626","RAB5IF","CG12107"
"627","SPR","CG12116"
"628","GPR107","CG12121"
"629","SPOUT1","CG12128"
"630","ASCC1","CG12129"
"631","WDR89","CG12134"
"632","CSNK1A1","CG12147"
"633","OXSM","CG12170"
"634","DHRS4","CG12171"
"635","ENOPH1","CG12173"
"636","HPF1","CG1218"
"637","MFSD1","CG12194"
"638","GRXCR1","CG12206"
"639","ZNF497","CG12219"
"640","PHOSPHO2","CG12237"
"641","SGSM3","CG12241"
"642","HARBI1","CG12253"
"643","TMPRSS4","CG12256"
"644","FAM50A","CG12259"
"645","FAR2","CG12268"
"646","STK16","CG1227"
"647","KHK","CG12289"
"648","ZNF114","CG12299"
"649","UTP14A","CG12301"
"650","ZMAT4","CG1231"
"651","MSL1","CG12316"
"652","AAR2","CG12320"
"653","PSMG2","CG12321"
"654","PWP2","CG12325"
"655","NOC3L","CG1234"
"656","TMEM170A","CG12341"
"657","SYF2","CG12343"
"658","GRHPR","CG1236"
"659","ARIH1","CG12362"
"660","CPA4","CG12374"
"661","LACTB2","CG12375"
"662","SLC8B1","CG12376"
"663","DNLZ","CG12379"
"664","DAP","CG12384"
"665","MEPCE","CG1239"
"666","OVOL3","CG12391"
"667","FBXL4","CG12402"
"668","SPATA17","CG12448"
"669","SLC17A5","CG12490"
"670","ADAD1","CG12493"
"671","RTF1","CG12498"
"672","URB1","CG12499"
"673","TMEM200A","CG12502"
"674","SLC7A14","CG12531"
"675","NHLRC2","CG12547"
"676","IWS1","CG12592"
"677","SCRT1","CG12605"
"678","PAK1IP1","CG12608"
"679","PPP1R2C","CG12620"
"680","LITAF","CG12645"
"681","SLC66A3","CG1265"
"682","INO80C","CG12659"
"683","FAM136A","CG12661"
"684","PAF1","CG12674"
"685","CNBD2","CG12698"
"686","GK5","CG1271"
"687","CDIN1","CG12713"
"688","PSMF1","CG12729"
"689","PLPP4","CG12746"
"690","CYB561","CG1275"
"691","AKR1B15","CG12766"
"692","ZBTB39","CG12769"
"693","SLC12A8","CG12773"
"694","SLC22A12","CG12783"
"695","ZFAND2A","CG12795"
"696","MCFD2","CG12817"
"697","LENG1","CG12818"
"698","TRMO","CG12822"
"699","CHCHD1","CG12848"
"700","ZCCHC4","CG12863"
"701","AEN","CG12877"
"702","SDHAF2","CG12895"
"703","PRDX6","CG12896"
"704","LYAR","CG12909"
"705","EXOG","CG12917"
"706","CLVS2","CG12926"
"707","TMEM223","CG12935"
"708","ZNF160","CG12942"
"709","C14orf119","CG12948"
"710","DNAI7","CG12983"
"711","ZC4H2","CG13001"
"712","TMEM39A","CG13016"
"713","COA5","CG13018"
"714","CCDC13","CG13032"
"715","TPSB2","CG1304"
"716","PTRH2","CG1307"
"717","CYB561D2","CG13077"
"718","CYB561D2","CG13078"
"719","ABHD16A","CG1309"
"720","MPHOSPH10","CG13097"
"721","MIF4GD","CG13124"
"722","METTL17","CG13126"
"723","AAAS","CG13137"
"724","RBM45","CG1316"
"725","ERMP1","CG13160"
"726","MARCHF6","CG1317"
"727","MDN1","CG13185"
"728","SELENOH","CG13186"
"729","SLC8B1","CG13223"
"730","SLC7A2","CG13248"
"731","CCDC66","CG13251"
"732","DHDH","CG13280"
"733","PNLIPRP1","CG13282"
"734","HSDL1","CG13284"
"735","ZNF488","CG13287"
"736","SCAI","CG13293"
"737","TCAIM","CG13295"
"738","RNF25","CG13344"
"739","GATAD1","CG13367"
"740","RBKS","CG13369"
"741","DHRS2","CG13377"
"742","SLC36A1","CG13384"
"743","MTG2","CG13390"
"744","TMEM126A","CG13392"
"745","NAGLU","CG13397"
"746","DOK5","CG13398"
"747","PLGRKT","CG13404"
"748","TMEM181","CG13409"
"749","BLMH","CG13423"
"750","SEC61G","CG13426"
"751","PRSS53","CG13430"
"752","CFAP206","CG13436"
"753","SCYL3","CG1344"
"754","RFWD3","CG13481"
"755","ODAD4","CG13502"
"756","OPCML","CG13506"
"757","LITAF","CG13510"
"758","LITAF","CG13516"
"759","CALML5","CG13526"
"760","SPG11","CG13531"
"761","OLA1","CG1354"
"762","SPATA17","CG13544"
"763","ATP5IF1","CG13551"
"764","FLVCR2","CG1358"
"765","SMIM14","CG13585"
"766","MAD2L1BP","CG13599"
"767","OPA3","CG13601"
"768","TMEM179","CG13603"
"769","RNFT2","CG13605"
"770","PTOV1","CG13609"
"771","ISCA2","CG13623"
"772","BUD13","CG13625"
"773","METAP1","CG13630"
"774","SAYSD1","CG13663"
"775","NDOR1","CG13667"
"776","RNASEH2A","CG13690"
"777","LRRC49","CG13708"
"778","NOMO3","CG1371"
"779","SLC38A11","CG13743"
"780","GUCD1","CG13760"
"781","ACOT9","CG13771"
"782","ZBED6","CG13775"
"783","SLC66A2","CG13784"
"784","OCA2","CG13801"
"785","CCDC142","CG13842"
"786","IQUB","CG13855"
"787","RASSF10","CG13875"
"788","C3orf38","CG13876"
"789","BCAP31","CG13887"
"790","SEC14L4","CG13893"
"791","THAP1","CG13894"
"792","DPCD","CG13901"
"793","SLC16A3","CG13907"
"794","TMEM60","CG13919"
"795","TMEM35A","CG13920"
"796","HIKESHI","CG13926"
"797","DNAI4","CG13930"
"798","ASB18","CG13933"
"799","LGALS1","CG13950"
"800","MUCL1","CG13965"
"801","IQCG","CG13972"
"802","PIGN","CG13978"
"803","PPP1R11","CG13994"
"804","TMEM138","CG13999"
"805","CCDC34","CG14011"
"806","CFAP299","CG14013"
"807","MANEA","CG14015"
"808","CFAP299","CG14017"
"809","TMEM231","CG14020"
"810","PNLIPRP1","CG14034"
"811","KIFBP","CG14043"
"812","EXOG","CG14062"
"813","ZDHHC20","CG1407"
"814","BCOR","CG14073"
"815","SPATA6L","CG14079"
"816","PAM16","CG1409"
"817","TTC36","CG14105"
"818","EXOG","CG14118"
"819","EXOG","CG14120"
"820","ALKBH7","CG14130"
"821","MINDY4","CG14142"
"822","AHSA1","CG1416"
"823","SLC2A11","CG14160"
"824","RABAC1","CG1418"
"825","MOSMO","CG14182"
"826","IQCA1","CG14183"
"827","LRRC56","CG14185"
"828","TMEM185B","CG14194"
"829","SLC16A8","CG14196"
"830","CRYAB","CG14207"
"831","CCDC86","CG14210"
"832","PHOSPHO2","CG14212"
"833","SUDS3","CG14220"
"834","TXNDC8","CG14221"
"835","GZMK","CG14227"
"836","NOL8","CG14230"
"837","ACBD3","CG14232"
"838","TMEM198","CG14234"
"839","TMEM26","CG14238"
"840","TIMM29","CG14270"
"841","C8orf33","CG14286"
"842","ACP1","CG14297"
"843","HPSE","CG14309"
"844","TCTE1","CG14325"
"845","JMJD8","CG14331"
"846","DUS2","CG1434"
"847","RGS7BP","CG14340"
"848","MEA1","CG14341"
"849","CHP1","CG14362"
"850","CFAP36","CG14367"
"851","BLMH","CG1440"
"852","FAR1","CG1441"
"853","MTMR10","CG14411"
"854","RBM18","CG14414"
"855","ZNRF2","CG14435"
"856","ZNF821","CG14440"
"857","ZNF821","CG14442"
"858","TEFM","CG14450"
"859","PSME3IP1","CG14480"
"860","PET100","CG14483"
"861","MORN1","CG14490"
"862","GSKIP","CG14505"
"863","SLC35B4","CG14511"
"864","REELD1","CG14515"
"865","TSR2","CG14543"
"866","TRMT61A","CG14544"
"867","HPS3","CG14562"
"868","TMEM164","CG14591"
"869","SLC2A4","CG14605"
"870","SLC2A8","CG14606"
"871","FAM210A","CG14613"
"872","TRMT10A","CG14618"
"873","SLC35E1","CG14621"
"874","ZNHIT6","CG1463"
"875","BBOX1","CG14630"
"876","RBM22","CG14641"
"877","STOML3","CG14644"
"878","TMEM129","CG14646"
"879","KCTD9","CG14647"
"880","REPIN1","CG14667"
"881","METTL15","CG14683"
"882","PPP1R36","CG14689"
"883","SLC22A4","CG14691"
"884","CNBD2","CG14693"
"885","SLC19A2","CG14694"
"886","ARRDC5","CG14696"
"887","ZNF22","CG14711"
"888","FKBP2","CG14715"
"889","ABHD11","CG14717"
"890","TEX13A","CG14718"
"891","TPK1","CG14721"
"892","WDR55","CG14722"
"893","STOML3","CG14736"
"894","SLC8B1","CG14743"
"895","SLC8B1","CG14744"
"896","SDHAF2","CG14757"
"897","DYNLT2B","CG14763"
"898","LAPTM4B","CG14767"
"899","MPV17L","CG14777"
"900","MPV17L","CG14778"
"901","GZMA","CG14780"
"902","MMS22L","CG14803"
"903","WDR18","CG14805"
"904","CPA1","CG14820"
"905","ERICH2","CG14853"
"906","SLC22A7","CG14855"
"907","SLC22A13","CG14856"
"908","SLC22A7","CG14857"
"909","PDXDC1","CG1486"
"910","EFHD2","CG14861"
"911","CLEC6A","CG14866"
"912","CCDC149","CG14868"
"913","MTRR","CG14882"
"914","FBXL2","CG14891"
"915","FAR2","CG14893"
"916","TTC1","CG14894"
"917","PTRHD1","CG14903"
"918","CCDC63","CG14905"
"919","GGT5","CG1492"
"920","ABCA3","CG1494"
"921","OSTM1","CG14969"
"922","SLC35C2","CG14971"
"923","RFWD3","CG14983"
"924","MITD1","CG14985"
