"","human_gene","zebarfish_gene"
"89","BRSK2","BRSK2"
"90","TRERF1","BX000363.1"
"91","RNU1-22P","BX000477.10"
"92","RNU6-545P","BX000981.11"
"93","RNU1-22P","BX000981.12"
"94","RNU6-777P","BX004779.1"
"95","GIMAP5","BX004816.3"
"96","GJD4","BX004842.2"
"97","SEPTIN14","BX004857.1"
"98","SNORD37","BX005203.1"
"99","SNORD37","BX005203.2"
"100","RNU6-50P","BX005268.1"
"101","DUSP29","BX005321.1"
"102","PCYOX1L","BX005397.1"
"103","GIMAP5","BX005442.2"
"104","MYOZ3","BX072577.1"
"105","RNU6-50P","BX088712.13"
"106","RNU1-22P","BX088712.3"
"107","CRTAM","BX120005.2"
"108","RNU6-50P","BX248128.3"
"109","RNU6-545P","BX248128.7"
"110","RNU1-22P","BX248128.8"
"111","SNORD94","BX248136.1"
"112","NAMPT","BX248331.1"
"113","TCEANC","BX276105.1"
"114","KLHL33","BX276107.1"
"115","SNORA6","BX284638.1"
"116","SLC41A3","BX294434.1"
"117","RNU1-22P","BX321887.15"
"118","RNA5SP531","BX322660.1"
"119","SNORD7","BX322663.1"
"120","RNU1-22P","BX323006.1"
"121","SNORA57","BX323559.2"
"122","CXCL9","BX323596.1"
"123","CXCL9","BX323596.2"
"124","SNORA74","BX323828.1"
"125","RN7SKP222","BX323829.1"
"126","SEPTIN14","BX323854.1"
"127","GNA12","BX324110.1"
"128","ALX4","BX324132.3"
"129","MAPK11","BX324164.5"
"130","RNU6-50P","BX465195.3"
"131","RNU6-50P","BX465195.6"
"132","RNU6-545P","BX465195.8"
"133","RNU6-79P","BX470072.1"
"134","ABHD17C","BX470137.2"
"135","SNORD111B","BX470163.1"
"136","SNORD111B","BX470163.2"
"137","SNORD111B","BX470163.3"
"138","HTRA2","BX510654.2"
"139","RNU1-22P","BX510935.1"
"140","SCFD2","BX511028.2"
"141","ULK4","BX511115.1"
"142","RNU6-8","BX511129.1"
"143","THAP6","BX511129.3"
"144","SCARNA18B","BX511227.2"
"145","SCARNA18B","BX511227.3"
"146","SNORA7B","BX537350.1"
"147","SNORA78","BX548038.1"
"148","SNORA78","BX548038.2"
"149","RNU4ATAC11P","BX548038.3"
"150","SNORA47","BX569796.1"
"151","SNORD21","BX571699.2"
"152","RNU1-22P","BX571711.20"
"153","RNU6-50P","BX571711.21"
"154","RNU1-22P","BX571711.4"
"155","RNU6-545P","BX571711.5"
"156","CAMK1","BX571768.1"
"157","RNU6-50P","BX571813.1"
"158","NSD1","BX571813.2"
"159","RNU1-22P","BX571813.6"
"160","SNORA69","BX571981.1"
"161","C11orf24","BX572619.1"
"162","IL2RG","BX601644.2"
"163","CLEC6A","BX640512.3"
"164","RNU1-22P","BX640547.6"
"165","RNU6-50P","BX640584.16"
"166","RNU1-22P","BX640584.5"
"167","SCARNA14","BX649250.1"
"168","UIMC1","BX649250.2"
"169","GNA15","BX649295.2"
"170","PSPN","BX649315.1"
"171","B3GNT6","BX649337.2"
"172","SNORA55","BX649366.1"
"173","SNORA55","BX649366.2"
"174","SNORD63","BX649391.1"
"175","RNU6-50P","BX649394.13"
"176","RNU1-22P","BX649394.3"
"177","RNU6-50P","BX649399.11"
"178","RNU1-22P","BX649399.18"
"179","RNU6-50P","BX649399.2"
"180","RNU6-545P","BX649399.6"
"181","SNORA74","BX649502.1"
"182","NSD1","BX649556.2"
"183","SMURF1","BX649559.2"
"184","CLDN1","BX649608.2"
"185","LTBP4","BX663503.3"
"186","MIR212","BX663516.1"
"187","RNU6-545P","BX664605.2"
"188","TRIM28","BX664721.1"
"189","CD69","BX682234.1"
"190","RNA5SP531","BX842684.1"
"191","RNU6-545P","BX855613.1"
"192","SNORA68","BX890562.1"
"193","SNORA54","BX901883.1"
"194","RNU6-50P","BX908777.2"
"195","ART4","BX908804.1"
"196","ART4","BX908804.3"
"197","TIGD1","BX914205.2"
"198","RNU6-50P","BX914214.12"
"199","RNU6-50P","BX914214.16"
"200","RNU6-545P","BX914214.3"
"201","RNU1-22P","BX927135.3"
"202","RNU6-50P","BX927193.7"
"203","SCARNA1","BX927222.1"
"204","SNORD11B","BX927225.2"
"205","SNORD11B","BX927225.3"
"206","RNU6-50P","BX927290.1"
"207","SNORA9B","BX927310.1"
"208","SNORA9B","BX927310.2"
"209","VSIR","BX927333.1"
"210","RNU1-22P","BX928743.2"
"211","RNU6-50P","BX928743.4"
"212","ARL10","BX936439.1"
"213","RNU6-50P","BX942815.6"
"214","IL17RB","BX942819.1"
"215","CNTN4","BX942846.1"
"216","SNORA2A","BX957326.1"
"217","C17orf49","C10H17orf49"
"218","C21orf91","C10H21orf91"
"219","C5orf63","C10H5orf63"
"220","C1orf50","C11H1orf50"
"221","C6orf120","C11H6orf120"
"222","C10orf53","C13H10orf53"
"223","C9orf72","C13H9orf72"
"224","CXorf65","C14HXorf65"
"225","C1orf232","C16H1orf232"
"226","C1orf43","C16H1orf43"
"227","C14orf132","C17H14orf132"
"228","C14orf28","C17H14orf28"
"229","C15orf48","C18H15orf48"
"230","C15orf61","C18H15orf61"
"231","C19orf47","C18H19orf47"
"232","C3orf33","C18H3orf33"
"233","C6orf62","C19H6orf62"
"234","C4orf33","C1H4orf33"
"235","C12orf57","C20H12orf57"
"236","C1orf198","C20H1orf198"
"237","C6orf58","C20H6orf58"
"238","C5orf24","C21H5orf24"
"239","C1orf53","C22H1orf53"
"240","C1orf52","C23H1orf52"
"241","C8orf34","C24H8orf34"
"242","C11orf96","C25H11orf96"
"243","C12orf4","C25H12orf4"
"244","C2CD4C","C2CD4C"
"245","C14orf119","C2H14orf119"
"246","C1orf35","C2H1orf35"
"247","C5orf22","C2H5orf22"
"248","C7orf25","C2H7orf25"
"249","C16orf89","C3H16orf89"
"250","C17orf75","C3H17orf75"
"251","C11orf54","C5H11orf54"
"252","C2orf42","C5H2orf42"
"253","C2orf68","C5H2orf68"
"254","C9orf78","C5H9orf78"
"255","C9orf85","C5H9orf85"
"256","C3orf18","C6H3orf18"
"257","C11orf68","C7H11orf68"
"258","C16orf87","C7H16orf87"
"259","C19orf12","C7H19orf12"
"260","C4orf48","C7H4orf48"
"261","C4orf54","C7H4orf54"
"262","C2orf49","C9H2orf49"
"263","C2orf69","C9H2orf69"
"264","C2orf76","C9H2orf76"
"265","C3orf38","C9H3orf38"
"266","C3orf70","C9H3orf70"
"267","CABP4","CABP4"
"268","CABP7","CABP7"
"269","SNORD60","CABZ01000633.1"
"270","SNORD60","CABZ01000633.2"
"271","SNORD60","CABZ01000633.3"
"272","IFI44L","CABZ01000634.1"
"273","IFI44L","CABZ01000635.1"
"274","RNU1-22P","CABZ01002520.1"
"275","RNU1-22P","CABZ01002524.1"
"276","THAP6","CABZ01005857.1"
"277","OGFR","CABZ01008730.1"
"278","C1orf43","CABZ01010830.1"
"279","FIG4","CABZ01011673.1"
"280","IL12B","CABZ01013771.1"
"281","ANO2","CABZ01015105.1"
"282","FCHSD1","CABZ01017717.1"
"283","RNU6-50P","CABZ01017718.3"
"284","RNU6-50P","CABZ01017718.5"
"285","RNU6-50P","CABZ01017718.8"
"286","RNU6-50P","CABZ01017718.9"
"287","RNU6-545P","CABZ01018409.1"
"288","CELF2","CABZ01018956.1"
"289","ART4","CABZ01019904.1"
"290","RXRG","CABZ01020455.1"
"291","BCL2L14","CABZ01020840.1"
"292","RIPK2","CABZ01021599.1"
"293","BCAM","CABZ01024501.1"
"294","ME1","CABZ01025780.1"
"295","RNU1-22P","CABZ01028323.2"
"296","RNU1-22P","CABZ01028323.4"
"297","ZACN","CABZ01028768.1"
"298","MMP16","CABZ01029422.1"
"299","FAM13A","CABZ01031870.1"
"300","TUT7","CABZ01032476.1"
"301","ALDH2","CABZ01032488.1"
"302","TM4SF20","CABZ01033205.1"
"303","OLA1","CABZ01035356.1"
"304","RNU1-22P","CABZ01036080.1"
"305","PLCB1","CABZ01037174.1"
"306","MSI1","CABZ01037298.1"
"307","ARSG","CABZ01038699.1"
"308","VSIR","CABZ01039304.1"
"309","B4GALNT2","CABZ01039859.1"
"310","CMAS","CABZ01039863.1"
"311","NEK3","CABZ01040556.1"
"312","CARD10","CABZ01040998.1"
"313","NOTCH4","CABZ01040999.1"
"314","C5AR2","CABZ01041494.1"
"315","THAP2","CABZ01041962.1"
"316","LIMD1","CABZ01043952.1"
"317","LIMD1","CABZ01043953.1"
"318","IWS1","CABZ01044053.1"
"319","PTPRM","CABZ01044099.1"
"320","LEPROT","CABZ01044235.1"
"321","DST","CABZ01044277.1"
"322","DST","CABZ01044281.1"
"323","SVIL","CABZ01044731.2"
"324","MFSD10","CABZ01045212.1"
"325","HPS5","CABZ01046087.1"
"326","HPS5","CABZ01046088.1"
"327","RCCD1","CABZ01046093.1"
"328","OBI1","CABZ01046895.1"
"329","TLN2","CABZ01046980.1"
"330","RAB11FIP5","CABZ01048053.1"
"331","CWF19L2","CABZ01048392.1"
"332","POLR2B","CABZ01048453.1"
"333","PLEKHG1","CABZ01048666.1"
"334","GGT5","CABZ01049847.1"
"335","SAP30L","CABZ01050105.2"
"336","SHISA8","CABZ01050944.1"
"337","ZP4","CABZ01051901.1"
"338","MSLNL","CABZ01052573.1"
"339","GTF3C1","CABZ01052576.1"
"340","MCF2L","CABZ01053976.1"
"341","CPT1C","CABZ01055347.1"
"342","FMNL1","CABZ01055365.1"
"343","ACACA","CABZ01055489.1"
"344","FKBP6","CABZ01055707.1"
"345","ADGRG3","CABZ01056051.1"
"346","ADGRG3","CABZ01056052.1"
"347","PCARE","CABZ01056321.1"
"348","SZT2","CABZ01056637.1"
"349","FAM20A","CABZ01057057.1"
"350","DIAPH1","CABZ01057928.1"
"351","PACS1","CABZ01058046.1"
"352","INCENP","CABZ01058261.1"
"353","RNF213","CABZ01058333.1"
"354","BTN2A1","CABZ01059909.1"
"355","ART4","CABZ01059912.1"
"356","ART4","CABZ01059913.1"
"357","RNU6-545P","CABZ01060113.1"
"358","RNU6-50P","CABZ01060113.2"
"359","INF2","CABZ01060373.1"
"360","LINGO3","CABZ01060891.1"
"361","TTC16","CABZ01060936.1"
"362","MYOM2","CABZ01061524.1"
"363","MAML2","CABZ01061591.1"
"364","RNF14","CABZ01061592.1"
"365","EIF4G1","CABZ01061894.1"
"366","SLC12A2","CABZ01063543.1"
"367","LAGE3","CABZ01063556.1"
"368","SEMA4D","CABZ01064472.1"
"369","SIM1","CABZ01064671.1"
"370","ACAA2","CABZ01065076.1"
"371","TUT4","CABZ01065131.1"
"372","PI4KA","CABZ01065416.1"
"373","PI4KA","CABZ01065417.1"
"374","LAMA2","CABZ01065423.1"
"375","KIF21A","CABZ01066312.1"
"376","NCOA7","CABZ01066813.1"
"377","FARP1","CABZ01066921.1"
"378","UBR7","CABZ01066926.1"
"379","TSC2","CABZ01067150.2"
"380","NHERF2","CABZ01067151.1"
"381","CLDN10","CABZ01067558.1"
"382","C12orf75","CABZ01067761.1"
"383","GBP6","CABZ01068208.1"
"384","GBP6","CABZ01068209.1"
"385","IL1RAP","CABZ01068246.1"
"386","WDR77","CABZ01068251.1"
"387","PSD","CABZ01068356.1"
"388","UPF2","CABZ01068469.1"
"389","CRISP1","CABZ01068499.1"
"390","FCHSD1","CABZ01070631.2"
"391","CNNM3","CABZ01071056.1"
"392","RNU6-39P","CABZ01071845.1"
"393","SLC17A1","CABZ01071848.1"
"394","ANKRD28","CABZ01071939.1"
"395","MET","CABZ01071972.1"
"396","ITGA7","CABZ01072242.1"
"397","GXYLT1","CABZ01072254.1"
"398","B3GNT6","CABZ01072312.1"
"399","MDGA2","CABZ01072406.1"
"400","DDX41","CABZ01072952.1"
"401","ZACN","CABZ01073083.1"
"402","CFI","CABZ01073265.1"
"403","WDR7","CABZ01073424.1"
"404","IFI44L","CABZ01073795.1"
"405","COL23A1","CABZ01074130.1"
"406","ERN2","CABZ01074298.1"
"407","USP4","CABZ01074304.1"
"408","USP15","CABZ01074307.2"
"409","DUT","CABZ01074745.1"
"410","GALNT5","CABZ01075242.1"
"411","GNAL","CABZ01075509.1"
"412","TMEM241","CABZ01075521.1"
"413","A2ML1","CABZ01075618.1"
"414","RABL6","CABZ01075628.1"
"415","RIMBP3","CABZ01076737.1"
"416","NPNT","CABZ01076996.1"
"417","PGF","CABZ01077555.1"
"418","SPATS2","CABZ01078055.1"
"419","PARP6","CABZ01078320.1"
"420","SNORD49B","CABZ01078601.1"
"421","SNORD1A","CABZ01078601.2"
"422","SAPCD2","CABZ01078734.1"
"423","PDE2A","CABZ01079080.1"
"424","PDE2A","CABZ01079081.1"
"425","ZNF304","CABZ01079241.1"
"426","TMEM38B","CABZ01079427.1"
"427","PARP15","CABZ01079480.1"
"428","FGD3","CABZ01079663.1"
"429","FANCM","CABZ01079748.1"
"430","KCNJ4","CABZ01079818.1"
"431","MFAP4","CABZ01080042.1"
"432","ADAMTS2","CABZ01080056.1"
"433","POU2F1","CABZ01080371.1"
"434","GNRHR","CABZ01080434.1"
"435","DNAJA4","CABZ01080568.1"
"436","SDC3","CABZ01080702.1"
"437","TMEM200C","CABZ01081294.2"
"438","ERMP1","CABZ01081385.1"
"439","UTRN","CABZ01081535.1"
"440","DOK7","CABZ01081777.1"
"441","CRTC2","CABZ01081897.1"
"442","CCDC34","CABZ01081909.1"
"443","GTF3C1","CABZ01083166.1"
"444","PRKAB2","CABZ01083448.1"
"445","RYR3","CABZ01083778.1"
"446","PTPRM","CABZ01084131.1"
"447","ST6GALNAC2","CABZ01084230.1"
"448","TMEM179","CABZ01084273.1"
"449","DNM2","CABZ01084501.2"
"450","OSBPL1A","CABZ01084566.1"
"451","SECISBP2L","CABZ01084603.1"
"452","EIF4G1","CABZ01085052.1"
"453","NBL1","CABZ01085139.1"
"454","BRF2","CABZ01085177.1"
"455","CAMTA2","CABZ01085201.1"
"456","DNAAF5","CABZ01085365.1"
"457","BICD1","CABZ01085700.1"
"458","CASKIN2","CABZ01085710.1"
"459","PHACTR1","CABZ01085887.1"
"460","HCN2","CABZ01086574.1"
"461","DEPDC1B","CABZ01086734.1"
"462","SLC2A9","CABZ01086812.1"
"463","CPNE6","CABZ01087415.1"
"464","TMEM25","CABZ01087566.1"
"465","XPO5","CABZ01087629.1"
"466","BAHD1","CABZ01087948.1"
"467","EPHX1","CABZ01087953.1"
"468","ERMP1","CABZ01088049.1"
"469","LCP2","CABZ01088229.1"
"470","PSTK","CABZ01088271.1"
"471","DYNC1I1","CABZ01088308.1"
"472","ANO1","CABZ01088346.1"
"473","ARHGAP9","CABZ01088367.1"
"474","MGAM2","CABZ01088484.1"
"475","HDGFL3","CABZ01088864.1"
"476","FABP12","CABZ01088982.1"
"477","LIPI","CABZ01090041.1"
"478","SP1","CABZ01090361.1"
"479","WHAMM","CABZ01090373.1"
"480","CDKAL1","CABZ01090785.1"
"481","ATF6B","CABZ01090890.1"
"482","LASP1","CABZ01092072.2"
"483","MPZL3","CABZ01092156.1"
"484","NEMF","CABZ01092170.1"
"485","LAMA2","CABZ01092781.1"
"486","DUSP13B","CABZ01093429.1"
"487","DBX2","CABZ01093502.2"
"488","RIC3","CABZ01095001.1"
"489","LSAMP","CABZ01099795.1"
"490","MAP4K1","CABZ01099833.1"
"491","ACAP3","CABZ01099847.1"
"492","TMEM43","CABZ01101813.1"
"493","GAS7","CABZ01102038.1"
"494","NOTCH4","CABZ01102109.1"
"495","RCAN1","CABZ01102170.1"
"496","NDUFA13","CABZ01102240.1"
"497","DLG5","CABZ01103862.1"
"498","GPRC5D","CABZ01109019.1"
"499","DOCK2","CABZ01109480.1"
"500","DOCK2","CABZ01109481.1"
"501","TWSG1","CABZ01110379.1"
"502","NCSTN","CABZ01110881.1"
"503","VPS13B","CABZ01111454.1"
"504","OSBPL10","CABZ01111953.1"
"505","MYH9","CABZ01112387.1"
"506","LRRC52","CABZ01112864.1"
"507","SON","CABZ01113192.1"
"508","DCAF1","CABZ01113599.1"
"509","SRPK2","CABZ01113818.1"
"510","VAV1","CABZ01114581.1"
"511","SH2D3A","CABZ01115881.1"
"512","KIF2A","CABZ01117348.1"
"513","INHBC","CABZ01117503.1"
"514","PMM1","CABZ01117706.1"
"515","CST7","CABZ01117840.1"
"516","GPR34","CABZ01118270.1"
"517","SEMA6A","CABZ01118575.1"
"518","CACFD1","CACFD1"
"519","CACNA2D1","CACNA2D1"
"520","CACNA2D3","CACNA2D3"
"521","CALHM1","CALHM1"
"522","CAMK2N1","CAMK2N1"
"523","CAMSAP3","CAMSAP3"
"524","CAPN1","CAPN1"
"525","CASKIN2","CASKIN2"
"526","CC2D1A","CC2D1A"
"527","CCDC134","CCDC134"
"528","CCDC39","CCDC39"
"529","CCDC92B","CCDC92B"
"530","CCKAR","CCKAR"
"531","CCKBR","CCKBR"
"532","CCNB1IP1","CCNB1IP1"
"533","CDCP1","CDCP1"
"534","CDH18","CDH18"
"535","CDIN1","CDIN1"
"536","CDK18","CDK18"
"537","CDK2AP1","CDK2AP1"
"538","CDPF1","CDPF1"
"539","CELF6","CELF6"
"540","CEP15","CEP15"
"541","CFAP68","CFAP68"
"542","CFAP77","CFAP77"
"543","CFAP90","CFAP90"
"544","CFAP96","CFAP96"
"545","CGA","CGA"
"546","CHST12","CHST12"
"547","CHST13","CHST13"
"548","CHST8","CHST8"
"549","CIR1","CIR1"
"550","CKS2","CKS2"
"551","CLEC3A","CLEC3A"
"552","CLPB","CLPB"
"553","CLSTN2","CLSTN2"
"554","CNNM1","CNNM1"
"555","CNNM4","CNNM4"
"556","COA4","COA4"
"557","COLEC10","COLEC10"
"558","COLGALT1","COLGALT1"
"559","COQ10A","COQ10A"
"560","CORO7","CORO7"
"561","COX5B","COX5B"
"562","COX7A2","COX7A2"
"563","CPNE8","CPNE8"
"564","SRSF12","CR293507.1"
"565","CD38","CR318624.2"
"566","SNORD58C","CR339054.1"
"567","SNORD58C","CR339054.2"
"568","SNORA31","CR339054.3"
"569","ADCY9","CR339059.1"
"570","TIGD1","CR352209.1"
"571","SNORA84","CR352215.1"
"572","SNORD33","CR352220.1"
"573","PRSS22","CR352265.1"
"574","TMPRSS7","CR352265.3"
"575","PALMD","CR352310.2"
"576","TIGD1","CR354398.1"
"577","RNU1-22P","CR356223.5"
"578","RNU5B-6P","CR356225.1"
"579","NSD1","CR356227.1"
"580","RNU6-50P","CR356227.8"
"581","RNU1-22P","CR356227.9"
"582","ENTREP2","CR356242.1"
"583","DPP10","CR381531.2"
"584","SNORD59A","CR381647.1"
"585","SNORD59A","CR381647.2"
"586","RNU6-260P","CR381657.2"
"587","RNU6-50P","CR381657.6"
"588","CD244","CR381673.1"
"589","CD244","CR381673.2"
"590","SNORD72","CR382296.1"
"591","GTSF1L","CR382383.2"
"592","SNORA16B","CR385068.1"
"593","SNORD99","CR385068.2"
"594","SNORA16B","CR385068.3"
"595","RNU11-5P","CR385068.4"
"596","BLOC1S3","CR387932.1"
"597","RNU6-777P","CR388002.1"
"598","GIMAP5","CR388047.2"
"599","THAP6","CR388055.1"
"600","SNORD35B","CR388062.3"
"601","SNORD35B","CR388062.4"
"602","RNU7-159P","CR388102.2"
"603","RNU7-159P","CR388102.3"
"604","RNU7-159P","CR388102.4"
"605","RNU7-159P","CR388102.5"
"606","RNU6-545P","CR388165.5"
"607","RNU1-22P","CR388165.8"
"608","RNU1-22P","CR388165.9"
"609","RNU1-22P","CR388172.12"
"610","RNU6-50P","CR388172.2"
"611","RNU6-545P","CR388172.8"
"612","RNU2-47P","CR388189.4"
"613","RNU2-9P","CR388189.6"
"614","RNU2-9P","CR388189.8"
"615","RNU1-22P","CR388206.13"
"616","RNU1-22P","CR388206.14"
"617","RNU6-545P","CR388206.3"
"618","RNU6-50P","CR388206.6"
"619","SNORD8","CR388231.1"
"620","SNORD8","CR388231.2"
"621","SNORD8","CR388231.3"
"622","RNU6-545P","CR388390.18"
"623","RNU1-22P","CR388390.2"
"624","ERICH1","CR391986.1"
"625","RNU1-22P","CR391997.1"
"626","RNU6-50P","CR391997.5"
"627","RNU6-545P","CR391997.6"
"628","SNORA21B","CR396582.3"
"629","FITM1","CR405710.1"
"630","RNU6-545P","CR450785.21"
"631","RNU1-22P","CR450785.7"
"632","PNMT","CR456635.1"
"633","SCARNA11","CR559931.1"
"634","NAT8","CR559945.2"
"635","SNORD33","CR626962.1"
"636","RD3","CR631122.1"
"637","SNORD42A","CR749178.1"
"638","B3GNT6","CR759791.1"
"639","SNORD101","CR759830.1"
"640","SNORD100","CR759830.2"
"641","ZACN","CR759836.1"
"642","RNU1-22P","CR759843.3"
"643","IFIT3","CR759879.1"
"644","OVCH1","CR759887.3"
"645","RTL1","CR762395.1"
"646","PPBP","CR762483.1"
"647","UNC13C","CR769778.1"
"648","SCARNA10","CR788281.1"
"649","SCARNA10","CR788281.2"
"650","MINAR2","CR790388.1"
"651","ADTRP","CR792417.1"
"652","SNORD83","CR792441.2"
"653","SNORA56","CR792441.3"
"654","SNORD83","CR792441.4"
"655","SNORD83","CR792441.5"
"656","SNORD83","CR792441.6"
"657","PTPRK","CR846082.1"
"658","SNORD65","CR847523.1"
"659","SNORD65","CR847523.2"
"660","RMRPP5","CR847546.1"
"661","SNORD10","CR848032.1"
"662","RNA5SP531","CR854833.1"
"663","GSTK1","CR854927.4"
"664","NYAP1","CR854980.1"
"665","RNA5SP531","CR854987.1"
"666","GABBR2","CR855311.6"
"667","TGFBR2","CR855318.1"
"668","IFI44L","CR855320.3"
"669","SNORD60","CR855320.4"
"670","SNORD60","CR855320.5"
"671","SNORD60","CR855320.6"
"672","SEPTIN14","CR855393.1"
"673","ATP8B2","CR855996.2"
"674","SNORA65","CR925757.1"
"675","SNORA65","CR925757.2"
"676","SNORA65","CR925757.3"
"677","RNU1-22P","CR925768.5"
"678","CASP4","CR925773.1"
"679","RNU1-22P","CR926128.1"
"680","RNU6-50P","CR926128.13"
"681","RNU6-545P","CR926128.2"
"682","RNU1-22P","CR926128.3"
"683","SNORD6","CR936321.1"
"684","SNORA32","CR936321.3"
"685","SNORA1B","CR936321.4"
"686","SNORA29","CR936322.1"
"687","SNORA29","CR936322.2"
"688","NECTIN3","CR936977.2"
"689","CD22","CR944667.2"
"690","ACBD5","CR956623.1"
"691","CRACD","CRACD"
"692","CRACR2A","CRACR2A"
"693","CRAT","CRAT"
"694","CRHR2","CRHR2"
"695","CSDC2","CSDC2"
"696","CSKMT","CSKMT"
"697","CSRNP3","CSRNP3"
"698","CSTPP1","CSTPP1"
"699","MUTYH","CT025742.1"
"700","RNU1-22P","CT027578.2"
"701","SNORD57","CT027620.1"
"702","SNORD2","CT027646.1"
"703","SNORD2","CT027646.2"
"704","HTRA2","CT027677.1"
"705","SLC27A3","CT027815.1"
"706","CLEC6A","CT030017.2"
"707","NAMPT","CT033790.1"
"708","RNU6-8","CT573239.1"
"709","SNORD94","CT573356.2"
"710","CHCHD5","CT573476.1"
"711","RNVU1-3","CT574575.1"
"712","GPR35","CT583662.1"
"713","HLA-DQA2","CT583723.2"
"714","SNORA35","CT863714.2"
"715","SEPTIN14","CT955963.1"
"716","CTBP1","CTBP1"
"717","CTRL","CTRL"
"718","SNORD53","CU076099.1"
"719","SNORD53","CU076099.3"
"720","NHERF2","CU138547.1"
"721","NSD1","CU182823.1"
"722","SNORA53","CU207255.1"
"723","SNORA53","CU207255.2"
"724","NFASC","CU234171.1"
"725","MIR22","CU442763.1"
"726","RNU1-22P","CU457794.1"
"727","PROCA1","CU459012.1"
"728","C20orf173","CU459056.1"
"729","KRTCAP3","CU462878.2"
"730","KCNIP2","CU462915.1"
"731","SNORD66","CU462977.2"
"732","RNU6-1101P","CU464066.1"
"733","RNU6-529P","CU466287.1"
"734","SNORD77B","CU467861.10"
"735","SNORD79","CU467861.2"
"736","SNORD79","CU467861.3"
"737","SNORD74B","CU467861.4"
"738","SNORD77B","CU467861.9"
"739","CASP4","CU467905.1"
"740","ITGA6","CU469503.1"
"741","TSTD2","CU469526.1"
"742","SNORA75","CU469540.1"
"743","SNORA75","CU469540.2"
"744","SNORD82","CU469540.3"
"745","SNORD15A","CU570791.1"
"746","GPR33","CU571081.1"
"747","RAB39A","CU571310.1"
"748","TPSD1","CU571315.2"
"749","TPSD1","CU571315.3"
"750","MYH6","CU633479.1"
"751","MYH6","CU633479.2"
"752","MYH6","CU633479.5"
"753","TTC21A","CU633479.6"
"754","TACC2","CU639469.1"
"755","SNORA13","CU640488.1"
"756","SNORA14A","CU681839.1"
"757","SNORD68","CU683900.1"
"758","SNORA27","CU693368.1"
"759","CRYBG2","CU693379.1"
"760","PPP1R27","CU693479.1"
"761","FNDC7","CU693481.1"
"762","SNORD94","CU695215.1"
"763","FMN1","CU695215.3"
"764","FFAR3","CU855821.1"
"765","PWWP2A","CU855895.3"
"766","RNU6-777P","CU856253.1"
"767","PRR5","CU856344.1"
"768","MFSD14B","CU856539.1"
"769","NCAN","CU861477.1"
