"","human_gene","horse_gene"
"189","ACTC1","ACTC1"
"190","ACTG1","ACTG1"
"191","ACTG2","ACTG2"
"192","ACTL10","ACTL10"
"193","ACTL6A","ACTL6A"
"194","ACTL6B","ACTL6B"
"195","ACTL7A","ACTL7A"
"196","ACTL7B","ACTL7B"
"197","ACTL8","ACTL8"
"198","ACTMAP","ACTMAP"
"199","ACTN1","ACTN1"
"200","ACTN2","ACTN2"
"201","ACTN3","ACTN3"
"202","ACTN4","ACTN4"
"203","ACTR10","ACTR10"
"204","ACTR1A","ACTR1A"
"205","ACTR1B","ACTR1B"
"206","ACTR2","ACTR2"
"207","ACTR3","ACTR3"
"208","ACTR5","ACTR5"
"209","ACTR6","ACTR6"
"210","ACTR8","ACTR8"
"211","ACTRT1","ACTRT1"
"212","ACTRT2","ACTRT2"
"213","ACTRT3","ACTRT3"
"214","ACVR1","ACVR1"
"215","ACVR1B","ACVR1B"
"216","ACVR1C","ACVR1C"
"217","ACVR2A","ACVR2A"
"218","ACVR2B","ACVR2B"
"219","ACVRL1","ACVRL1"
"220","ACY1","ACY1"
"221","ACYP2","ACYP2"
"222","ADA","ADA"
"223","ADA2","ADA2"
"224","ADAD1","ADAD1"
"225","ADAD2","ADAD2"
"226","ADAL","ADAL"
"227","ADAM10","ADAM10"
"228","ADAM11","ADAM11"
"229","ADAM12","ADAM12"
"230","ADAM15","ADAM15"
"231","ADAM17","ADAM17"
"232","ADAM18","ADAM18"
"233","ADAM19","ADAM19"
"234","ADAM2","ADAM2"
"235","ADAM20","ADAM20"
"236","ADAM22","ADAM22"
"237","ADAM23","ADAM23"
"238","ADAM28","ADAM28"
"239","ADAM29","ADAM29"
"240","ADAM32","ADAM32"
"241","ADAM33","ADAM33"
"242","ADAM7","ADAM7"
"243","ADAM9","ADAM9"
"244","ADAMDEC1","ADAMDEC1"
"245","ADAMTS1","ADAMTS1"
"246","ADAMTS10","ADAMTS10"
"247","ADAMTS12","ADAMTS12"
"248","ADAMTS13","ADAMTS13"
"249","ADAMTS14","ADAMTS14"
"250","ADAMTS15","ADAMTS15"
"251","ADAMTS16","ADAMTS16"
"252","ADAMTS17","ADAMTS17"
"253","ADAMTS18","ADAMTS18"
"254","ADAMTS19","ADAMTS19"
"255","ADAMTS2","ADAMTS2"
"256","ADAMTS20","ADAMTS20"
"257","ADAMTS3","ADAMTS3"
"258","ADAMTS4","ADAMTS4"
"259","ADAMTS5","ADAMTS5"
"260","CENPK","ADAMTS6"
"261","ADAMTS7","ADAMTS7"
"262","ADAMTS9","ADAMTS9"
"263","ADAMTSL1","ADAMTSL1"
"264","ADAMTSL2","ADAMTSL2"
"265","ADAMTSL3","ADAMTSL3"
"266","ADAMTSL4","ADAMTSL4"
"267","ADAMTSL5","ADAMTSL5"
"268","ADAP1","ADAP1"
"269","ADAP2","ADAP2"
"270","ADAR","ADAR"
"271","ADARB1","ADARB1"
"272","ADARB2","ADARB2"
"273","ADAT1","ADAT1"
"274","ADAT2","ADAT2"
"275","ADAT3","ADAT3"
"276","ADCK1","ADCK1"
"277","ADCK2","ADCK2"
"278","ADCK5","ADCK5"
"279","ADCY1","ADCY1"
"280","ADCY10","ADCY10"
"281","ADCY2","ADCY2"
"282","ADCY3","ADCY3"
"283","ADCY4","ADCY4"
"284","ADCY5","ADCY5"
"285","ADCY6","ADCY6"
"286","ADCY7","ADCY7"
"287","ADCY8","ADCY8"
"288","ADCY9","ADCY9"
"289","ADCYAP1","ADCYAP1"
"290","ADCYAP1R1","ADCYAP1R1"
"291","ADD1","ADD1"
"292","ADD2","ADD2"
"293","ADD3","ADD3"
"294","ADGB","ADGB"
"295","ADGRA1","ADGRA1"
"296","ADGRA2","ADGRA2"
"297","ADGRA3","ADGRA3"
"298","ADGRB1","ADGRB1"
"299","ADGRB2","ADGRB2"
"300","ADGRB3","ADGRB3"
"301","ADGRD1","ADGRD1"
"302","ADGRD2","ADGRD2"
"303","ADGRE1","ADGRE1"
"304","ADGRE3","ADGRE3"
"305","ADGRE5","ADGRE5"
"306","ADGRF1","ADGRF1"
"307","ADGRF3","ADGRF3"
"308","ADGRF4","ADGRF4"
"309","ADGRF5","ADGRF5"
"310","ADGRG1","ADGRG1"
"311","ADGRG2","ADGRG2"
"312","ADGRG3","ADGRG3"
"313","ADGRG4","ADGRG4"
"314","ADGRG5","ADGRG5"
"315","ADGRG6","ADGRG6"
"316","ADGRG7","ADGRG7"
"317","ADGRL1","ADGRL1"
"318","ADGRL2","ADGRL2"
"319","ADGRL3","ADGRL3"
"320","ADGRL4","ADGRL4"
"321","ADGRV1","ADGRV1"
"322","ADH5","ADH5"
"323","ADHFE1","ADHFE1"
"324","ADI1","ADI1"
"325","ADIG","ADIG"
"326","ADIPOQ","ADIPOQ"
"327","ADIPOR1","ADIPOR1"
"328","ADIPOR2","ADIPOR2"
"329","ADISSP","ADISSP"
"330","ADK","ADK"
"331","ADM","ADM"
"332","ADNP","ADNP"
"333","ADNP2","ADNP2"
"334","ADO","ADO"
"335","ADORA1","ADORA1"
"336","ADORA2A","ADORA2A"
"337","ADORA2B","ADORA2B"
"338","ADORA3","ADORA3"
"339","ADPGK","ADPGK"
"340","ADPRH","ADPRH"
"341","ADPRM","ADPRM"
"342","ADPRS","ADPRS"
"343","ADRA1A","ADRA1A"
"344","ADRA1B","ADRA1B"
"345","ADRA1D","ADRA1D"
"346","ADRA2A","ADRA2A"
"347","ADRA2B","ADRA2B"
"348","ADRB1","ADRB1"
"349","ADRB2","ADRB2"
"350","ADRB3","ADRB3"
"351","ADRM1","ADRM1"
"352","ADSS1","ADSS1"
"353","ADSS2","ADSS2"
"354","ADTRP","ADTRP"
"355","AEBP1","AEBP1"
"356","AEBP2","AEBP2"
"357","AEN","AEN"
"358","AFAP1","AFAP1"
"359","AFAP1L1","AFAP1L1"
"360","AFAP1L2","AFAP1L2"
"361","AFDN","AFDN"
"362","AFF1","AFF1"
"363","AFF2","AFF2"
"364","AFF3","AFF3"
"365","AFF4","AFF4"
"366","AFG1L","AFG1L"
"367","AFG2A","AFG2A"
"368","AFG2B","AFG2B"
"369","AFG3L2","AFG3L2"
"370","AFM","AFM"
"371","AFMID","AFMID"
"372","AFP","AFP"
"373","AFTPH","AFTPH"
"374","AGA","AGA"
"375","AGAP1","AGAP1"
"376","AGAP2","AGAP2"
"377","AGAP3","AGAP3"
"378","AGBL1","AGBL1"
"379","AGBL2","AGBL2"
"380","AGBL5","AGBL5"
"381","AGER","AGER"
"382","AGFG1","AGFG1"
"383","AGFG2","AGFG2"
"384","AGK","AGK"
"385","AGL","AGL"
"386","AGMAT","AGMAT"
"387","AGMO","AGMO"
"388","AGO1","AGO1"
"389","AGO2","AGO2"
"390","AGO3","AGO3"
"391","AGO4","AGO4"
"392","AGPAT1","AGPAT1"
"393","AGPAT2","AGPAT2"
"394","AGPAT3","AGPAT3"
"395","AGPAT4","AGPAT4"
"396","AGPAT5","AGPAT5"
"397","AGPS","AGPS"
"398","AGR2","AGR2"
"399","AGR3","AGR3"
"400","AGRN","AGRN"
"401","AGRP","AGRP"
"402","AGT","AGT"
"403","AGTPBP1","AGTPBP1"
"404","AGTR1","AGTR1"
"405","AGTR2","AGTR2"
"406","AGXT","AGXT"
"407","AGXT2","AGXT2"
"408","AHCTF1","AHCTF1"
"409","AHCY","AHCY"
"410","AHCYL1","AHCYL1"
"411","AHCYL2","AHCYL2"
"412","AHDC1","AHDC1"
"413","AHI1","AHI1"
"414","AHNAK","AHNAK"
"415","AHR","AHR"
"416","AHRR","AHRR"
"417","AHSA1","AHSA1"
"418","AHSG","AHSG"
"419","AHSP","AHSP"
"420","AICDA","AICDA"
"421","AIDA","AIDA"
"422","AIF1","AIF1"
"423","AIF1L","AIF1L"
"424","AIFM1","AIFM1"
"425","AIFM2","AIFM2"
"426","AIFM3","AIFM3"
"427","AIG1","AIG1"
"428","AIM2","AIM2"
"429","AIMP1","AIMP1"
"430","AIMP2","AIMP2"
"431","AIP","AIP"
"432","AIPL1","AIPL1"
"433","AIRE","AIRE"
"434","AIRIM","AIRIM"
"435","AJAP1","AJAP1"
"436","AJM1","AJM1"
"437","AJUBA","AJUBA"
"438","AK2","AK2"
"439","AK3","AK3"
"440","AK4","AK4"
"441","AK5","AK5"
"442","AK6","AK6"
"443","AK7","AK7"
"444","AK8","AK8"
"445","AK9","AK9"
"446","AKAIN1","AKAIN1"
"447","AKAP1","AKAP1"
"448","AKAP10","AKAP10"
"449","AKAP11","AKAP11"
"450","AKAP12","AKAP12"
"451","AKAP13","AKAP13"
"452","AKAP17A","AKAP17A"
"453","AKAP3","AKAP3"
"454","AKAP4","AKAP4"
"455","AKAP5","AKAP5"
"456","AKAP6","AKAP6"
"457","AKAP7","AKAP7"
"458","AKAP8L","AKAP8L"
"459","AKAP9","AKAP9"
"460","AKIP1","AKIP1"
"461","AKIRIN1","AKIRIN1"
"462","AKIRIN2","AKIRIN2"
"463","AKNA","AKNA"
"464","AKNAD1","AKNAD1"
"465","AKR1B1","AKR1B1"
"466","AKR1D1","AKR1D1"
"467","AKR1E2","AKR1E2"
"468","AKR7L","AKR7L"
"469","AKT1","AKT1"
"470","AKT1S1","AKT1S1"
"471","AKT2","AKT2"
"472","AKT3","AKT3"
"473","AKTIP","AKTIP"
"474","ALAD","ALAD"
"475","ALAS1","ALAS1"
"476","ALAS2","ALAS2"
"477","ALB","ALB"
"478","ALCAM","ALCAM"
"479","ALDH16A1","ALDH16A1"
"480","ALDH18A1","ALDH18A1"
"481","ALDH1A1","ALDH1A1"
"482","ALDH1A2","ALDH1A2"
"483","ALDH1A3","ALDH1A3"
"484","ALDH1L1","ALDH1L1"
"485","ALDH1L2","ALDH1L2"
"486","ALDH2","ALDH2"
"487","ALDH3A1","ALDH3A1"
"488","ALDH3A2","ALDH3A2"
"489","ALDH3B2","ALDH3B2"
"490","ALDH4A1","ALDH4A1"
"491","ALDH5A1","ALDH5A1"
"492","ALDH6A1","ALDH6A1"
"493","ALDH7A1","ALDH7A1"
"494","ALDH8A1","ALDH8A1"
"495","ALDH9A1","ALDH9A1"
"496","ALDOA","ALDOA"
"497","ALDOB","ALDOB"
"498","ALDOC","ALDOC"
"499","ALG11","ALG11"
"500","ALG12","ALG12"
"501","ALG13","ALG13"
"502","ALG14","ALG14"
"503","ALG2","ALG2"
"504","ALG3","ALG3"
"505","ALG5","ALG5"
"506","ALG6","ALG6"
"507","ALG8","ALG8"
"508","ALG9","ALG9"
"509","ALK","ALK"
"510","ALKAL1","ALKAL1"
"511","ALKAL2","ALKAL2"
"512","ALKBH1","ALKBH1"
"513","ALKBH2","ALKBH2"
"514","ALKBH3","ALKBH3"
"515","ALKBH4","ALKBH4"
"516","ALKBH5","ALKBH5"
"517","ALKBH7","ALKBH7"
"518","ALKBH8","ALKBH8"
"519","ALLC","ALLC"
"520","ALMS1","ALMS1"
"521","ALOX12","ALOX12"
"522","ALOX12B","ALOX12B"
"523","ALOX15","ALOX15"
"524","ALOX15B","ALOX15B"
"525","ALOX5","ALOX5"
"526","ALOX5AP","ALOX5AP"
"527","ALOXE3","ALOXE3"
"528","ALPK1","ALPK1"
"529","ALPK2","ALPK2"
"530","ALPL","ALPL"
"531","ALS2","ALS2"
"532","ALS2CL","ALS2CL"
"533","ALX1","ALX1"
"534","ALX3","ALX3"
"535","ALX4","ALX4"
"536","ALYREF","ALYREF"
"537","AMACR","AMACR"
"538","AMBN","AMBN"
"539","AMBP","AMBP"
"540","AMBRA1","AMBRA1"
"541","AMD1","AMD1"
"542","AMDHD1","AMDHD1"
"543","AMDHD2","AMDHD2"
"544","AMELX","AMELX"
"545","AMER1","AMER1"
"546","AMER2","AMER2"
"547","AMER3","AMER3"
"548","AMFR","AMFR"
"549","AMH","AMH"
"550","AMHR2","AMHR2"
"551","AMIGO1","AMIGO1"
"552","AMIGO2","AMIGO2"
"553","AMIGO3","AMIGO3"
"554","AMMECR1","AMMECR1"
"555","AMMECR1L","AMMECR1L"
"556","AMN","AMN"
"557","AMN1","AMN1"
"558","AMOT","AMOT"
"559","AMOTL1","AMOTL1"
"560","AMOTL2","AMOTL2"
"561","AMPD1","AMPD1"
"562","AMPD2","AMPD2"
"563","AMPD3","AMPD3"
"564","AMPH","AMPH"
"565","AMT","AMT"
"566","AMTN","AMTN"
"567","AMZ1","AMZ1"
"568","AMZ2","AMZ2"
"569","ANAPC1","ANAPC1"
"570","ANAPC10","ANAPC10"
"571","ANAPC15","ANAPC15"
"572","ANAPC16","ANAPC16"
"573","ANAPC2","ANAPC2"
"574","ANAPC4","ANAPC4"
"575","ANAPC5","ANAPC5"
"576","ANAPC7","ANAPC7"
"577","ANG","ANG"
"578","ANGEL1","ANGEL1"
"579","ANGEL2","ANGEL2"
"580","ANGPT1","ANGPT1"
"581","ANGPT2","ANGPT2"
"582","ANGPT4","ANGPT4"
"583","ANGPTL1","ANGPTL1"
"584","ANGPTL2","ANGPTL2"
"585","ANGPTL3","ANGPTL3"
"586","ANGPTL4","ANGPTL4"
"587","ANGPTL5","ANGPTL5"
"588","ANGPTL6","ANGPTL6"
"589","ANGPTL7","ANGPTL7"
"590","ANGPTL8","ANGPTL8"
"591","ANHX","ANHX"
"592","ANK1","ANK1"
"593","ANK2","ANK2"
"594","ANK3","ANK3"
"595","ANKAR","ANKAR"
"596","ANKDD1A","ANKDD1A"
"597","ANKDD1B","ANKDD1B"
"598","ANKEF1","ANKEF1"
"599","ANKFN1","ANKFN1"
"600","ANKFY1","ANKFY1"
"601","ANKH","ANKH"
"602","ANKHD1","ANKHD1"
"603","ANKIB1","ANKIB1"
"604","ANKK1","ANKK1"
"605","ANKLE1","ANKLE1"
"606","ANKLE2","ANKLE2"
"607","ANKMY1","ANKMY1"
"608","ANKMY2","ANKMY2"
"609","ANKRA2","ANKRA2"
"610","ANKRD1","ANKRD1"
"611","ANKRD11","ANKRD11"
"612","ANKRD12","ANKRD12"
"613","ANKRD13A","ANKRD13A"
"614","ANKRD13B","ANKRD13B"
"615","ANKRD13C","ANKRD13C"
"616","ANKRD13D","ANKRD13D"
"617","ANKRD16","ANKRD16"
"618","ANKRD17","ANKRD17"
"619","ANKRD2","ANKRD2"
"620","ANKRD22","ANKRD22"
"621","ANKRD23","ANKRD23"
"622","ANKRD24","ANKRD24"
"623","ANKRD27","ANKRD27"
"624","ANKRD28","ANKRD28"
"625","ANKRD29","ANKRD29"
"626","ANKRD31","ANKRD31"
"627","ANKRD33","ANKRD33"
"628","ANKRD33B","ANKRD33B"
"629","ANKRD34A","ANKRD34A"
"630","ANKRD34B","ANKRD34B"
"631","ANKRD34C","ANKRD34C"
"632","ANKRD35","ANKRD35"
"633","ANKRD37","ANKRD37"
"634","ANKRD39","ANKRD39"
"635","ANKRD40","ANKRD40"
"636","ANKRD40CL","ANKRD40CL"
"637","ANKRD42","ANKRD42"
"638","ANKRD44","ANKRD44"
"639","ANKRD45","ANKRD45"
"640","ANKRD46","ANKRD46"
"641","ANKRD49","ANKRD49"
"642","ANKRD50","ANKRD50"
"643","ANKRD52","ANKRD52"
"644","ANKRD53","ANKRD53"
"645","ANKRD54","ANKRD54"
"646","ANKRD55","ANKRD55"
"647","ANKRD6","ANKRD6"
"648","ANKRD61","ANKRD61"
"649","ANKRD63","ANKRD63"
"650","ANKRD65","ANKRD65"
"651","ANKRD66","ANKRD66"
"652","ANKS1A","ANKS1A"
"653","ANKS1B","ANKS1B"
"654","ANKS3","ANKS3"
"655","ANKS4B","ANKS4B"
"656","ANKS6","ANKS6"
"657","ANKUB1","ANKUB1"
"658","ANKZF1","ANKZF1"
"659","ANLN","ANLN"
"660","ANO1","ANO1"
"661","ANO10","ANO10"
"662","ANO2","ANO2"
"663","ANO3","ANO3"
"664","ANO4","ANO4"
"665","ANO5","ANO5"
"666","ANO6","ANO6"
"667","ANO8","ANO8"
"668","ANO9","ANO9"
"669","ANOS1","ANOS1"
"670","ANP32E","ANP32E"
"671","ANTXR1","ANTXR1"
"672","ANTXR2","ANTXR2"
"673","ANXA1","ANXA1"
"674","ANXA10","ANXA10"
"675","ANXA11","ANXA11"
"676","ANXA13","ANXA13"
"677","ANXA2","ANXA2"
"678","ANXA3","ANXA3"
"679","ANXA4","ANXA4"
"680","ANXA5","ANXA5"
"681","ANXA6","ANXA6"
"682","ANXA7","ANXA7"
"683","ANXA9","ANXA9"
"684","AOAH","AOAH"
"685","AOC1","AOC1"
"686","AOC2","AOC2"
"687","AOPEP","AOPEP"
"688","AP1AR","AP1AR"
"689","AP1B1","AP1B1"
"690","AP1G1","AP1G1"
"691","AP1G2","AP1G2"
"692","AP1M1","AP1M1"
"693","AP1S1","AP1S1"
"694","AP1S2","AP1S2"
"695","AP2A1","AP2A1"
"696","AP2A2","AP2A2"
"697","AP2B1","AP2B1"
"698","AP2M1","AP2M1"
"699","AP2S1","AP2S1"
"700","AP3B1","AP3B1"
"701","AP3B2","AP3B2"
"702","AP3D1","AP3D1"
"703","AP3M1","AP3M1"
"704","AP3M2","AP3M2"
"705","AP3S1","AP3S1"
"706","AP3S2","AP3S2"
"707","AP4B1","AP4B1"
"708","AP4E1","AP4E1"
"709","AP4M1","AP4M1"
"710","AP4S1","AP4S1"
"711","AP5B1","AP5B1"
"712","AP5M1","AP5M1"
"713","AP5S1","AP5S1"
"714","AP5Z1","AP5Z1"
"715","APAF1","APAF1"
"716","APBA1","APBA1"
"717","APBA2","APBA2"
"718","APBA3","APBA3"
"719","APBB1","APBB1"
"720","APBB1IP","APBB1IP"
"721","APBB2","APBB2"
"722","APBB3","APBB3"
"723","APC","APC"
"724","APC2","APC2"
"725","APCDD1","APCDD1"
"726","APCDD1L","APCDD1L"
"727","APEH","APEH"
"728","APEX1","APEX1"
"729","APEX2","APEX2"
"730","APH1A","APH1A"
"731","APH1B","APH1B"
"732","API5","API5"
"733","APIP","APIP"
"734","APLF","APLF"
"735","APLN","APLN"
"736","APLNR","APLNR"
"737","APLP1","APLP1"
"738","APLP2","APLP2"
"739","APMAP","APMAP"
"740","APOA1","APOA1"
"741","APOA2","APOA2"
"742","APOA4","APOA4"
"743","APOA5","APOA5"
"744","APOB","APOB"
"745","APOBEC1","APOBEC1"
"746","APOBEC4","APOBEC4"
"747","APOBR","APOBR"
"748","APOC3","APOC3"
"749","APOD","APOD"
"750","APOE","APOE"
"751","APOH","APOH"
"752","APOL6","APOL6"
"753","APOLD1","APOLD1"
"754","APOM","APOM"
"755","APOO","APOO"
"756","APOOL","APOOL"
"757","APP","APP"
"758","APPBP2","APPBP2"
"759","APPL1","APPL1"
"760","APPL2","APPL2"
"761","APRT","APRT"
"762","APTX","APTX"
"763","AQP1","AQP1"
"764","AQP10","AQP10"
"765","AQP11","AQP11"
"766","AQP12B","AQP12"
"767","AQP2","AQP2"
"768","AQP3","AQP3"
"769","AQP4","AQP4"
"770","AQP5","AQP5"
"771","AQP6","AQP6"
"772","AQP8","AQP8"
"773","AQP9","AQP9"
"774","AQR","AQR"
"775","AR","AR"
"776","ARAF","ARAF"
"777","ARAP1","ARAP1"
"778","ARAP2","ARAP2"
"779","ARAP3","ARAP3"
"780","ARC","ARC"
"781","ARCN1","ARCN1"
"782","AREG","AREG"
"783","AREL1","AREL1"
"784","ARF1","ARF1"
"785","ARF4","ARF4"
"786","ARF6","ARF6"
"787","ARFGAP1","ARFGAP1"
"788","ARFGAP2","ARFGAP2"
"789","ARFGAP3","ARFGAP3"
"790","ARFGEF1","ARFGEF1"
"791","ARFGEF2","ARFGEF2"
"792","ARFGEF3","ARFGEF3"
"793","ARFIP1","ARFIP1"
"794","ARFIP2","ARFIP2"
"795","ARFRP1","ARFRP1"
"796","ARG1","ARG1"
"797","ARG2","ARG2"
"798","ARGLU1","ARGLU1"
"799","ARHGAP1","ARHGAP1"
"800","ARHGAP10","ARHGAP10"
"801","ARHGAP12","ARHGAP12"
"802","ARHGAP15","ARHGAP15"
"803","ARHGAP17","ARHGAP17"
"804","ARHGAP18","ARHGAP18"
"805","ARHGAP19","ARHGAP19"
"806","ARHGAP20","ARHGAP20"
"807","ARHGAP21","ARHGAP21"
"808","ARHGAP22","ARHGAP22"
"809","ARHGAP23","ARHGAP23"
"810","ARHGAP24","ARHGAP24"
"811","ARHGAP25","ARHGAP25"
"812","ARHGAP26","ARHGAP26"
"813","ARHGAP27","ARHGAP27"
"814","ARHGAP28","ARHGAP28"
"815","ARHGAP29","ARHGAP29"
"816","ARHGAP30","ARHGAP30"
"817","ARHGAP31","ARHGAP31"
"818","ARHGAP32","ARHGAP32"
"819","ARHGAP33","ARHGAP33"
"820","ARHGAP35","ARHGAP35"
"821","ARHGAP36","ARHGAP36"
"822","ARHGAP39","ARHGAP39"
"823","ARHGAP4","ARHGAP4"
"824","ARHGAP40","ARHGAP40"
"825","ARHGAP42","ARHGAP42"
"826","ARHGAP44","ARHGAP44"
"827","ARHGAP45","ARHGAP45"
"828","ARHGAP5","ARHGAP5"
"829","ARHGAP6","ARHGAP6"
"830","ARHGAP8","ARHGAP8"
"831","ARHGAP9","ARHGAP9"
"832","ARHGDIA","ARHGDIA"
"833","ARHGDIB","ARHGDIB"
"834","ARHGDIG","ARHGDIG"
"835","ARHGEF1","ARHGEF1"
"836","ARHGEF10","ARHGEF10"
"837","ARHGEF10L","ARHGEF10L"
"838","ARHGEF11","ARHGEF11"
"839","ARHGEF12","ARHGEF12"
"840","ARHGEF15","ARHGEF15"
"841","ARHGEF16","ARHGEF16"
"842","ARHGEF17","ARHGEF17"
"843","ARHGEF18","ARHGEF18"
"844","ARHGEF19","ARHGEF19"
"845","ARHGEF2","ARHGEF2"
"846","ARHGEF25","ARHGEF25"
"847","ARHGEF26","ARHGEF26"
"848","ARHGEF28","ARHGEF28"
"849","ARHGEF3","ARHGEF3"
"850","ARHGEF33","ARHGEF33"
"851","ARHGEF37","ARHGEF37"
"852","ARHGEF38","ARHGEF38"
