"","human_gene","chicken_gene"
"135","ACSBG2","ACSBG2"
"136","ACSF2","ACSF2"
"137","ACSF3","ACSF3"
"138","ACSL1","ACSL1"
"139","ACSL3","ACSL3"
"140","ACSL4","ACSL4"
"141","ACSL5","ACSL5"
"142","ACSM3","ACSM3"
"143","ACSM5","ACSM5"
"144","ACSS1","ACSS1A"
"145","ACSS2","ACSS2"
"146","ACSS3","ACSS3"
"147","ACTA2","ACTA2"
"148","ACTB","ACTB"
"149","ACTC1","ACTC1"
"150","ACTG1","ACTG1"
"151","ACTG2","ACTG2"
"152","ACTL6A","ACTL6A"
"153","ACTL9","ACTL9"
"154","ACTN1","ACTN1"
"155","ACTN2","ACTN2"
"156","ACTN4","ACTN4"
"157","ACTR10","ACTR10"
"158","ACTR1A","ACTR1A"
"159","ACTR2","ACTR2"
"160","ACTR3","ACTR3"
"161","ACTR5","ACTR5"
"162","ACTR6","ACTR6"
"163","ACTR8","ACTR8"
"164","ACVR1B","ACVR1B"
"165","ACVR1C","ACVR1C"
"166","ACVR2A","ACVR2A"
"167","ACVR2B","ACVR2B"
"168","ACY1","ACY1"
"169","ACYP2","ACYP2"
"170","ADA","ADA"
"171","ADAD1","ADAD1"
"172","ADAL","ADAL"
"173","ADAM10","ADAM10"
"174","ADAM11","ADAM11"
"175","ADAM12","ADAM12"
"176","ADAM17","ADAM17"
"177","ADAM19","ADAM19"
"178","ADAM20","ADAM20"
"179","ADAM22","ADAM22"
"180","ADAM23","ADAM23"
"181","ADAM28","ADAM28"
"182","ADAM33","ADAM33"
"183","ADAM8","ADAM8"
"184","ADAM9","ADAM9"
"185","ADAMTS1","ADAMTS1"
"186","ADAMTS10","ADAMTS10"
"187","ADAMTS12","ADAMTS12"
"188","ADAMTS13","ADAMTS13"
"189","ADAMTS14","ADAMTS14"
"190","ADAMTS15","ADAMTS15"
"191","ADAMTS17","ADAMTS17"
"192","ADAMTS18","ADAMTS18"
"193","ADAMTS19","ADAMTS19"
"194","ADAMTS2","ADAMTS2"
"195","ADAMTS20","ADAMTS20"
"196","ADAMTS3","ADAMTS3"
"197","ADAMTS4","ADAMTS4"
"198","ADAMTS5","ADAMTS5"
"199","ADAMTS6","ADAMTS6"
"200","ADAMTS7","ADAMTS7"
"201","ADAMTS8","ADAMTS8"
"202","ADAMTS9","ADAMTS9"
"203","ADAMTSL1","ADAMTSL1"
"204","ADAMTSL2","ADAMTSL2"
"205","ADAMTSL3","ADAMTSL3"
"206","ADAMTSL5","ADAMTSL5"
"207","ADAP1","ADAP1"
"208","ADAP2","ADAP2"
"209","ADAR","ADAR"
"210","ADARB1","ADARB1"
"211","ADARB2","ADARB2"
"212","ADAT1","ADAT1"
"213","ADAT2","ADAT2"
"214","ADCK1","ADCK1"
"215","ADCK2","ADCK2"
"216","ADCY1","ADCY1"
"217","ADCY2","ADCY2"
"218","ADCY3","ADCY3"
"219","ADCY5","ADCY6"
"220","ADCY7","ADCY7"
"221","ADCY8","ADCY8"
"222","ADCY9","ADCY9"
"223","ADCYAP1","ADCYAP1"
"224","ADCYAP1R1","ADCYAP1R1"
"225","ADD1","ADD1"
"226","ADD2","ADD2"
"227","ADD3","ADD3"
"228","ADGB","ADGB"
"229","ADGRA1","ADGRA1"
"230","ADGRA2","ADGRA2"
"231","ADGRA3","ADGRA3"
"232","ADGRB1","ADGRB1"
"233","ADGRB2","ADGRB2"
"234","ADGRB3","ADGRB3"
"235","ADGRD1","ADGRD1"
"236","ADGRD2","ADGRD2"
"237","ADGRF5","ADGRF5"
"238","ADGRG1","ADGRG1"
"239","ADGRG2","ADGRG2"
"240","ADGRG3","ADGRG3"
"241","ADGRG5","ADGRG5"
"242","ADGRG6","ADGRG6"
"243","ADGRG7","ADGRG7"
"244","ADGRL2","ADGRL2"
"245","ADGRL3","ADGRL3"
"246","ADGRL4","ADGRL4"
"247","ADGRV1","ADGRV1"
"248","ADH6","ADH1C"
"249","ADHFE1","ADHFE1"
"250","ADI1","ADI1"
"251","ADIPOQ","ADIPOQ"
"252","ADIPOR1","ADIPOR1"
"253","ADIPOR2","ADIPOR2"
"254","ADK","ADK"
"255","ADM","ADM"
"256","ADM2","ADM2"
"257","ADNP","ADNP"
"258","ADNP2","ADNP2"
"259","ADO","ADO"
"260","ADORA1","ADORA1"
"261","ADORA2A","ADORA2A"
"262","ADORA2B","ADORA2B"
"263","ADORA3","ADORA3"
"264","ADPGK","ADPGK"
"265","ADPRH","ADPRH"
"266","ADPRS","ADPRHL2"
"267","ADPRM","ADPRM"
"268","ADRA1A","ADRA1A"
"269","ADRA1B","ADRA1B"
"270","ADRA1D","ADRA1D"
"271","ADRA2A","ADRA2A"
"272","ADRA2B","ADRA2B"
"273","ADRA2C","ADRA2C"
"274","ADRB1","ADRB1"
"275","ADRB2","ADRB2"
"276","ADRB3","ADRB3"
"277","ADRM1","ADRM1"
"278","ADSL","ADSL"
"279","ADSS1","ADSS1"
"280","ADSS2","ADSS2"
"281","ADTRP","ADTRP"
"282","AEBP1","AEBP1"
"283","AEBP2","AEBP2"
"284","AFAP1","AFAP1"
"285","AFAP1L1","AFAP1L1"
"286","AFAP1L2","AFAP1L2"
"287","AFDN","AFDN"
"288","AFF2","AFF2"
"289","AFF3","AFF3"
"290","AFF4","AFF4"
"291","AFG1L","AFG1L"
"292","AFG2A","AFG2A"
"293","AFG2B","AFG2B"
"294","AFG3L2","AFG3L2"
"295","AFMID","AFMID"
"296","AFP","AFP"
"297","AFTPH","AFTPH"
"298","AGA","AGA"
"299","AGAP1","AGAP1"
"300","AGAP3","AGAP3"
"301","AGBL1","AGBL1"
"302","AGBL2","AGBL2"
"303","AGBL4","AGBL4"
"304","AGBL5","AGBL5"
"305","AGFG1","AGFG1"
"306","AGGF1","AGGF1"
"307","AGK","AGK"
"308","AGL","AGL"
"309","AGMAT","AGMAT"
"310","AGMO","AGMO"
"311","AGO1","AGO1"
"312","AGO2","AGO2"
"313","AGO3","AGO3"
"314","AGO4","AGO4"
"315","AGPAT2","AGPAT2"
"316","AGPAT3","AGPAT3"
"317","AGPAT4","AGPAT4"
"318","AGPAT5","AGPAT5"
"319","AGPS","AGPS"
"320","AGR2","AGR2"
"321","AGR3","AGR3"
"322","AGRN","AGRN"
"323","AGT","AGT"
"324","AGTPBP1","AGTPBP1"
"325","AGTR1","AGTR1"
"326","AGTR2","AGTR2"
"327","AGTRAP","AGTRAP"
"328","AGXT","AGXT"
"329","AGXT2","AGXT2"
"330","AHCTF1","AHCTF1"
"331","AHCY","AHCY"
"332","AHCYL1","AHCYL1"
"333","AHCYL2","AHCYL2"
"334","AHDC1","AHDC1"
"335","AHI1","AHI1"
"336","AHR","AHR1A"
"337","AHRR","AHRR"
"338","AHSA1","AHSA1"
"339","AHSG","AHSG"
"340","AICDA","AICDA"
"341","AIDA","AIDA"
"342","AIF1L","AIF1L"
"343","AIFM1","AIFM1"
"344","AIFM2","AIFM2"
"345","AIFM3","AIFM3"
"346","AIG1","AIG1"
"347","AIMP1","AIMP1"
"348","AIP","AIP"
"349","AIRIM","AIRIM"
"350","AJAP1","AJAP1"
"351","AK1","AK1"
"352","AK2","AK2"
"353","AK3","AK3"
"354","AK5","AK5"
"355","AK6","AK6"
"356","AK7","AK7"
"357","AK9","AK9"
"358","AKAIN1","AKAIN1"
"359","AKAP1","AKAP1"
"360","AKAP10","AKAP10"
"361","AKAP11","AKAP11"
"362","AKAP12","AKAP12"
"363","AKAP13","AKAP13"
"364","AKAP14","AKAP14"
"365","AKAP17A","AKAP17A"
"366","AKAP6","AKAP6"
"367","AKAP7","AKAP7"
"368","AKAP8","AKAP8"
"369","AKAP8L","AKAP8L"
"370","AKAP9","AKAP9"
"371","AKIP1","AKIP1"
"372","AKIRIN2","AKIRIN2"
"373","AKNA","AKNA"
"374","AKR1A1","AKR1A1"
"375","AKR1B1","AKR1B1"
"376","AKR1B10","AKR1B10"
"377","AKR1D1","AKR1D1"
"378","AKR1B1","AKR1E2"
"379","AKR7L","AKR7L"
"380","AKT1","AKT1"
"381","AKT2","AKT2"
"382","AKT3","AKT3"
"383","AKTIP","AKTIP"
"384","ALAD","ALAD"
"385","ALAS1","ALAS1"
"386","ALB","ALB"
"387","ALCAM","ALCAM"
"388","ALDH18A1","ALDH18A1"
"389","ALDH1A1","ALDH1A1"
"390","ALDH1A2","ALDH1A2"
"391","ALDH1A3","ALDH1A3"
"392","ALDH1L2","ALDH1L2"
"393","ALDH2","ALDH2"
"394","ALDH3A2","ALDH3A2"
"395","ALDH4A1","ALDH4A1"
"396","ALDH5A1","ALDH5A1"
"397","ALDH6A1","ALDH6A1"
"398","ALDH7A1","ALDH7A1"
"399","ALDH8A1","ALDH8A1"
"400","ALDH9A1","ALDH9A1"
"401","ALDOB","ALDOB"
"402","ALDOC","ALDOC"
"403","ALG10","ALG10"
"404","ALG11","ALG11"
"405","ALG12","ALG12"
"406","ALG13","ALG13"
"407","ALG14","ALG14"
"408","ALG2","ALG2"
"409","ALG5","ALG5"
"410","ALG6","ALG6"
"411","ALG8","ALG8"
"412","ALG9","ALG9"
"413","ALK","ALK"
"414","ALKAL1","ALKAL1"
"415","ALKBH1","ALKBH1"
"416","ALKBH2","ALKBH2"
"417","ALKBH3","ALKBH3"
"418","ALKBH4","ALKBH4"
"419","ALKBH5","ALKBH5"
"420","ALKBH8","ALKBH8"
"421","ALOX15","ALOX15B"
"422","ALOX5","ALOX5"
"423","ALOX5AP","ALOX5AP"
"424","ALPK1","ALPK1"
"425","ALPK2","ALPK2"
"426","ALPK3","ALPK3"
"427","ALPL","ALPL"
"428","ALS2","ALS2"
"429","ALS2CL","ALS2CL"
"430","ALX1","ALX1"
"431","ALX3","ALX3"
"432","ALX4","ALX4"
"433","ALYREF","ALYREF"
"434","AMACR","AMACR"
"435","AMBP","AMBP"
"436","AMBRA1","AMBRA1"
"437","AMD1","AMD1"
"438","AMDHD1","AMDHD1"
"439","AMDHD2","AMDHD2"
"440","AMER1","AMER1"
"441","AMER2","AMER2"
"442","AMER3","AMER3"
"443","AMFR","AMFR"
"444","AMH","AMH"
"445","AMHR2","AMHR2"
"446","AMIGO2","AMIGO2"
"447","AMIGO3","AMIGO3"
"448","AMMECR1","AMMECR1"
"449","AMMECR1L","AMMECR1L"
"450","AMN","AMN"
"451","AMN1","AMN1"
"452","AMOT","AMOT"
"453","AMOTL1","AMOTL1"
"454","AMOTL2","AMOTL2"
"455","AMPD1","AMPD1"
"456","AMPD2","AMPD2"
"457","AMPD3","AMPD3"
"458","AMPH","AMPH"
"459","AMT","AMT"
"460","AMY2A","AMY1A"
"461","AMY2A","AMY2A"
"462","AMZ1","AMZ1"
"463","ANAPC1","ANAPC1"
"464","ANAPC10","ANAPC10"
"465","NPB","ANAPC11"
"466","ANAPC16","ANAPC16"
"467","ANAPC2","ANAPC2"
"468","ANAPC4","ANAPC4"
"469","ANAPC5","ANAPC5"
"470","ANAPC7","ANAPC7"
"471","ANGEL1","ANGEL1"
"472","ANGEL2","ANGEL2"
"473","ANGPT1","ANGPT1"
"474","ANGPT2","ANGPT2"
"475","ANGPT4","ANGPT4"
"476","ANGPTL1","ANGPTL1"
"477","ANGPTL2","ANGPTL2"
"478","ANGPTL3","ANGPTL3"
"479","ANGPTL4","ANGPTL4"
"480","ANGPTL5","ANGPTL5"
"481","ANGPTL7","ANGPTL7"
"482","ANK1","ANK1"
"483","ANK2","ANK2"
"484","ANK3","ANK3"
"485","ANKDD1A","ANKDD1A"
"486","ANKDD1B","ANKDD1B"
"487","ANKEF1","ANKEF1"
"488","ANKFN1","ANKFN1"
"489","ANKFY1","ANKFY1"
"490","ANKH","ANKH"
"491","ANKIB1","ANKIB1"
"492","ANKK1","ANKK1"
"493","ANKLE1","ANKLE1"
"494","ANKLE2","ANKLE2"
"495","ANKMY1","ANKMY1"
"496","ANKMY2","ANKMY2"
"497","ANKRA2","ANKRA2"
"498","ANKRD1","ANKRD1"
"499","ANKRD10","ANKRD10"
"500","ANKRD11","ANKRD11"
"501","ANKRD12","ANKRD12"
"502","ANKRD13A","ANKRD13A"
"503","ANKRD13B","ANKRD13B"
"504","ANKRD13C","ANKRD13C"
"505","ANKRD13D","ANKRD13D"
"506","ANKRD16","ANKRD16"
"507","ANKRD17","ANKRD17"
"508","ANKRD2","ANKRD2"
"509","ANKRD22","ANKRD22"
"510","ANKRD24","ANKRD24"
"511","ANKRD26","ANKRD26"
"512","ANKRD27","ANKRD27"
"513","ANKRD28","ANKRD28"
"514","ANKRD29","ANKRD29"
"515","ANKRD33B","ANKRD33B"
"516","ANKRD34B","ANKRD34B"
"517","ANKRD39","ANKRD39"
"518","ANKRD40","ANKRD40"
"519","ANKRD42","ANKRD42"
"520","ANKRD44","ANKRD44"
"521","ANKRD46","ANKRD46"
"522","ANKRD49","ANKRD49"
"523","ANKRD50","ANKRD50"
"524","ANKRD52","ANKRD52"
"525","ANKRD54","ANKRD54"
"526","ANKRD55","ANKRD55"
"527","ANKRD6","ANKRD6"
"528","ANKRD61","ANKRD61"
"529","ANKRD66","ANKRD66"
"530","ANKRD9","ANKRD9"
"531","ANKS1A","ANKS1A"
"532","ANKS3","ANKS3"
"533","ANKS4B","ANKS4B"
"534","ANKS6","ANKS6"
"535","ANKZF1","ANKZF1"
"536","ANLN","ANLN"
"537","ANO1","ANO1"
"538","ANO10","ANO10"
"539","ANO3","ANO3"
"540","ANO4","ANO4"
"541","ANO5","ANO5"
"542","ANO6","ANO6"
"543","ANO8","ANO8"
"544","ANO9","ANO9"
"545","ANOS1","ANOS1"
"546","ANP32A","ANP32A"
"547","ANP32E","ANP32E"
"548","ANPEP","ANPEP"
"549","ANTXR1","ANTXR1"
"550","ANTXR2","ANTXR2"
"551","ANXA1","ANXA1"
"552","ANXA10","ANXA10"
"553","ANXA11","ANXA11"
"554","ANXA13","ANXA13"
"555","ANXA2","ANXA2"
"556","ANXA5","ANXA5"
"557","ANXA6","ANXA6"
"558","ANXA7","ANXA7"
"559","AOAH","AOAH"
"560","AOC1","AOC1"
"561","AOC3","AOC3"
"562","AOX1","AOX1"
"563","AP1AR","AP1AR"
"564","AP1B1","AP1B1"
"565","AP1G1","AP1G1"
"566","AP1M1","AP1M1"
"567","AP1S1","AP1S1"
"568","AP1S2","AP1S2"
"569","AP1S3","AP1S3"
"570","AP2A2","AP2A2"
"571","AP2B1","AP2B1"
"572","AP2M1","AP2M1"
"573","AP2S1","AP2S1"
"574","AP3B1","AP3B1"
"575","AP3B2","AP3B2"
"576","AP3D1","AP3D1"
"577","AP3M1","AP3M1"
"578","AP3M2","AP3M2"
"579","AP3S1","AP3S1"
"580","AP3S2","AP3S2"
"581","AP4B1","AP4B1"
"582","AP4E1","AP4E1"
"583","AP4M1","AP4M1"
"584","AP4S1","AP4S1"
"585","AP5M1","AP5M1"
"586","AP5Z1","AP5Z1"
"587","APAF1","APAF1"
"588","APBA1","APBA1"
"589","APBA2","APBA2"
"590","APBA3","APBA3"
"591","APBB1","APBB1"
"592","APBB1IP","APBB1IP"
"593","APBB2","APBB2"
"594","APC","APC"
"595","APC2","APC2"
"596","APCDD1","APCDD1"
"597","APCDD1L","APCDD1L"
"598","APEH","APEH"
"599","APH1A","APH1A"
"600","API5","API5"
"601","APIP","APIP"
"602","APLF","APLF"
"603","APLN","APLN"
"604","APLNR","APLNR"
"605","APLP2","APLP2"
"606","APMAP","APMAP"
"607","APOA1","APOA1"
"608","APOA4","APOA4"
"609","APOA5","APOA5"
"610","APOB","APOB"
"611","APOBEC2","APOBEC2"
"612","APOBEC4","APOBEC4"
"613","APOD","APOD"
"614","APOH","APOH"
"615","APOLD1","APOLD1"
"616","APOO","APOO"
"617","APOOL","APOOL"
"618","APP","APP"
"619","APPBP2","APPBP2"
"620","APPL1","APPL1"
"621","APPL2","APPL2"
"622","APRT","APRT"
"623","APTX","APTX"
"624","AQP1","AQP1"
"625","AQP10","AQP10"
"626","AQP11","AQP11"
"627","AQP12B","AQP12A"
"628","AQP2","AQP2"
"629","AQP3","AQP3"
"630","AQP4","AQP4"
"631","AQP5","AQP5"
"632","AQP8","AQP8"
"633","AQP9","AQP9"
"634","AQR","AQR"
"635","AR","AR"
"636","ARAP2","ARAP2"
"637","ARAP3","ARAP3"
"638","ARC","ARC"
"639","ARCN1","ARCN1"
"640","AREG","AREG"
"641","AREL1","AREL1"
"642","ARF1","ARF1"
"643","ARF3","ARF3"
"644","ARF4","ARF4"
"645","ARF6","ARF6"
"646","ARFGAP1","ARFGAP1"
"647","ARFGAP2","ARFGAP2"
"648","ARFGAP3","ARFGAP3"
"649","ARFGEF1","ARFGEF1"
"650","ARFGEF2","ARFGEF2"
"651","ARFGEF3","ARFGEF3"
"652","ARFIP1","ARFIP1"
"653","ARFIP2","ARFIP2"
"654","ARFRP1","ARFRP1"
"655","ARG2","ARG2"
"656","ARGLU1","ARGLU1"
"657","ARHGAP1","ARHGAP1"
"658","ARHGAP10","ARHGAP10"
"659","ARHGAP11A","ARHGAP11B"
"660","ARHGAP12","ARHGAP12"
"661","ARHGAP15","ARHGAP15"
"662","ARHGAP17","ARHGAP17"
"663","ARHGAP18","ARHGAP18"
"664","ARHGAP19","ARHGAP19"
"665","ARHGAP20","ARHGAP20"
"666","ARHGAP21","ARHGAP21"
"667","ARHGAP22","ARHGAP22"
"668","ARHGAP24","ARHGAP24"
"669","ARHGAP25","ARHGAP25"
"670","ARHGAP26","ARHGAP26"
"671","ARHGAP27","ARHGAP27"
"672","ARHGAP28","ARHGAP28"
"673","ARHGAP29","ARHGAP29"
"674","ARHGAP30","ARHGAP30"
"675","ARHGAP31","ARHGAP31"
"676","ARHGAP32","ARHGAP32"
"677","ARHGAP35","ARHGAP35"
"678","ARHGAP39","ARHGAP39"
"679","ARHGAP40","ARHGAP40"
"680","ARHGAP42","ARHGAP42"
"681","ARHGAP44","ARHGAP44"
"682","ARHGAP45","ARHGAP45"
"683","ARHGAP5","ARHGAP5"
"684","ARHGAP6","ARHGAP6"
"685","ARHGAP8","ARHGAP8"
"686","ARHGDIA","ARHGDIA"
"687","ARHGDIB","ARHGDIB"
"688","ARHGDIG","ARHGDIG"
"689","ARHGEF10","ARHGEF10"
"690","ARHGEF10L","ARHGEF10L"
"691","ARHGEF11","ARHGEF11"
"692","ARHGEF12","ARHGEF12"
"693","ARHGEF16","ARHGEF16"
"694","ARHGEF18","ARHGEF18"
"695","ARHGEF2","ARHGEF2"
"696","ARHGEF26","ARHGEF26"
"697","ARHGEF28","ARHGEF28"
"698","ARHGEF3","ARHGEF3"
"699","ARHGEF33","ARHGEF33"
"700","ARHGEF37","ARHGEF37"
"701","ARHGEF38","ARHGEF38"
"702","ARHGEF39","ARHGEF39"
"703","ARHGEF6","ARHGEF6"
"704","ARHGEF7","ARHGEF7"
"705","ARHGEF9","ARHGEF9"
"706","ARID1A","ARID1A"
"707","ARID1B","ARID1B"
"708","ARID2","ARID2"
"709","ARID3A","ARID3A"
"710","ARID3B","ARID3B"
"711","ARID3C","ARID3C"
"712","ARID4A","ARID4A"
"713","ARID4B","ARID4B"
"714","ARID5A","ARID5A"
"715","ARID5B","ARID5B"
"716","ARIH1","ARIH1"
"717","ARIH2","ARIH2"
"718","ARL1","ARL1"
"719","ARL10","ARL10"
"720","ARL11","ARL11"
"721","ARL13B","ARL13B"
"722","ARL14","ARL14"
"723","ARL14EP","ARL14EP"
"724","ARL14EPL","ARL14EPL"
"725","ARL15","ARL15"
"726","ARL16","ARL16"
"727","ARL2BP","ARL2BP"
"728","ARL3","ARL3"
"729","ARL4A","ARL4A"
"730","ARL4C","ARL4C"
"731","ARL5A","ARL5A"
"732","ARL5B","ARL5B"
"733","CRYBG3","ARL6"
"734","ARL6IP1","ARL6IP1"
"735","ARL6IP4","ARL6IP4"
"736","ARL6IP5","ARL6IP5"
"737","ARL8A","ARL8A"
"738","ARL8B","ARL8B"
"739","ARL9","ARL9"
"740","ARMC1","ARMC1"
"741","ARMC10","ARMC10"
"742","ARMC2","ARMC2"
"743","ARMC3","ARMC3"
"744","ARMC6","ARMC6"
"745","ARMC8","ARMC8"
"746","ARMC9","ARMC9"
"747","ARMH1","ARMH1"
"748","ARMH4","ARMH4"
"749","ARMT1","ARMT1"
"750","ARNT","ARNT"
"751","ARNT2","ARNT2"
"752","BMAL1","ARNTL"
"753","BMAL2","ARNTL2"
"754","ARPC1A","ARPC1A"
"755","ARPC1B","ARPC1B"
"756","ARPC2","ARPC2"
"757","ARPC3","ARPC3"
"758","ARPC4","ARPC4"
"759","ARPC5","ARPC5"
"760","ARPC5L","ARPC5L"
"761","ARPP19","ARPP19"
"762","ARPP21","ARPP21"
"763","ARR3","ARR3"
"764","ARRB1","ARRB1"
"765","ARRDC1","ARRDC1"
"766","ARRDC2","ARRDC2"
"767","ARRDC3","ARRDC3"
"768","ARRDC4","ARRDC4"
"769","ARSA","ARSA"
"770","ARSB","ARSB"
"771","ARSD","ARSD"
"772","ARSG","ARSG"
"773","ARSD","ARSH"
"774","ARSI","ARSI"
"775","ARSJ","ARSJ"
"776","ARSK","ARSK"
"777","ART1","ART1L2"
"778","ART1","ART1L3"
"779","ART4","ART4"
"780","ART5","ART5"
"781","ART1","ART7B"
"782","ART1","ART7C"
"783","ARTN","ARTN"
"784","ARV1","ARV1"
"785","ARVCF","ARVCF"
"786","ARX","ARX"
"787","AS3MT","AS3MT"
"788","ASAH1","ASAH1"
"789","ASAP1","ASAP1"
"790","ASAP2","ASAP2"
"791","ASAP3","ASAP3"
"792","ASB1","ASB1"
"793","ASB10","ASB10"
"794","ASB11","ASB11"
"795","ASB12","ASB12"
"796","ASB13","ASB13"
"797","ASB14","ASB14"
"798","ASB15","ASB15"
"799","ASB18","ASB18"
"800","ASB2","ASB2"
"801","ASB3","ASB3"
"802","ASB4","ASB4"
"803","ASB5","ASB5"
"804","ASB6","ASB6"
"805","ASB7","ASB7"
"806","ASB8","ASB8"
"807","ASB9","ASB9"
"808","ASCC1","ASCC1"
"809","ASCC2","ASCC2"
"810","ASCC3","ASCC3"
"811","ASCL1","ASCL1"
"812","ASCL2","ASCL2"
"813","ASCL4","ASCL4"
"814","ASF1A","ASF1A"
"815","ASH1L","ASH1L"
"816","ASH2L","ASH2L"
"817","ASIC1","ASIC1"
"818","ASIC2","ASIC2"
"819","ASIC4","ASIC4"
"820","ASIC5","ASIC5"
"821","ASIP","ASIP"
"822","ASL","ASL1"
"823","ASMT","ASMT"
"824","ASMTL","ASMTL"
"825","ASNS","ASNS"
"826","ASNSD1","ASNSD1"
"827","ASPA","ASPA"
"828","ASPG","ASPG"
"829","ASPH","ASPH"
"830","ASPHD2","ASPHD1"
"831","ASPM","ASPM"
"832","ASPSCR1","ASPSCR1"
"833","ASRGL1","ASRGL1"
"834","ASS1","ASS1"
"835","ASTE1","ASTE1"
"836","ASTN1","ASTN1"
"837","ASTN2","ASTN2"
"838","ASXL1","ASXL1"
"839","ASXL2","ASXL2"
"840","ASXL3","ASXL3"
"841","ASZ1","ASZ1"
"842","ATAD1","ATAD1"
"843","ATAD2","ATAD2"
"844","ATAD2B","ATAD2B"
"845","ATAD3A","ATAD3A"
"846","ATAD5","ATAD5"
"847","ATCAY","ATCAY"
"848","ATE1","ATE1"
"849","ATF1","ATF1"
"850","ATF2","ATF2"
"851","ATF3","ATF3"
"852","ATF4","ATF4"
"853","ATF6","ATF6"
"854","ATF7","ATF7"
"855","ATF7IP","ATF7IP"
"856","ATG10","ATG10"
"857","ATG101","ATG101"
"858","ATG12","ATG12"
"859","ATG13","ATG13"
"860","ATG14","ATG14"
