"","human_gene","macaque_gene"
"299","ADGRA2","ADGRA2"
"300","ADGRA3","ADGRA3"
"301","ADGRB1","ADGRB1"
"302","ADGRB2","ADGRB2"
"303","ADGRB3","ADGRB3"
"304","ADGRD1","ADGRD1"
"305","ADGRD2","ADGRD2"
"306","ADGRE1","ADGRE1"
"307","ADGRE2","ADGRE2"
"308","ADGRE5","ADGRE5"
"309","ADGRF1","ADGRF1"
"310","ADGRF3","ADGRF3"
"311","ADGRF4","ADGRF4"
"312","ADGRF5","ADGRF5"
"313","ADGRG1","ADGRG1"
"314","ADGRG2","ADGRG2"
"315","ADGRG3","ADGRG3"
"316","ADGRG4","ADGRG4"
"317","ADGRG5","ADGRG5"
"318","ADGRG6","ADGRG6"
"319","ADGRG7","ADGRG7"
"320","ADGRL1","ADGRL1"
"321","ADGRL2","ADGRL2"
"322","ADGRL3","ADGRL3"
"323","ADGRL4","ADGRL4"
"324","ADGRV1","ADGRV1"
"325","ADH1A","ADH1A"
"326","ADH1B","ADH1B"
"327","ADH4","ADH4"
"328","ADH5","ADH5"
"329","ADH6","ADH6"
"330","ADHFE1","ADHFE1"
"331","ADI1","ADI1"
"332","ADIG","ADIG"
"333","ADIPOQ","ADIPOQ"
"334","ADIPOR1","ADIPOR1"
"335","ADIPOR2","ADIPOR2"
"336","ADIRF","ADIRF"
"337","ADISSP","ADISSP"
"338","ADK","ADK"
"339","ADM","ADM"
"340","ADM2","ADM2"
"341","ADM5","ADM5"
"342","ADNP","ADNP"
"343","ADNP2","ADNP2"
"344","ADO","ADO"
"345","ADORA1","ADORA1"
"346","ADORA2B","ADORA2B"
"347","ADPGK","ADPGK"
"348","ADPRH","ADPRH"
"349","ADPRM","ADPRM"
"350","ADPRS","ADPRS"
"351","ADRA1A","ADRA1A"
"352","ADRA1B","ADRA1B"
"353","ADRA1D","ADRA1D"
"354","ADRA2A","ADRA2A"
"355","ADRA2B","ADRA2B"
"356","ADRA2C","ADRA2C"
"357","ADRB1","ADRB1"
"358","ADRB2","ADRB2"
"359","ADRB3","ADRB3"
"360","ADSL","ADSL"
"361","ADSS1","ADSS1"
"362","ADSS2","ADSS2"
"363","ADTRP","ADTRP"
"364","AEBP2","AEBP2"
"365","AEN","AEN"
"366","AFAP1","AFAP1"
"367","AFAP1L1","AFAP1L1"
"368","AFAP1L2","AFAP1L2"
"369","AFDN","AFDN"
"370","AFF1","AFF1"
"371","AFF2","AFF2"
"372","AFF3","AFF3"
"373","AFF4","AFF4"
"374","AFG1L","AFG1L"
"375","AFG2A","AFG2A"
"376","AFG2B","AFG2B"
"377","AFG3L2","AFG3L2"
"378","AFM","AFM"
"379","AFMID","AFMID"
"380","AFP","AFP"
"381","AFTPH","AFTPH"
"382","AGA","AGA"
"383","AGAP1","AGAP1"
"384","AGAP2","AGAP2"
"385","AGAP3","AGAP3"
"386","AGBL1","AGBL1"
"387","AGBL2","AGBL2"
"388","AGBL3","AGBL3"
"389","AGBL5","AGBL5"
"390","AGER","AGER"
"391","AGFG1","AGFG1"
"392","AGFG2","AGFG2"
"393","PDE8B","AGGF1"
"394","AGK","AGK"
"395","AGL","AGL"
"396","AGMAT","AGMAT"
"397","AGMO","AGMO"
"398","AGO1","AGO1"
"399","AGO2","AGO2"
"400","AGO3","AGO3"
"401","AGO4","AGO4"
"402","AGPAT1","AGPAT1"
"403","AGPAT2","AGPAT2"
"404","AGPAT3","AGPAT3"
"405","AGPAT4","AGPAT4"
"406","AGPAT5","AGPAT5"
"407","AGPS","AGPS"
"408","AGR2","AGR2"
"409","AGR3","AGR3"
"410","AGRN","AGRN"
"411","AGRP","AGRP"
"412","AGT","AGT"
"413","AGTPBP1","AGTPBP1"
"414","AGTR1","AGTR1"
"415","AGTR2","AGTR2"
"416","AGTRAP","AGTRAP"
"417","AGXT","AGXT"
"418","AGXT2","AGXT2"
"419","AHCTF1","AHCTF1"
"420","AHCY","AHCY"
"421","AHCYL1","AHCYL1"
"422","AHCYL2","AHCYL2"
"423","AHDC1","AHDC1"
"424","AHI1","AHI1"
"425","AHNAK","AHNAK"
"426","AHNAK2","AHNAK2"
"427","AHR","AHR"
"428","AHRR","AHRR"
"429","AHSA1","AHSA1"
"430","AHSG","AHSG"
"431","AHSP","AHSP"
"432","AICDA","AICDA"
"433","AIDA","AIDA"
"434","AIF1","AIF1"
"435","AIF1L","AIF1L"
"436","AIFM1","AIFM1"
"437","AIFM2","AIFM2"
"438","AIFM3","AIFM3"
"439","AIG1","AIG1"
"440","AIM2","AIM2"
"441","AIMP1","AIMP1"
"442","AIMP2","AIMP2"
"443","AIP","AIP"
"444","AIPL1","AIPL1"
"445","AIRE","AIRE"
"446","AIRIM","AIRIM"
"447","AJAP1","AJAP1"
"448","AJM1","AJM1"
"449","AJUBA","AJUBA"
"450","AK1","AK1"
"451","AK2","AK2"
"452","AK3","AK3"
"453","AK5","AK5"
"454","AK7","AK7"
"455","AK8","AK8"
"456","AK9","AK9"
"457","AKAIN1","AKAIN1"
"458","AKAP1","AKAP1"
"459","AKAP10","AKAP10"
"460","AKAP11","AKAP11"
"461","AKAP12","AKAP12"
"462","AKAP13","AKAP13"
"463","AKAP14","AKAP14"
"464","AKAP17A","AKAP17A"
"465","AKAP3","AKAP3"
"466","AKAP4","AKAP4"
"467","AKAP5","AKAP5"
"468","AKAP6","AKAP6"
"469","AKAP7","AKAP7"
"470","AKAP8","AKAP8"
"471","AKAP8L","AKAP8L"
"472","AKAP9","AKAP9"
"473","AKIP1","AKIP1"
"474","AKIRIN1","AKIRIN1"
"475","AKIRIN2","AKIRIN2"
"476","AKNA","AKNA"
"477","AKNAD1","AKNAD1"
"478","AKR1A1","AKR1A1"
"479","AKR1B1","AKR1B1"
"480","AKR1B10","AKR1B10"
"481","AKR1C3","AKR1C1"
"482","AKR1C1","AKR1C2"
"483","AKR1C8","AKR1C8"
"484","AKR1D1","AKR1D1"
"485","AKR1E2","AKR1E2"
"486","AKR7A2","AKR7A2"
"487","AKR7A3","AKR7A3"
"488","AKT1","AKT1"
"489","AKT1S1","AKT1S1"
"490","AKT2","AKT2"
"491","AKT3","AKT3"
"492","AKTIP","AKTIP"
"493","ALAD","ALAD"
"494","ALAS1","ALAS1"
"495","ALAS2","ALAS2"
"496","ALB","ALB"
"497","ALCAM","ALCAM"
"498","ALDH16A1","ALDH16A1"
"499","ALDH18A1","ALDH18A1"
"500","ALDH1A1","ALDH1A1"
"501","ALDH1A2","ALDH1A2"
"502","ALDH1A3","ALDH1A3"
"503","ALDH1B1","ALDH1B1"
"504","ALDH1L1","ALDH1L1"
"505","ALDH1L2","ALDH1L2"
"506","ALDH3A1","ALDH3A1"
"507","ALDH3A2","ALDH3A2"
"508","ALDH3B2","ALDH3B2"
"509","ALDH4A1","ALDH4A1"
"510","ALDH5A1","ALDH5A1"
"511","ALDH6A1","ALDH6A1"
"512","ALDH7A1","ALDH7A1"
"513","ALDH9A1","ALDH9A1"
"514","ALDOA","ALDOA"
"515","ALDOB","ALDOB"
"516","ALDOC","ALDOC"
"517","ALG1","ALG1"
"518","ALG11","ALG11"
"519","ALG12","ALG12"
"520","ALG13","ALG13"
"521","ALG2","ALG2"
"522","ALG3","ALG3"
"523","ALG5","ALG5"
"524","ALG6","ALG6"
"525","ALG8","ALG8"
"526","ALG9","ALG9"
"527","ALK","ALK"
"528","ALKAL1","ALKAL1"
"529","ALKAL2","ALKAL2"
"530","ALKBH1","ALKBH1"
"531","ALKBH2","ALKBH2"
"532","ALKBH3","ALKBH3"
"533","ALKBH4","ALKBH4"
"534","ALKBH5","ALKBH5"
"535","ALKBH6","ALKBH6"
"536","ALKBH7","ALKBH7"
"537","ALKBH8","ALKBH8"
"538","ALLC","ALLC"
"539","ALMS1","ALMS1"
"540","ALOX12","ALOX12"
"541","ALOX12B","ALOX12B"
"542","ALOX15","ALOX15"
"543","ALOX5","ALOX5"
"544","ALOX5AP","ALOX5AP"
"545","ALOXE3","ALOXE3"
"546","ALPI","ALPI"
"547","ALPK1","ALPK1"
"548","ALPK2","ALPK2"
"549","ALPL","ALPL"
"550","ALS2","ALS2"
"551","ALS2CL","ALS2CL"
"552","ALX3","ALX3"
"553","ALX4","ALX4"
"554","ALYREF","ALYREF"
"555","C1QTNF3","AMACR"
"556","AMBN","AMBN"
"557","AMBP","AMBP"
"558","AMBRA1","AMBRA1"
"559","AMD1","AMD1"
"560","AMDHD1","AMDHD1"
"561","AMELX","AMELX"
"562","AMELY","AMELY"
"563","AMER1","AMER1"
"564","AMER2","AMER2"
"565","AMFR","AMFR"
"566","AMH","AMH"
"567","AMHR2","AMHR2"
"568","AMIGO1","AMIGO1"
"569","AMIGO2","AMIGO2"
"570","AMIGO3","AMIGO3"
"571","AMMECR1","AMMECR1"
"572","AMMECR1L","AMMECR1L"
"573","AMN","AMN"
"574","AMN1","AMN1"
"575","AMOT","AMOT"
"576","AMOTL1","AMOTL1"
"577","AMOTL2","AMOTL2"
"578","AMPD1","AMPD1"
"579","AMPD2","AMPD2"
"580","AMPD3","AMPD3"
"581","AMPH","AMPH"
"582","AMT","AMT"
"583","AMTN","AMTN"
"584","AMY2A","AMY2B"
"585","AMZ1","AMZ1"
"586","AMZ2","AMZ2"
"587","ANAPC1","ANAPC1"
"588","ANAPC10","ANAPC10"
"589","ANAPC13","ANAPC13"
"590","ANAPC16","ANAPC16"
"591","ANAPC2","ANAPC2"
"592","ANAPC4","ANAPC4"
"593","ANAPC5","ANAPC5"
"594","ANAPC7","ANAPC7"
"595","ANG","ANG"
"596","ANGEL1","ANGEL1"
"597","ANGEL2","ANGEL2"
"598","ANGPT1","ANGPT1"
"599","ANGPT2","ANGPT2"
"600","ANGPT4","ANGPT4"
"601","ANGPTL1","ANGPTL1"
"602","ANGPTL2","ANGPTL2"
"603","ANGPTL3","ANGPTL3"
"604","ANGPTL4","ANGPTL4"
"605","ANGPTL5","ANGPTL5"
"606","ANGPTL6","ANGPTL6"
"607","ANGPTL7","ANGPTL7"
"608","ANGPTL8","ANGPTL8"
"609","ANHX","ANHX"
"610","ANK1","ANK1"
"611","ANK2","ANK2"
"612","ANK3","ANK3"
"613","ANKAR","ANKAR"
"614","ANKDD1A","ANKDD1A"
"615","ANKDD1B","ANKDD1B"
"616","ANKEF1","ANKEF1"
"617","ANKFN1","ANKFN1"
"618","ANKFY1","ANKFY1"
"619","ANKH","ANKH"
"620","ANKIB1","ANKIB1"
"621","ANKLE1","ANKLE1"
"622","ANKLE2","ANKLE2"
"623","ANKMY1","ANKMY1"
"624","ANKMY2","ANKMY2"
"625","ANKRA2","ANKRA2"
"626","ANKRD1","ANKRD1"
"627","ANKRD10","ANKRD10"
"628","ANKRD11","ANKRD11"
"629","ANKRD12","ANKRD12"
"630","ANKRD13A","ANKRD13A"
"631","ANKRD13B","ANKRD13B"
"632","ANKRD13C","ANKRD13C"
"633","ANKRD13D","ANKRD13D"
"634","ANKRD16","ANKRD16"
"635","ANKRD17","ANKRD17"
"636","ANKRD2","ANKRD2"
"637","ANKRD22","ANKRD22"
"638","ANKRD23","ANKRD23"
"639","ANKRD24","ANKRD24"
"640","ANKRD26","ANKRD26"
"641","ANKRD27","ANKRD27"
"642","ANKRD28","ANKRD28"
"643","ANKRD29","ANKRD29"
"644","ANKRD30A","ANKRD30A"
"645","ANKRD30BL","ANKRD30BL"
"646","ANKRD31","ANKRD31"
"647","ANKRD33","ANKRD33"
"648","ANKRD33B","ANKRD33B"
"649","ANKRD34A","ANKRD34A"
"650","ANKRD34B","ANKRD34B"
"651","ANKRD34C","ANKRD34C"
"652","ANKRD37","ANKRD37"
"653","ANKRD39","ANKRD39"
"654","ANKRD40","ANKRD40"
"655","ANKRD40CL","ANKRD40CL"
"656","ANKRD42","ANKRD42"
"657","ANKRD44","ANKRD44"
"658","ANKRD45","ANKRD45"
"659","ANKRD46","ANKRD46"
"660","ANKRD49","ANKRD49"
"661","ANKRD50","ANKRD50"
"662","ANKRD52","ANKRD52"
"663","ANKRD53","ANKRD53"
"664","ANKRD54","ANKRD54"
"665","ANKRD55","ANKRD55"
"666","ANKRD6","ANKRD6"
"667","ANKRD60","ANKRD60"
"668","ANKRD61","ANKRD61"
"669","ANKRD62","ANKRD62"
"670","ANKRD63","ANKRD63"
"671","ANKRD65","ANKRD65"
"672","ANKRD66","ANKRD66"
"673","ANKRD7","ANKRD7"
"674","ANKRD9","ANKRD9"
"675","ANKS1A","ANKS1A"
"676","ANKS1B","ANKS1B"
"677","ANKS3","ANKS3"
"678","ANKS4B","ANKS4B"
"679","ANKS6","ANKS6"
"680","ANKUB1","ANKUB1"
"681","ANKZF1","ANKZF1"
"682","ANLN","ANLN"
"683","ANO1","ANO1"
"684","ANO10","ANO10"
"685","ANO3","ANO3"
"686","ANO4","ANO4"
"687","ANO5","ANO5"
"688","ANO6","ANO6"
"689","ANO7","ANO7"
"690","ANO8","ANO8"
"691","ANO9","ANO9"
"692","ANOS1","ANOS1"
"693","ANP32A","ANP32A"
"694","ANP32B","ANP32B"
"695","ANP32E","ANP32E"
"696","ANPEP","ANPEP"
"697","ANTKMT","ANTKMT"
"698","ANTXR1","ANTXR1"
"699","ANTXR2","ANTXR2"
"700","ANXA1","ANXA1"
"701","ANXA10","ANXA10"
"702","ANXA11","ANXA11"
"703","ANXA13","ANXA13"
"704","ANXA2","ANXA2"
"705","ANXA3","ANXA3"
"706","ANXA4","ANXA4"
"707","ANXA5","ANXA5"
"708","ANXA6","ANXA6"
"709","ANXA7","ANXA7"
"710","ANXA9","ANXA9"
"711","AOAH","AOAH"
"712","AOC1","AOC1"
"713","AOC2","AOC2"
"714","AOPEP","AOPEP"
"715","AOX1","AOX1"
"716","AP1AR","AP1AR"
"717","AP1B1","AP1B1"
"718","AP1G1","AP1G1"
"719","AP1G2","AP1G2"
"720","AP1M1","AP1M1"
"721","AP1M2","AP1M2"
"722","AP1S1","AP1S1"
"723","AP1S2","AP1S2"
"724","AP1S3","AP1S3"
"725","AP2A1","AP2A1"
"726","AP2A2","AP2A2"
"727","AP2B1","AP2B1"
"728","AP2M1","AP2M1"
"729","AP2S1","AP2S1"
"730","AP3B1","AP3B1"
"731","AP3B2","AP3B2"
"732","AP3D1","AP3D1"
"733","AP3M1","AP3M1"
"734","AP3M2","AP3M2"
"735","AP3S1","AP3S1"
"736","ARPIN","AP3S2"
"737","AP4B1","AP4B1"
"738","AP4E1","AP4E1"
"739","AP4M1","AP4M1"
"740","AP4S1","AP4S1"
"741","AP5B1","AP5B1"
"742","AP5M1","AP5M1"
"743","AP5S1","AP5S1"
"744","AP5Z1","AP5Z1"
"745","APAF1","APAF1"
"746","APBA1","APBA1"
"747","APBA2","APBA2"
"748","APBA3","APBA3"
"749","APBB1","APBB1"
"750","APBB1IP","APBB1IP"
"751","APBB2","APBB2"
"752","APBB3","APBB3"
"753","APC","APC"
"754","APC2","APC2"
"755","APCDD1","APCDD1"
"756","APCDD1L","APCDD1L"
"757","APCS","APCS"
"758","APEH","APEH"
"759","APELA","APELA"
"760","APEX1","APEX1"
"761","APEX2","APEX2"
"762","APH1A","APH1A"
"763","APH1B","APH1B"
"764","API5","API5"
"765","APIP","APIP"
"766","APLF","APLF"
"767","APLNR","APLNR"
"768","APLP1","APLP1"
"769","APLP2","APLP2"
"770","APMAP","APMAP"
"771","APOA1","APOA1"
"772","APOA2","APOA2"
"773","APOA4","APOA4"
"774","APOA5","APOA5"
"775","APOB","APOB"
"776","APOBEC1","APOBEC1"
"777","APOBEC2","APOBEC2"
"778","APOBEC3A","APOBEC3A"
"779","APOBEC3B","APOBEC3B"
"780","APOBEC3G","APOBEC3G"
"781","APOBEC3H","APOBEC3H"
"782","APOBEC4","APOBEC4"
"783","APOBR","APOBR"
"784","APOC1","APOC1"
"785","APOC2","APOC2"
"786","APOC4","APOC4"
"787","APOD","APOD"
"788","APOE","APOE"
"789","APOF","APOF"
"790","APOH","APOH"
"791","APOL2","APOL2"
"792","APOL4","APOL4"
"793","APOL5","APOL5"
"794","APOL6","APOL6"
"795","APOLD1","APOLD1"
"796","APOM","APOM"
"797","APOO","APOO"
"798","APOOL","APOOL"
"799","APP","APP"
"800","APPBP2","APPBP2"
"801","APPL1","APPL1"
"802","APPL2","APPL2"
"803","APTX","APTX"
"804","AQP10","AQP10"
"805","AQP11","AQP11"
"806","AQP12B","AQP12"
"807","AQP2","AQP2"
"808","AQP3","AQP3"
"809","AQP4","AQP4"
"810","AQP5","AQP5"
"811","AQP6","AQP6"
"812","AQP8","AQP8"
"813","AQP9","AQP9"
"814","AQR","AQR"
"815","AR","AR"
"816","ARAF","ARAF"
"817","ARAP1","ARAP1"
"818","ARAP2","ARAP2"
"819","ARAP3","ARAP3"
"820","ARC","ARC"
"821","ARCN1","ARCN1"
"822","AREG","AREG"
"823","ARF1","ARF1"
"824","ARF3","ARF3"
"825","ARF4","ARF4"
"826","ARF5","ARF5"
"827","ARF6","ARF6"
"828","ARFGAP1","ARFGAP1"
"829","ARFGAP2","ARFGAP2"
"830","ARFGAP3","ARFGAP3"
"831","ARFGEF1","ARFGEF1"
"832","ARFGEF2","ARFGEF2"
"833","ARFGEF3","ARFGEF3"
"834","ARFIP1","ARFIP1"
"835","ARFIP2","ARFIP2"
"836","ARFRP1","ARFRP1"
"837","ARG1","ARG1"
"838","ARG2","ARG2"
"839","ARGLU1","ARGLU1"
"840","ARHGAP1","ARHGAP1"
"841","ARHGAP10","ARHGAP10"
"842","ARHGAP11A","ARHGAP11A"
"843","ARHGAP12","ARHGAP12"
"844","ARHGAP15","ARHGAP15"
"845","ARHGAP17","ARHGAP17"
"846","ARHGAP18","ARHGAP18"
"847","ARHGAP19","ARHGAP19"
"848","ARHGAP20","ARHGAP20"
"849","ARHGAP21","ARHGAP21"
"850","ARHGAP22","ARHGAP22"
"851","ARHGAP23","ARHGAP23"
"852","ARHGAP24","ARHGAP24"
"853","ARHGAP25","ARHGAP25"
"854","ARHGAP26","ARHGAP26"
"855","ARHGAP27","ARHGAP27"
"856","ARHGAP28","ARHGAP28"
"857","ARHGAP29","ARHGAP29"
"858","ARHGAP30","ARHGAP30"
