"","human_gene","rat_gene"
"181","TMEM92","AABR07056470.1"
"182","PPIA","AABR07056556.1"
"183","NDUFA13","AABR07056686.1"
"184","RSRC1","AABR07056845.1"
"185","TMEM186","AABR07057217.1"
"186","MARCHF9","AABR07057423.1"
"187","ESCO2","AABR07057438.1"
"188","A1BG","AABR07058124.2"
"189","HHLA1","AABR07058254.1"
"190","HYPK","AABR07058284.1"
"191","APOL3","AABR07058479.1"
"192","MUC19","AABR07058745.1"
"193","TBCA","AABR07058934.1"
"194","GNPNAT1","AABR07059877.1"
"195","TRBV19","AABR07060353.2"
"196","TOMM20","AABR07060577.1"
"197","IGKC","AABR07060872.1"
"198","IGKV1-37","AABR07060980.1"
"199","NDUFB3","AABR07060996.1"
"200","ANKRD13C","AABR07062154.1"
"201","ESD","AABR07062298.1"
"202","PSME3","AABR07062753.1"
"203","UAP1","AABR07063082.1"
"204","CA13","AABR07063126.1"
"205","C2orf16","AABR07063276.1"
"206","ENTR1","AABR07064502.1"
"207","NEMF","AABR07064719.2"
"208","PCNX4","AABR07064804.1"
"209","TAF8","AABR07064983.1"
"210","PA2G4","AABR07065265.1"
"211","IGHV4-39","AABR07065781.1"
"212","IGHV3-72","AABR07065782.1"
"213","IGHV7-4-1","AABR07065789.1"
"214","IGHV4-59","AABR07065812.2"
"215","IGHV2-70","AABR07065813.1"
"216","IGHV1-69","AABR07065823.2"
"217","RCN1","AABR07066416.2"
"218","KHDC1","AABR07067042.3"
"219","UBE2V1","AABR07067339.1"
"220","SEC61G","AABR07067441.3"
"221","GCSH","AABR07067762.1"
"222","ATP5MC2","AABR07068084.1"
"223","RAB18","AABR07068154.1"
"224","SRP14","AABR07068253.1"
"225","PPP1R7","AABR07068351.1"
"226","RPS17","AABR07068536.1"
"227","QDPR","AABR07068905.1"
"228","ATP1B3","AABR07070238.1"
"229","KBTBD13","AABR07070456.1"
"230","BAX","AABR07071210.1"
"231","NME9","AABR07071287.1"
"232","MRRF","AABR07071746.1"
"233","ZNF479","AABR07071891.2"
"234","RPL28","AABR07071935.1"
"235","C16orf96","AABR07072078.2"
"236","ZCCHC10","AABR07072108.1"
"237","RPL14","AABR07072207.1"
"238","NRBF2","AABR07072761.1"
"239","DSTN","AC093995.1"
"240","IGFL4","AC093995.2"
"241","AKR1B10","AC094647.1"
"242","COX5B","AC096404.1"
"243","MUC19","AC096792.1"
"244","TRDV3","AC097037.1"
"245","GSTM1","AC097845.1"
"246","BCL2L1","AC098008.1"
"247","ATP5MC1","AC098622.1"
"248","KRTAP4-3","AC099183.3"
"249","GPD1L","AC099360.1"
"250","ATP5PD","AC105662.3"
"251","POLR2L","AC109542.1"
"252","TRBC2","AC109737.1"
"253","IGLV6-57","AC109901.2"
"254","SNORA17B","AC111292.6"
"255","FAM237B","AC111647.1"
"256","TK1","AC112350.1"
"257","UBD","AC112568.1"
"258","RPL27A","AC113910.1"
"259","SLFN14","AC118772.1"
"260","SLFN12","AC118772.2"
"261","C11orf80","AC119332.1"
"262","JPT1","AC120066.1"
"263","SRARP","AC120594.1"
"264","OR4Q3","AC122990.1"
"265","HAUS2","AC125920.1"
"266","RPL13A","AC126482.2"
"267","LSM2","AC126899.1"
"268","AKR1B1","AC127963.2"
"269","CYCS","AC128290.1"
"270","MCM4","AC129365.1"
"271","PCDHB10","AC131360.1"
"272","PCDHB13","AC131360.2"
"273","KLF5","AC131483.1"
"274","MRPS36","AC132020.1"
"275","EIF4E1B","AC135142.1"
"276","RPS21","AC135409.1"
"277","SNORA36B","AC136161.1"
"278","KANSL2","AC136588.2"
"279","EPC2","AC142154.1"
"280","TRBV28","AC142181.1"
"281","MED14","AC239701.1"
"282","AAAS","Aaas"
"283","AACS","Aacs"
"284","AADAC","Aadac"
"285","AADACL3","Aadacl3"
"286","AADACL4","Aadacl4"
"287","AADAT","Aadat"
"288","AAGAB","Aagab"
"289","AAK1","Aak1"
"290","AAMDC","Aamdc"
"291","AAMP","Aamp"
"292","AANAT","Aanat"
"293","AAR2","Aar2"
"294","AARD","Aard"
"295","AARS1","Aars1"
"296","AARS2","Aars2"
"297","AARSD1","Aarsd1"
"298","AASDH","Aasdh"
"299","AASDHPPT","Aasdhppt"
"300","AASS","Aass"
"301","AATF","Aatf"
"302","AATK","Aatk"
"303","ABAT","Abat"
"304","ABCA1","Abca1"
"305","ABCA12","Abca12"
"306","ABCA13","Abca13"
"307","ABCA2","Abca2"
"308","ABCA3","Abca3"
"309","ABCA5","Abca5"
"310","ABCA6","Abca6"
"311","ABCA7","Abca7"
"312","ABCA8","Abca8"
"313","ABCA9","Abca9"
"314","ABCB10","Abcb10"
"315","ABCB11","Abcb11"
"316","ABCB1","Abcb1a"
"317","ABCB1","Abcb1b"
"318","ABCB4","Abcb4"
"319","ABCB5","Abcb5"
"320","ABCB6","Abcb6"
"321","ABCB7","Abcb7"
"322","ABCB8","Abcb8"
"323","ABCB9","Abcb9"
"324","ABCC1","Abcc1"
"325","ABCC10","Abcc10"
"326","ABCC12","Abcc12"
"327","ABCC2","Abcc2"
"328","ABCC3","Abcc3"
"329","ABCC4","Abcc4"
"330","ABCC5","Abcc5"
"331","ABCC6","Abcc6"
"332","ABCC8","Abcc8"
"333","ABCC9","Abcc9"
"334","ABCD1","Abcd1"
"335","ABCD2","Abcd2"
"336","ABCD3","Abcd3"
"337","ABCD4","Abcd4"
"338","ABCE1","Abce1"
"339","ABCF1","Abcf1"
"340","ABCF2","Abcf2"
"341","ABCF3","Abcf3"
"342","ABCG1","Abcg1"
"343","ABCG2","Abcg3"
"344","ABCG2","Abcg3l1"
"345","ABCG2","Abcg3l2"
"346","ABCG2","Abcg3l3"
"347","ABCG2","Abcg3l4"
"348","ABCG4","Abcg4"
"349","ABCG5","Abcg5"
"350","ABCG8","Abcg8"
"351","ABHD1","Abhd1"
"352","ABHD10","Abhd10"
"353","ABHD11","Abhd11"
"354","ABHD12","Abhd12"
"355","ABHD12B","Abhd12b"
"356","ABHD13","Abhd13"
"357","ABHD14A","Abhd14a"
"358","ABHD14B","Abhd14b"
"359","ABHD15","Abhd15"
"360","ABHD16A","Abhd16a"
"361","ABHD17A","Abhd17a"
"362","ABHD17B","Abhd17b"
"363","ABHD17C","Abhd17c"
"364","ABHD18","Abhd18"
"365","ABHD2","Abhd2"
"366","ABHD3","Abhd3"
"367","ABHD4","Abhd4"
"368","ABHD5","Abhd5"
"369","ABHD6","Abhd6"
"370","ABHD8","Abhd8"
"371","ABI1","Abi1"
"372","ABI2","Abi2"
"373","ABI3","Abi3"
"374","ABI3BP","Abi3bp"
"375","ABITRAM","Abitram"
"376","ABL1","Abl1"
"377","ABL2","Abl2"
"378","ABLIM2","Ablim2"
"379","ABLIM3","Ablim3"
"380","ABO","Abo"
"381","ABO","Abo2"
"382","ABO","Abo3"
"383","ABR","Abr"
"384","ABRA","Abra"
"385","ABRAXAS1","Abraxas1"
"386","ABRAXAS2","Abraxas2"
"387","ABT1","Abt1"
"388","ABTB1","Abtb1"
"389","ABTB2","Abtb2"
"390","ABTB3","Abtb3"
"391","ACAA1","Acaa1a"
"392","ACAA1","Acaa1b"
"393","ACAA2","Acaa2"
"394","ACACA","Acaca"
"395","ACACB","Acacb"
"396","ACAD11","Acad11"
"397","ACAD8","Acad8"
"398","ACAD9","Acad9"
"399","ACADL","Acadl"
"400","ACADM","Acadm"
"401","ACADS","Acads"
"402","ACADSB","Acadsb"
"403","ACADVL","Acadvl"
"404","ACAN","Acan"
"405","ACAP1","Acap1"
"406","ACAP2","Acap2"
"407","ACAP3","Acap3"
"408","ACAT1","Acat1"
"409","ACAT2","Acat2"
"410","ACAT2","Acat2l1"
"411","ACBD3","Acbd3"
"412","ACBD4","Acbd4"
"413","ACBD5","Acbd5"
"414","ACBD6","Acbd6"
"415","ACCS","Accs"
"416","ACCSL","Accsl"
"417","ACD","Acd"
"418","ACE","Ace"
"419","ACE2","Ace2"
"420","ACER1","Acer1"
"421","ACER2","Acer2"
"422","ACER3","Acer3"
"423","ACHE","Ache"
"424","ACIN1","Acin1"
"425","ACKR1","Ackr1"
"426","ACKR2","Ackr2"
"427","ACKR3","Ackr3"
"428","ACKR4","Ackr4"
"429","ACLY","Acly"
"430","ACMSD","Acmsd"
"431","ACO1","Aco1"
"432","ACO2","Aco2"
"433","ACOD1","Acod1"
"434","ACOT2","Acot1"
"435","ACOT11","Acot11"
"436","ACOT12","Acot12"
"437","ACOT13","Acot13"
"438","ACOT2","Acot2"
"439","ACOT1","Acot3"
"440","ACOT4","Acot4"
"441","ACOT2","Acot5"
"442","ACOT6","Acot6"
"443","ACOT7","Acot7"
"444","ACOT8","Acot8"
"445","ACOT9","Acot9"
"446","ACOX1","Acox1"
"447","ACOX2","Acox2"
"448","ACOX3","Acox3"
"449","ACOXL","Acoxl"
"450","ACP2","Acp2"
"451","ACP3","Acp3"
"452","ACP4","Acp4"
"453","ACP5","Acp5"
"454","ACP6","Acp6"
"455","ACP7","Acp7"
"456","ACR","Acr"
"457","ACRBP","Acrbp"
"458","ACRV1","Acrv1"
"459","ACSBG1","Acsbg1"
"460","ACSBG2","Acsbg2"
"461","ACSF2","Acsf2"
"462","ACSF3","Acsf3"
"463","ACSL1","Acsl1"
"464","ACSL3","Acsl3"
"465","ACSL4","Acsl4"
"466","ACSL5","Acsl5"
"467","ACSL6","Acsl6"
"468","ACSM2A","Acsm2"
"469","ACSM3","Acsm3"
"470","ACSM4","Acsm4"
"471","ACSM5","Acsm5"
"472","ACSS1","Acss1"
"473","ACSS2","Acss2"
"474","ACSS3","Acss3"
"475","ACTA1","Acta1"
"476","ACTA2","Acta2"
"477","ACTB","Actb"
"478","ACTBL2","Actbl2"
"479","ACTC1","Actc1"
"480","ACTG1","Actg1"
"481","ACTG2","Actg2"
"482","ACTL10","Actl10"
"483","ACTL6A","Actl6a"
"484","ACTL6B","Actl6b"
"485","ACTL7A","Actl7a"
"486","ACTL7B","Actl7b"
"487","ACTL9","Actl9"
"488","ACTL9","Actl9b"
"489","ACTMAP","Actmap"
"490","ACTN1","Actn1"
"491","ACTN2","Actn2"
"492","ACTN3","Actn3"
"493","ACTN4","Actn4"
"494","ACTR10","Actr10"
"495","ACTR1A","Actr1a"
"496","ACTR1B","Actr1b"
"497","ACTR2","Actr2"
"498","ACTR3","Actr3"
"499","ACTR3B","Actr3b"
"500","ACTR5","Actr5"
"501","ACTR6","Actr6"
"502","ACTR8","Actr8"
"503","ACTRT1","Actrt1"
"504","ACTRT2","Actrt2"
"505","ACTRT3","Actrt3"
"506","ACVR1","Acvr1"
"507","ACVR1B","Acvr1b"
"508","ACVR1C","Acvr1c"
"509","ACVR2A","Acvr2a"
"510","ACVR2B","Acvr2b"
"511","ACVRL1","Acvrl1"
"512","ACY1","Acy1"
"513","ACY3","Acy3"
"514","ACYP2","Acyp2"
"515","ADA","Ada"
"516","ADAD1","Adad1"
"517","ADAD2","Adad2"
"518","ADAL","Adal"
"519","ADAM10","Adam10"
"520","ADAM11","Adam11"
"521","ADAM12","Adam12"
"522","ADAM15","Adam15"
"523","ADAM17","Adam17"
"524","ADAM18","Adam18"
"525","ADAM19","Adam19"
"526","ADAM2","Adam2"
"527","ADAM22","Adam22"
"528","ADAM23","Adam23"
"529","ADAM28","Adam28"
"530","ADAM30","Adam30"
"531","ADAM32","Adam32"
"532","ADAM33","Adam33"
"533","ADAM7","Adam7"
"534","ADAM8","Adam8"
"535","ADAM9","Adam9"
"536","ADAMDEC1","Adamdec1"
"537","ADAMTS1","Adamts1"
"538","ADAMTS10","Adamts10"
"539","ADAMTS12","Adamts12"
"540","ADAMTS13","Adamts13"
"541","ADAMTS14","Adamts14"
"542","ADAMTS15","Adamts15"
"543","ADAMTS16","Adamts16"
"544","ADAMTS17","Adamts17"
"545","ADAMTS18","Adamts18"
"546","ADAMTS19","Adamts19"
"547","ADAMTS2","Adamts2"
"548","ADAMTS20","Adamts20"
"549","ADAMTS3","Adamts3"
"550","ADAMTS4","Adamts4"
"551","ADAMTS5","Adamts5"
"552","ADAMTS6","Adamts6"
"553","ADAMTS7","Adamts7"
"554","ADAMTS8","Adamts8"
"555","ADAMTS9","Adamts9"
"556","ADAMTSL1","Adamtsl1"
"557","ADAMTSL2","Adamtsl2"
"558","ADAMTSL3","Adamtsl3"
"559","ADAMTSL4","Adamtsl4"
"560","ADAMTSL5","Adamtsl5"
"561","ADAP1","Adap1"
"562","ADAP2","Adap2"
"563","ADAR","Adar"
"564","ADARB1","Adarb1"
"565","ADARB2","Adarb2"
"566","ADAT1","Adat1"
"567","ADAT2","Adat2"
"568","ADAT3","Adat3"
"569","ADCK1","Adck1"
"570","ADCK5","Adck5"
"571","ADCY1","Adcy1"
"572","ADCY10","Adcy10"
"573","ADCY2","Adcy2"
"574","ADCY3","Adcy3"
"575","ADCY4","Adcy4"
"576","ADCY5","Adcy5"
"577","ADCY6","Adcy6"
"578","ADCY7","Adcy7"
"579","ADCY8","Adcy8"
"580","ADCY9","Adcy9"
"581","ADCYAP1","Adcyap1"
"582","ADCYAP1R1","Adcyap1r1"
"583","ADD1","Add1"
"584","ADD2","Add2"
"585","ADD3","Add3"
"586","ADGB","Adgb"
"587","ADGRA1","Adgra1"
"588","ADGRA2","Adgra2"
"589","ADGRA3","Adgra3"
"590","ADGRB1","Adgrb1"
"591","ADGRB2","Adgrb2"
"592","ADGRB3","Adgrb3"
"593","ADGRD1","Adgrd1"
"594","ADGRE1","Adgre1"
"595","ADGRE5","Adgre5"
"596","ADGRF1","Adgrf1"
"597","ADGRF3","Adgrf3"
"598","ADGRF4","Adgrf4"
"599","ADGRF5","Adgrf5"
"600","ADGRG1","Adgrg1"
"601","ADGRG2","Adgrg2"
"602","ADGRG3","Adgrg3"
"603","ADGRG4","Adgrg4"
"604","ADGRG5","Adgrg5"
"605","ADGRG6","Adgrg6"
"606","ADGRG7","Adgrg7"
"607","ADGRL1","Adgrl1"
"608","ADGRL2","Adgrl2"
"609","ADGRL3","Adgrl3"
"610","ADGRL4","Adgrl4"
"611","ADGRV1","Adgrv1"
"612","ADH5","Adh5"
"613","ADH1C","Adh6"
"614","ADH7","Adh7"
"615","ADHFE1","Adhfe1"
"616","ADI1","Adi1"
"617","ADIPOQ","Adipoq"
"618","ADIPOR1","Adipor1"
"619","ADIPOR2","Adipor2"
"620","ADK","Adk"
"621","ADM","Adm"
"622","ADM2","Adm2"
"623","ADNP","Adnp"
"624","ADNP2","Adnp2"
"625","ADO","Ado"
"626","ADORA1","Adora1"
"627","ADORA2A","Adora2a"
"628","ADORA2B","Adora2b"
"629","ADORA3","Adora3"
"630","ADPGK","Adpgk"
"631","ADPRH","Adprh"
"632","ADPRHL1","Adprhl1"
"633","ADPRM","Adprm"
"634","ADPRS","Adprs"
"635","ADRA1A","Adra1a"
"636","ADRA1B","Adra1b"
"637","ADRA1D","Adra1d"
"638","ADRA2A","Adra2a"
"639","ADRA2B","Adra2b"
"640","ADRA2C","Adra2c"
"641","ADRB1","Adrb1"
"642","ADRB2","Adrb2"
"643","ADRB3","Adrb3"
"644","ADRM1","Adrm1"
"645","ADSL","Adsl"
"646","ADSS2","Adss"
"647","ADSS1","Adss1"
"648","ADTRP","Adtrp"
"649","AEBP1","Aebp1"
"650","AEBP2","Aebp2"
"651","AEN","Aen"
"652","AFAP1","Afap1"
"653","AFAP1L1","Afap1l1"
"654","AFAP1L2","Afap1l2"
"655","AFDN","Afdn"
"656","AFF1","Aff1"
"657","C4orf36","Aff1-as1"
"658","AFF2","Aff2"
"659","AFF3","Aff3"
"660","AFF4","Aff4"
"661","AFG1L","Afg1l"
"662","AFG3L2","Afg3l2"
"663","AFM","Afm"
"664","AFMID","Afmid"
"665","AFP","Afp"
"666","AFTPH","Aftph"
"667","AGA","Aga"
"668","AGAP1","Agap1"
"669","AGAP2","Agap2"
"670","AGAP3","Agap3"
"671","AGBL1","Agbl1"
"672","AGBL2","Agbl2"
"673","AGBL3","Agbl3"
"674","AGBL5","Agbl5"
"675","AGER","Ager"
"676","AGFG2","Agfg2"
"677","AGGF1","Aggf1"
"678","AGK","Agk"
"679","AGL","Agl"
"680","AGMAT","Agmat"
"681","AGMO","Agmo"
"682","AGO1","Ago1"
"683","AGO2","Ago2"
"684","AGO3","Ago3"
"685","AGO4","Ago4"
"686","AGPAT1","Agpat1"
"687","AGPAT2","Agpat2"
"688","AGPAT3","Agpat3"
"689","AGPAT4","Agpat4"
"690","AGPAT5","Agpat5"
"691","AGPS","Agps"
"692","AGR2","Agr2"
"693","AGR3","Agr3"
"694","AGRN","Agrn"
"695","AGRP","Agrp"
"696","AGT","Agt"
"697","AGTPBP1","Agtpbp1"
"698","AGTR1","Agtr1a"
"699","AGTR1","Agtr1b"
"700","AGTR2","Agtr2"
"701","AGTRAP","Agtrap"
"702","AGXT","Agxt"
"703","AGXT2","Agxt2"
"704","AHCTF1","Ahctf1"
"705","AHCY","Ahcy"
"706","AHCYL1","Ahcyl1"
"707","AHCYL2","Ahcyl2"
"708","AHDC1","Ahdc1"
"709","AHI1","Ahi1"
"710","AHNAK","Ahnak"
"711","AHR","Ahr"
"712","AHRR","Ahrr"
"713","AHSA1","Ahsa1"
"714","AHSG","Ahsg"
"715","AHSP","Ahsp"
"716","AICDA","Aicda"
"717","AIDA","Aida"
"718","AIF1","Aif1"
"719","AIF1L","Aif1l"
"720","AIFM1","Aifm1"
"721","AIFM2","Aifm2"
"722","AIFM3","Aifm3"
"723","AIG1","Aig1"
"724","AIM2","Aim2"
"725","AIMP1","Aimp1"
"726","AIMP2","Aimp2"
"727","AIP","Aip"
"728","AIPL1","Aipl1"
"729","AIRE","Aire"
"730","AJAP1","Ajap1"
"731","AJM1","Ajm1"
"732","AJUBA","Ajuba"
"733","AK2","Ak2"
"734","AK3","Ak3"
"735","AK4P3","Ak4"
"736","AK5","Ak5"
"737","AK6","Ak6"
"738","AK7","Ak7"
"739","AK8","Ak8"
"740","AK9","Ak9"
"741","AKAIN1","Akain1"
"742","AKAP1","Akap1"
"743","AKAP10","Akap10"
"744","AKAP11","Akap11"
"745","AKAP12","Akap12"
"746","AKAP13","Akap13"
"747","AKAP14","Akap14"
"748","AKAP17A","Akap17a"
"749","PALM2AKAP2","Akap2"
"750","AKAP3","Akap3"
"751","AKAP4","Akap4"
"752","AKAP5","Akap5"
"753","AKAP6","Akap6"
"754","AKAP7","Akap7"
"755","AKAP8","Akap8"
"756","AKAP8L","Akap8l"
"757","AKAP9","Akap9"
"758","AKIP1","Akip1"
"759","AKIRIN1","Akirin1"
"760","AKIRIN2","Akirin2"
"761","AKNA","Akna"
"762","AKNAD1","Aknad1"
"763","ALPI","Akp3"
"764","AKR1A1","Akr1a1"
"765","AKR1B1","Akr1b1"
"766","AKR1B1","Akr1b1-ps1"
"767","AKR1B1","Akr1b1-ps2"
"768","AKR1B10","Akr1b10"
"769","AKR1B10","Akr1b7"
"770","AKR1B10","Akr1b8"
"771","AKR1C8","Akr1c15"
"772","AKR1D1","Akr1d1"
"773","AKR1E2","Akr1e2"
"774","AKR7L","Akr7a2"
"775","AKR7A3","Akr7a3"
"776","AKT1","Akt1"
"777","AKT1S1","Akt1s1"
"778","AKT2","Akt2"
"779","AKT3","Akt3"
"780","AKTIP","Aktip"
"781","ALAD","Alad"
"782","ALAS1","Alas1"
"783","ALAS2","Alas2"
"784","ALB","Alb"
"785","ALCAM","Alcam"
"786","ALDH16A1","Aldh16a1"
"787","ALDH18A1","Aldh18a1"
"788","ALDH1A1","Aldh1a1"
"789","ALDH1A2","Aldh1a2"
"790","ALDH1A3","Aldh1a3"
"791","ALDH1A1","Aldh1a7"
"792","ALDH1B1","Aldh1b1"
"793","ALDH1L1","Aldh1l1"
"794","ALDH1L2","Aldh1l2"
"795","ALDH2","Aldh2"
"796","ALDH3A1","Aldh3a1"
"797","ALDH3A2","Aldh3a2"
"798","ALDH3B1","Aldh3b1"
"799","ALDH3B2","Aldh3b2"
"800","ALDH5A1","Aldh5a1"
"801","ALDH6A1","Aldh6a1"
"802","ALDH7A1","Aldh7a1"
"803","ALDH8A1","Aldh8a1"
"804","ALDH9A1","Aldh9a1"
"805","ALDOA","Aldoa"
"806","ALDOA","Aldoart2"
"807","ALDOB","Aldob"
"808","ALDOC","Aldoc"
"809","ALG1","Alg1"
"810","ALG10","Alg10"
"811","ALG11","Alg11"
"812","ALG12","Alg12"
"813","ALG14","Alg14"
"814","ALG2","Alg2"
"815","ALG3","Alg3"
"816","ALG5","Alg5"
"817","ALG6","Alg6"
"818","ALG8","Alg8"
"819","ALG9","Alg9"
"820","ALK","Alk"
"821","ALKAL1","Alkal1"
"822","ALKAL2","Alkal2"
"823","ALKBH1","Alkbh1"
"824","ALKBH2","Alkbh2"
"825","ALKBH3","Alkbh3"
"826","ALKBH4","Alkbh4"
"827","ALKBH5","Alkbh5"
"828","ALKBH6","Alkbh6"
"829","ALKBH7","Alkbh7"
"830","ALKBH8","Alkbh8"
"831","ALLC","Allc"
